2 7 27 4	0.07488986784140969 0.000722543352601156
2 7 27 13	0.21062271062271062 0.0025289017341040463
2 10 16	0.022988505747126436 0.000722543352601156
2 13	0.2727272727272727 0.001083815028901734
2 22 10	0.1111111111111111 0.000722543352601156
2 22 13	1.0 0.0032514450867052024
2 27 4 36	0.008620689655172414 0.000361271676300578
2 27 13	0.1686746987951807 0.0032514450867052024
2 27 27 13	0.20811287477954143 0.0032514450867052024
4	0.1859872611464968 0.052745664739884394
4 3 23	0.1111111111111111 0.003973988439306358
4 3 36	0.0498812351543943 0.007947976878612716
4 10	0.0041265474552957355 0.001083815028901734
4 10 24 4	0.04439053972104306 0.020592485549132948
4 10 30	0.041367665681722246 0.0328757225433526
4 10 32	0.0011790313803736623 0.002890173410404624
4 10 32 4	0.011599297012302284 0.008670520231213872
4 10 32 12	0.0031499056892142756 0.039739884393063585
4 10 34	0.003989361702127659 0.0018063583815028901
4 10 36	0.02055033089515848 0.02926300578034682
4 10 37	0.03668122270742358 0.006864161849710983
4 12	0.004219409282700422 0.000722543352601156
4 12 30	0.006598240469208211 0.002890173410404624
4 12 30 10	0.006014793139884581 0.007947976878612716
4 12 30 16	0.001422981145499822 0.001445086705202312
4 12 32	0.02462362847665221 0.017702312138728325
4 12 34 12	0.0050836120401337795 0.00541907514450867
4 12 36	0.011944869831546707 0.010115606936416185
4 12 36 17	0.005915492957746479 0.003973988439306358
4 14	0.018018018018018018 0.000722543352601156
4 14 28 4	0.07710280373831775 0.006141618497109827
4 14 28 13	0.11165048543689321 0.013728323699421965
4 14 32 12	0.004668992971936895 0.014089595375722543
4 14 34	0.022031823745410038 0.006141618497109827
4 14 34 16	0.009612666101215719 0.009031791907514452
4 16	0.016359060402684564 0.024927745664739886
4 16 3	0.006622516556291391 0.000361271676300578
4 16 10	0.014442916093535076 0.007586705202312138
4 16 10 36	0.022143139580862 0.024927745664739886
4 16 16	0.017668753752465908 0.03648843930635838
4 16 16 16	0.015880123458764453 0.04588150289017341
4 16 16 30	0.004488218426630096 0.021315028901734104
4 16 16 36	0.019091314321747356 0.07947976878612717
4 16 16 37	0.02617650442986998 0.03359826589595376
4 16 23 16	0.013373963094633486 0.013728323699421965
4 16 23 37	0.02437673130193906 0.003973988439306358
4 16 24 4	0.03460481825866441 0.03684971098265896
4 16 25 4	0.05339670114621191 0.016979768786127166
4 16 28 13	0.04506149116064566 0.05202312138728324
4 16 29 10	0.018421052631578946 0.012283236994219654
4 16 30	0.007214514407684098 0.02565028901734104
4 16 30 8	0.011994949494949494 0.016618497109826588
4 16 30 10	0.0097611403238472 0.08778901734104046
4 16 30 12	0.004120587497346226 0.050216763005780346
4 16 30 13	0.03205622696494386 0.07839595375722544
4 16 32	0.0024184980148744617 0.019147398843930637
4 16 32 4	0.00880192502532928 0.017702312138728325
4 16 32 12	0.003004581242686869 0.11271676300578035
4 16 32 13	0.016913103053357057 0.06358381502890173
4 16 32 14	0.004431905668787228 0.048771676300578035
4 16 33 5	0.013546245626625998 0.01625722543352601
4 16 33 10	0.01245229109362673 0.056719653179190754
4 16 33 12	0.00685316256600382 0.039378612716763
4 16 33 13	0.04011671619347678 0.14414739884393063
4 16 34 12	0.003972806201924819 0.04407514450867052
4 16 36	0.042923293738675254 0.08273121387283237
4 16 36 16	0.01002764530378306 0.11524566473988439
4 16 36 17	0.020047106685937583 0.025289017341040464
4 16 36 30	0.000788178128256986 0.013728323699421965
4 16 36 36	0.02091454882905303 0.08164739884393063
4 16 37	0.03709126403123475 0.02926300578034682
4 16 37 16	0.016521779771919987 0.04190751445086705
4 16 39 19	0.0011462795090667996 0.01878612716763006
4 17	0.02157164869029276 0.0050578034682080926
4 17 24 13	0.10390738060781476 0.06213872832369942
4 17 30 13	0.030575539568345324 0.035765895953757225
4 17 32 10	0.005025508261631006 0.015895953757225433
4 17 32 36	0.004866743916570104 0.011560693641618497
4 17 33 13	0.06759098786828423 0.04154624277456647
4 17 36	0.030402629416598194 0.015173410404624277
4 17 37	0.07977011494252874 0.05455202312138728
4 17 37 37	0.028688524590163935 0.02203757225433526
4 23 30 12	0.008011653313911144 0.002167630057803468
4 24 4	0.12344777209642074 0.07622832369942197
4 24 4 16	0.011143153474488377 0.06069364161849711
4 24 4 30	0.0038583739056892727 0.028901734104046242
4 24 4 32	0.0008518705657840341 0.01300578034682081
4 24 4 36	0.01671477110810712 0.05708092485549133
4 24 5	0.02365415986949429 0.02745664739884393
4 24 5 14	0.00949688270262433 0.01300578034682081
4 24 5 16	0.01415372073010553 0.036127167630057806
4 24 5 19	0.012189716312056738 0.007586705202312138
4 24 7 4	0.13628466066236436 0.07839595375722544
4 24 7 5	0.06095615678865125 0.029985549132947976
4 24 7 9	0.021275879027965856 0.011921965317919074
4 24 7 10	0.035082943942899486 0.06502890173410404
4 24 7 12	0.033642691415313224 0.034320809248554913
4 24 7 13	0.1733383779492396 0.2738439306358382
4 24 7 14	0.07310023366760783 0.07695086705202313
4 24 8	0.01917437401308369 0.017341040462427744
4 24 8 30	0.0004942762806698433 0.004335260115606936
4 24 8 34	0.0005534646889528448 0.002890173410404624
4 24 9 4	0.03864278982092366 0.016979768786127166
4 24 9 12	0.005570314948895957 0.057803468208092484
4 24 9 13	0.05716282320055905 0.0509393063583815
4 24 10	0.024807561919195947 0.057803468208092484
4 24 10 16	0.01517590732942836 0.0755057803468208
4 24 10 30	0.00029218992345024264 0.01842485549132948
4 24 11 13	0.02754644458680333 0.028179190751445087
4 24 12	0.028277071459886016 0.06394508670520231
4 24 12 17	0.010387579582262928 0.009754335260115607
4 24 12 30	0.0027789156693201066 0.021315028901734104
4 24 12 36	0.009823859087269815 0.06394508670520231
4 24 13	0.22194731480133897 0.40173410404624277
4 24 13 16	0.014829419481545697 0.10802023121387283
4 24 13 17	0.017430447437893456 0.04949421965317919
4 24 13 36	0.02362405526962489 0.09898843930635838
4 24 13 37	0.03422397619201656 0.05888728323699422
4 24 14	0.03657466496490108 0.07586705202312138
4 24 14 16	0.015938233140105014 0.06936416184971098
4 24 14 30	0.000873541254350645 0.012644508670520232
4 24 14 36	0.019880606824031984 0.056719653179190754
4 24 15 4	0.05121130551816958 0.04588150289017341
4 24 15 10	0.01765625 0.06611271676300579
4 24 15 12	0.007962600746320419 0.059248554913294796
4 24 15 13	0.12747060937419785 0.1430635838150289
4 24 16 13	0.1876053678602738 0.0805635838150289
4 24 17 13	0.0889196675900277 0.049132947976878616
4 24 17 14	0.011465108587807298 0.019147398843930637
4 24 27 4	0.1541425643361421 0.07406069364161849
4 24 27 5	0.05127808858529348 0.030346820809248554
4 24 27 12	0.04113924050632911 0.019869942196531792
4 24 27 13	0.2134087309983138 0.273121387283237
4 24 27 14	0.07807035650045706 0.07333815028901734
4 24 31 4	0.03749612643321971 0.011199421965317919
4 24 35 4	0.0668180098373061 0.04696531791907514
4 24 35 10	0.023755265520336993 0.04588150289017341
4 24 35 12	0.011639549436795994 0.017341040462427744
4 24 35 13	0.10305471634776771 0.1495664739884393
4 24 35 14	0.013036065007661926 0.05238439306358381
4 24 36 13	0.13807421076912937 0.09248554913294797
4 24 36 14	0.040378475196635774 0.03070809248554913
4 24 37 10	0.017419354838709676 0.011560693641618497
4 24 37 13	0.10856009070294785 0.046242774566473986
4 25 4	0.08957106812447435 0.03251445086705202
4 25 4 16	0.015280829968825063 0.025289017341040464
4 25 5	0.07976227713481389 0.030346820809248554
4 25 5 36	0.037193831267009377 0.014089595375722543
4 25 7 4	0.08503401360544217 0.039739884393063585
4 25 7 10	0.03168196395001659 0.035765895953757225
4 25 9	0.00913900913900914 0.0050578034682080926
4 25 9 10	0.011647401394158652 0.018063583815028903
4 25 10	0.031474440219687365 0.026372832369942197
4 25 12 16	0.0073885938582313555 0.009031791907514452
4 25 13	0.2037643207855974 0.0921242774566474
4 25 14	0.03851412944393801 0.0328757225433526
4 25 27 4	0.10038045068773778 0.037210982658959536
4 25 27 5	0.059665871121718374 0.024205202312138727
4 25 31 13	0.04931192660550459 0.010476878612716763
4 25 35 13	0.10159586423915487 0.057803468208092484
4 28 4	0.045454545454545456 0.005780346820809248
4 28 8	0.053840361445783136 0.014812138728323699
4 28 10	0.028165007112375535 0.02203757225433526
4 28 11 14	0.01644528779253637 0.00939306358381503
4 28 12 36	0.007544500766238359 0.014450867052023121
4 28 27 4	0.03039832285115304 0.0050578034682080926
4 30	0.004448105436573311 0.008670520231213872
4 30 4	0.0450381679389313 0.03901734104046243
4 30 4 37	0.025651808242220353 0.017702312138728325
4 30 5	0.0203527815468114 0.015534682080924855
4 30 7 4	0.03738502620907922 0.037210982658959536
4 30 7 10	0.025012922502805127 0.08164739884393063
4 30 7 13	0.06621020849677864 0.12247109826589596
4 30 8 36	0.0174266136536672 0.02565028901734104
4 30 10	0.02988716667317378 0.09465317919075145
4 30 10 16	0.00853555537730552 0.09248554913294797
4 30 10 30	0.001631723992769004 0.03540462427745665
4 30 10 36	0.017653118969194827 0.08706647398843931
4 30 12	0.011405313534305394 0.04696531791907514
4 30 12 36	0.010849015900907614 0.07044797687861272
4 30 12 37	0.014741910957168201 0.033236994219653176
4 30 13	0.053561611560512055 0.13258670520231214
4 30 13 36	0.017008050348462325 0.06394508670520231
4 30 14	0.01838332890894611 0.04552023121387283
4 30 14 16	0.011030544543269724 0.044797687861271675
4 30 14 30	0.0006597860408124794 0.010115606936416185
4 30 14 36	0.013117136410570194 0.04154624277456647
4 30 15 5	0.01977401129943503 0.015173410404624277
4 30 15 10	0.016222787887998177 0.04985549132947977
4 30 16 30	0.004415844199958483 0.014812138728323699
4 30 16 32	0.001243119677893879 0.008670520231213872
4 30 16 36	0.009141469641203315 0.048771676300578035
4 30 17 10	0.01826309067688378 0.027095375722543353
4 30 17 13	0.034103410341034104 0.020953757225433526
4 30 24 4	0.056181377441893623 0.013367052023121388
4 30 24 12	0.008464328899637243 0.003973988439306358
4 30 24 13	0.08181991970942458 0.035765895953757225
4 30 27 4	0.03508636644046885 0.03793352601156069
4 30 27 10	0.024832621830312363 0.08273121387283237
4 30 27 14	0.02095010566939263 0.046242774566473986
4 30 29 4	0.03210072595281307 0.033236994219653176
4 30 30 10	0.01416742139992237 0.03684971098265896
4 30 32 12	0.01003825654775529 0.028179190751445087
4 30 33 13	0.046498211607245876 0.04949421965317919
4 30 35 13	0.05392129185252103 0.10621387283236994
4 30 36	0.008358527476436067 0.011199421965317919
4 30 36 10	0.008916747594243843 0.030346820809248554
4 30 36 16	0.00932772793814046 0.031791907514450865
4 30 37	0.003942181340341655 0.0036127167630057803
4 32	0.0011456394099957038 0.002890173410404624
4 32 4	0.038034425319267075 0.02023121387283237
4 32 5	0.010247933884297521 0.008309248554913294
4 32 5 16	0.006990969997087096 0.019508670520231215
4 32 7 12	0.016000526766313295 0.04046242774566474
4 32 7 13	0.04779639975170701 0.016618497109826588
4 32 8	0.01244614648157013 0.00939306358381503
4 32 10	0.009855649576903932 0.036127167630057806
4 32 10 37	0.012000452847277255 0.023121387283236993
4 32 11 14	0.012491992312620116 0.009031791907514452
4 32 12	0.01134883453154573 0.10910404624277456
