['diagnoses', 'associated_with', 'associated_with', 'causes']
['diagnoses', 'associated_with', 'isa', 'associated_with']
['diagnoses', 'causes', 'occurs_in', 'causes']
['diagnoses', 'associated_with', 'causes']
['diagnoses', 'associated_with', 'causes', 'causes']
['diagnoses', 'associated_with', 'isa', 'isa']
['diagnoses', 'associated_with', 'coexists_with', 'causes']
['prevents', 'produces', 'affects', 'causes']
['prevents', 'affects', 'associated_with', 'augments']
['prevents', 'coexists_with', 'isa', 'prevents']
['prevents', 'part_of', 'same_as', 'coexists_with']
['prevents', 'isa', 'coexists_with', 'part_of']
['prevents', 'part_of', 'location_of', 'coexists_with']
['prevents', 'inhibits', 'coexists_with', 'coexists_with']
['prevents', 'augments', 'associated_with', 'disrupts']
['prevents', 'inhibits', 'inhibits', 'treats']
['prevents', 'produces', 'stimulates', 'associated_with']
['augments', 'part_of', 'isa', 'augments']
['augments', 'disrupts', 'disrupts', 'augments']
['augments', 'produces', 'isa', 'disrupts']
['augments', 'inhibits', 'part_of', 'part_of']
['augments', 'inhibits', 'stimulates', 'complicates']
['augments', 'isa', 'same_as', 'augments']
['augments', 'interacts_with', 'coexists_with', 'prevents']
['augments', 'affects', 'part_of', 'location_of']
['augments', 'part_of', 'stimulates', 'part_of']
['augments', 'part_of', 'produces', 'isa']
['associated_with', 'part_of', 'compared_with', 'augments']
['associated_with', 'affects', 'affects', 'produces']
['associated_with', 'coexists_with', 'associated_with', 'isa']
['associated_with', 'associated_with', 'coexists_with', 'coexists_with']
['associated_with', 'disrupts', 'isa', 'treats']
['associated_with', 'compared_with', 'produces', 'coexists_with']
['associated_with', 'produces', 'compared_with', 'disrupts']
['associated_with', 'isa', 'prevents', 'complicates']
['associated_with', 'location_of', 'prevents', 'associated_with']
['associated_with', 'augments', 'interacts_with', 'treats']
['coexists_with', 'stimulates', 'location_of', 'isa']
['coexists_with', 'causes', 'occurs_in', 'causes']
['coexists_with', 'affects', 'disrupts', 'associated_with']
['coexists_with', 'inhibits', 'part_of', 'inhibits']
['coexists_with', 'location_of', 'associated_with', 'coexists_with']
['coexists_with', 'produces', 'isa', 'disrupts']
['coexists_with', 'coexists_with', 'compared_with', 'compared_with']
['coexists_with', 'part_of', 'associated_with', 'coexists_with']
['coexists_with', 'associated_with', 'augments', 'treats']
['coexists_with', 'coexists_with', 'coexists_with', 'isa']
['occurs_in', 'isa', 'coexists_with', 'coexists_with']
['occurs_in', 'causes', 'affects', 'coexists_with']
['occurs_in', 'produces', 'associated_with']
['occurs_in', 'affects', 'coexists_with', 'occurs_in']
['occurs_in', 'produces', 'associated_with', 'causes']
['occurs_in', 'isa', 'interacts_with', 'part_of']
['occurs_in', 'coexists_with', 'associated_with', 'coexists_with']
['occurs_in', 'produces', 'part_of', 'coexists_with']
['occurs_in', 'coexists_with', 'disrupts', 'associated_with']
['occurs_in', 'isa', 'part_of', 'causes']
['disrupts', 'interacts_with', 'complicates', 'coexists_with']
['disrupts', 'part_of', 'associated_with', 'location_of']
['disrupts', 'inhibits', 'isa', 'inhibits']
['disrupts', 'complicates', 'produces', 'disrupts']
['disrupts', 'causes', 'coexists_with', 'stimulates']
['disrupts', 'isa', 'part_of', 'disrupts']
['disrupts', 'part_of', 'location_of', 'augments']
['disrupts', 'treats', 'associated_with', 'coexists_with']
['disrupts', 'augments', 'location_of', 'disrupts']
['disrupts', 'coexists_with', 'part_of', 'disrupts']
['inhibits', 'coexists_with', 'disrupts', 'associated_with']
['inhibits', 'augments', 'produces', 'same_as']
['inhibits', 'augments', 'coexists_with', 'causes']
['inhibits', 'stimulates', 'disrupts', 'associated_with']
['inhibits', 'interacts_with', 'same_as', 'treats']
['inhibits', 'isa', 'interacts_with', 'inhibits']
['inhibits', 'treats', 'affects', 'coexists_with']
['inhibits', 'same_as', 'same_as', 'interacts_with']
['inhibits', 'location_of', 'affects', 'location_of']
['inhibits', 'isa', 'coexists_with', 'inhibits']
['treats', 'causes', 'isa', 'location_of']
['treats', 'interacts_with', 'treats', 'same_as']
['treats', 'same_as', 'stimulates', 'complicates']
['treats', 'part_of', 'occurs_in']
['treats', 'prevents', 'causes', 'complicates']
['treats', 'augments', 'location_of', 'part_of']
['treats', 'compared_with', 'prevents', 'causes']
['treats', 'part_of', 'isa', 'interacts_with']
['treats', 'stimulates', 'isa', 'disrupts']
['treats', 'compared_with', 'complicates', 'isa']
['isa', 'part_of', 'stimulates']
['isa', 'part_of', 'same_as', 'coexists_with']
['isa', 'coexists_with', 'interacts_with', 'interacts_with']
['isa', 'augments', 'interacts_with', 'affects']
['isa', 'interacts_with', 'affects', 'affects']
['isa', 'stimulates', 'disrupts', 'interacts_with']
