['diagnoses', 'augments', 'coexists_with', 'causes']
['diagnoses', 'associated_with', 'associated_with', 'causes']
['diagnoses', 'associated_with', 'coexists_with', 'isa']
['diagnoses', 'causes', 'occurs_in', 'causes']
['diagnoses', 'associated_with', 'isa']
['diagnoses', 'associated_with', 'causes', 'causes']
['diagnoses', 'associated_with', 'coexists_with', 'causes']
['prevents', 'affects', 'associated_with', 'disrupts']
['prevents', 'produces', 'affects', 'causes']
['prevents', 'part_of', 'causes', 'coexists_with']
['prevents', 'isa', 'coexists_with', 'part_of']
['prevents', 'inhibits', 'coexists_with', 'coexists_with']
['prevents', 'part_of', 'same_as', 'coexists_with']
['prevents', 'augments', 'associated_with', 'disrupts']
['prevents', 'part_of', 'inhibits', 'treats']
['prevents', 'coexists_with', 'isa', 'prevents']
['prevents', 'produces', 'stimulates', 'associated_with']
['augments', 'part_of', 'isa', 'augments']
['augments', 'part_of', 'stimulates', 'part_of']
['augments', 'disrupts', 'disrupts', 'augments']
['augments', 'inhibits', 'part_of', 'disrupts']
['augments', 'causes', 'part_of', 'location_of']
['augments', 'produces', 'isa', 'disrupts']
['augments', 'inhibits', 'stimulates', 'complicates']
['augments', 'isa', 'same_as', 'augments']
['augments', 'interacts_with', 'coexists_with', 'prevents']
['augments', 'part_of', 'inhibits', 'isa']
['associated_with', 'part_of', 'compared_with', 'augments']
['associated_with', 'augments', 'interacts_with', 'treats']
['associated_with', 'associated_with', 'coexists_with', 'coexists_with']
['associated_with', 'produces', 'compared_with', 'disrupts']
['associated_with', 'compared_with', 'produces', 'coexists_with']
['associated_with', 'location_of', 'prevents', 'associated_with']
['associated_with', 'coexists_with', 'associated_with', 'stimulates']
['associated_with', 'affects', 'affects', 'produces']
['associated_with', 'isa', 'prevents', 'complicates']
['associated_with', 'disrupts', 'isa', 'treats']
['coexists_with', 'location_of', 'associated_with', 'coexists_with']
['coexists_with', 'affects', 'disrupts', 'associated_with']
['coexists_with', 'causes', 'occurs_in', 'causes']
['coexists_with', 'coexists_with', 'diagnoses', 'isa']
['coexists_with', 'associated_with', 'augments', 'occurs_in']
['coexists_with', 'stimulates', 'interacts_with', 'coexists_with']
['coexists_with', 'produces', 'isa', 'disrupts']
['coexists_with', 'part_of', 'associated_with', 'coexists_with']
['coexists_with', 'inhibits', 'part_of', 'inhibits']
['coexists_with', 'coexists_with', 'compared_with', 'compared_with']
['occurs_in', 'isa', 'coexists_with', 'coexists_with']
['occurs_in', 'isa', 'interacts_with', 'part_of']
['occurs_in', 'causes', 'affects', 'coexists_with']
['occurs_in', 'produces', 'associated_with']
['occurs_in', 'affects', 'coexists_with', 'occurs_in']
['occurs_in', 'coexists_with', 'associated_with', 'coexists_with']
['occurs_in', 'produces', 'associated_with', 'causes']
['occurs_in', 'produces', 'part_of', 'coexists_with']
['occurs_in', 'coexists_with', 'disrupts', 'associated_with']
['occurs_in', 'associated_with', 'part_of', 'part_of']
['disrupts', 'interacts_with', 'complicates', 'coexists_with']
['disrupts', 'complicates', 'produces', 'disrupts']
['disrupts', 'inhibits', 'isa', 'inhibits']
['disrupts', 'augments', 'location_of', 'disrupts']
['disrupts', 'isa', 'part_of', 'affects']
['disrupts', 'part_of', 'associated_with', 'coexists_with']
['disrupts', 'part_of', 'location_of', 'augments']
['disrupts', 'treats', 'associated_with', 'coexists_with']
['disrupts', 'coexists_with', 'part_of', 'disrupts']
['disrupts', 'causes', 'coexists_with', 'stimulates']
['inhibits', 'stimulates', 'disrupts', 'associated_with']
['inhibits', 'location_of', 'affects', 'produces']
['inhibits', 'same_as', 'same_as', 'interacts_with']
['inhibits', 'augments', 'produces', 'same_as']
['inhibits', 'isa', 'coexists_with', 'inhibits']
['inhibits', 'interacts_with', 'same_as', 'treats']
['inhibits', 'isa', 'interacts_with', 'inhibits']
['inhibits', 'treats', 'affects', 'coexists_with']
['inhibits', 'augments', 'coexists_with', 'affects']
['inhibits', 'coexists_with', 'part_of', 'associated_with']
['treats', 'interacts_with', 'treats', 'same_as']
['treats', 'part_of', 'occurs_in']
['treats', 'augments', 'location_of', 'produces']
['treats', 'causes', 'isa', 'location_of']
['treats', 'prevents', 'causes', 'complicates']
['treats', 'compared_with', 'prevents', 'affects']
['treats', 'same_as', 'stimulates', 'complicates']
['treats', 'stimulates', 'isa', 'disrupts']
['treats', 'part_of', 'isa', 'interacts_with']
['treats', 'compared_with', 'complicates', 'coexists_with']
['isa', 'stimulates', 'disrupts', 'interacts_with']
['isa', 'part_of', 'same_as', 'coexists_with']
['isa', 'part_of', 'stimulates']
['isa', 'coexists_with', 'interacts_with', 'interacts_with']
['isa', 'compared_with']
['isa', 'associated_with', 'associated_with', 'interacts_with']
['isa', 'produces', 'location_of', 'inhibits']
['isa', 'stimulates', 'interacts_with', 'affects']
['isa', 'associated_with', 'interacts_with', 'stimulates']
['isa', 'interacts_with', 'affects', 'affects']
['same_as', 'interacts_with', 'produces', 'interacts_with']
['same_as', 'part_of', 'part_of', 'part_of']
['same_as', 'isa', 'associated_with', 'produces']
['same_as', 'inhibits', 'isa', 'part_of']
['same_as', 'disrupts', 'location_of', 'inhibits']
['same_as', 'compared_with', 'location_of', 'interacts_with']
['same_as', 'affects', 'produces', 'part_of']
['same_as', 'part_of', 'disrupts', 'location_of']
['same_as', 'compared_with', 'augments', 'location_of']
['same_as', 'stimulates', 'interacts_with', 'part_of']
['produces', 'compared_with', 'affects', 'affects']
['produces', 'inhibits', 'coexists_with', 'location_of']
['produces', 'location_of', 'complicates', 'causes']
['produces', 'produces', 'part_of', 'location_of']
['produces', 'causes', 'stimulates', 'compared_with']
['produces', 'part_of', 'location_of', 'produces']
['produces', 'produces', 'part_of', 'affects']
['produces', 'produces', 'stimulates', 'interacts_with']
['produces', 'produces', 'produces', 'isa']
['produces', 'isa', 'causes', 'inhibits']
['causes', 'isa', 'treats', 'treats']
['causes', 'same_as', 'treats', 'coexists_with']
['causes', 'treats', 'occurs_in', 'complicates']
['causes', 'augments', 'part_of', 'location_of']
['causes', 'augments', 'produces', 'causes']
['causes', 'same_as', 'associated_with', 'augments']
['causes', 'affects', 'disrupts', 'isa']
['causes', 'stimulates', 'location_of', 'disrupts']
['causes', 'isa', 'coexists_with', 'causes']
['causes', 'disrupts', 'causes', 'affects']
['affects', 'same_as', 'interacts_with', 'complicates']
['affects', 'associated_with', 'occurs_in', 'affects']
