['diagnoses', 'inhibits', 'associated_with', 'complicates']
['diagnoses', 'coexists_with', 'same_as', 'associated_with']
['diagnoses', 'prevents', 'location_of', 'inhibits']
['diagnoses', 'associated_with', 'part_of', 'affects']
['diagnoses', 'causes', 'associated_with', 'interacts_with']
['diagnoses']
['diagnoses', 'isa', 'diagnoses', 'compared_with']
['diagnoses', 'part_of', 'location_of', 'location_of']
['diagnoses', 'part_of', 'associated_with', 'prevents']
['diagnoses', 'causes', 'isa', 'stimulates']
['diagnoses', 'part_of', 'causes', 'interacts_with']
['diagnoses', 'interacts_with', 'stimulates', 'associated_with']
['diagnoses', 'diagnoses', 'affects', 'occurs_in']
['diagnoses', 'complicates', 'location_of', 'compared_with']
['diagnoses', 'disrupts', 'augments', 'location_of']
['diagnoses', 'same_as', 'isa', 'associated_with']
['diagnoses', 'associated_with', 'coexists_with', 'affects']
['diagnoses', 'diagnoses', 'occurs_in', 'associated_with']
['diagnoses', 'prevents']
['diagnoses', 'location_of', 'diagnoses', 'coexists_with']
['diagnoses', 'location_of', 'stimulates', 'stimulates']
['diagnoses', 'interacts_with', 'location_of', 'interacts_with']
['diagnoses', 'compared_with', 'occurs_in', 'diagnoses']
['diagnoses', 'diagnoses', 'augments', 'stimulates']
['diagnoses', 'produces', 'same_as', 'diagnoses']
['diagnoses', 'treats', 'augments', 'disrupts']
['diagnoses', 'isa', 'produces', 'part_of']
['diagnoses', 'treats', 'disrupts', 'complicates']
['diagnoses', 'causes', 'produces', 'inhibits']
['diagnoses', 'prevents', 'stimulates', 'associated_with']
['diagnoses', 'affects', 'coexists_with', 'treats']
['diagnoses', 'inhibits', 'inhibits', 'coexists_with']
['diagnoses', 'part_of', 'prevents', 'causes']
['diagnoses', 'interacts_with', 'interacts_with', 'produces']
['diagnoses', 'interacts_with', 'interacts_with', 'occurs_in']
['diagnoses', 'location_of', 'associated_with', 'occurs_in']
['diagnoses', 'augments', 'augments', 'prevents']
['diagnoses', 'affects', 'interacts_with', 'diagnoses']
['diagnoses', 'causes', 'stimulates', 'part_of']
['diagnoses', 'augments', 'diagnoses', 'associated_with']
['diagnoses', 'augments', 'coexists_with', 'associated_with']
['diagnoses', 'compared_with', 'coexists_with', 'treats']
['diagnoses', 'occurs_in', 'part_of', 'produces']
['diagnoses', 'compared_with', 'stimulates', 'associated_with']
['diagnoses', 'disrupts', 'produces', 'affects']
['diagnoses', 'coexists_with', 'causes', 'coexists_with']
['diagnoses', 'associated_with', 'occurs_in', 'causes']
['diagnoses', 'location_of']
['diagnoses', 'location_of', 'diagnoses', 'compared_with']
['diagnoses', 'affects', 'inhibits', 'diagnoses']
['diagnoses', 'associated_with']
['diagnoses', 'prevents', 'complicates', 'inhibits']
['diagnoses', 'treats', 'stimulates', 'augments']
['diagnoses', 'prevents', 'compared_with', 'prevents']
['diagnoses', 'associated_with', 'associated_with', 'affects']
['diagnoses', 'diagnoses', 'location_of', 'stimulates']
['diagnoses', 'stimulates', 'location_of', 'isa']
['diagnoses', 'coexists_with']
['diagnoses', 'isa', 'treats', 'coexists_with']
['diagnoses', 'compared_with', 'prevents', 'part_of']
['diagnoses', 'complicates', 'isa', 'associated_with']
['diagnoses', 'augments', 'isa', 'treats']
['diagnoses', 'occurs_in', 'interacts_with', 'prevents']
['diagnoses', 'disrupts', 'occurs_in', 'inhibits']
['diagnoses', 'complicates', 'inhibits', 'affects']
['diagnoses', 'stimulates', 'isa', 'disrupts']
['diagnoses', 'affects', 'interacts_with', 'prevents']
['diagnoses', 'produces', 'affects', 'associated_with']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'stimulates', 'compared_with', 'diagnoses']
['diagnoses', 'augments', 'augments', 'affects']
['diagnoses', 'prevents', 'produces', 'disrupts']
['diagnoses', 'inhibits', 'associated_with', 'isa']
['diagnoses', 'treats', 'isa', 'associated_with']
['diagnoses', 'diagnoses', 'same_as', 'compared_with']
['diagnoses', 'compared_with', 'complicates', 'location_of']
['diagnoses', 'coexists_with', 'diagnoses', 'stimulates']
['diagnoses', 'prevents', 'treats', 'complicates']
['diagnoses', 'affects', 'complicates', 'part_of']
['diagnoses', 'produces', 'disrupts', 'location_of']
['diagnoses', 'same_as', 'inhibits', 'part_of']
['diagnoses', 'treats', 'complicates', 'part_of']
['diagnoses', 'location_of', 'occurs_in', 'part_of']
['diagnoses', 'stimulates', 'produces', 'affects']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'disrupts', 'occurs_in', 'compared_with']
['diagnoses', 'interacts_with', 'produces', 'inhibits']
