['diagnoses', 'treats', 'affects', 'diagnoses']
['diagnoses', 'disrupts', 'stimulates', 'associated_with']
['diagnoses', 'stimulates', 'inhibits', 'prevents']
['diagnoses', 'same_as', 'coexists_with', 'stimulates']
['diagnoses', 'part_of', 'diagnoses', 'stimulates']
['diagnoses', 'produces', 'complicates', 'associated_with']
['diagnoses', 'causes', 'prevents', 'produces']
['diagnoses', 'treats', 'part_of', 'compared_with']
['diagnoses', 'part_of', 'isa']
['diagnoses', 'prevents', 'part_of', 'treats']
['diagnoses', 'treats', 'associated_with', 'associated_with']
['diagnoses', 'inhibits', 'prevents', 'augments']
['diagnoses', 'coexists_with', 'produces', 'interacts_with']
['diagnoses', 'part_of', 'compared_with', 'affects']
['diagnoses', 'associated_with', 'prevents', 'occurs_in']
['diagnoses', 'location_of', 'prevents', 'treats']
['diagnoses', 'produces', 'occurs_in', 'prevents']
['diagnoses', 'diagnoses', 'diagnoses', 'associated_with']
['diagnoses', 'same_as', 'produces', 'occurs_in']
['diagnoses', 'augments', 'treats', 'interacts_with']
['diagnoses', 'produces', 'prevents', 'same_as']
['diagnoses', 'prevents', 'same_as', 'prevents']
['diagnoses', 'part_of', 'causes', 'compared_with']
['diagnoses', 'compared_with', 'coexists_with', 'augments']
['diagnoses', 'compared_with', 'isa', 'associated_with']
['diagnoses', 'isa', 'complicates', 'disrupts']
['diagnoses', 'associated_with']
['diagnoses', 'diagnoses', 'affects', 'isa']
['diagnoses', 'isa', 'produces', 'treats']
['diagnoses', 'associated_with', 'prevents', 'interacts_with']
['diagnoses', 'affects', 'affects', 'disrupts']
['diagnoses', 'augments', 'inhibits', 'associated_with']
['diagnoses', 'treats', 'compared_with', 'compared_with']
['diagnoses', 'treats', 'prevents', 'diagnoses']
['diagnoses', 'stimulates', 'location_of', 'location_of']
['diagnoses', 'disrupts', 'part_of', 'treats']
['diagnoses', 'coexists_with', 'causes', 'isa']
['diagnoses', 'produces', 'inhibits', 'inhibits']
