['diagnoses', 'prevents', 'diagnoses', 'diagnoses']
['diagnoses', 'coexists_with', 'inhibits', 'treats']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'causes', 'part_of', 'causes']
['diagnoses', 'causes', 'prevents', 'treats']
['diagnoses', 'treats', 'location_of', 'part_of']
['diagnoses', 'coexists_with']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'prevents', 'coexists_with', 'occurs_in']
['diagnoses', 'same_as', 'coexists_with', 'same_as']
['diagnoses', 'treats', 'inhibits', 'prevents']
['diagnoses', 'augments', 'produces', 'diagnoses']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'causes', 'occurs_in', 'causes']
['diagnoses', 'affects', 'compared_with', 'part_of']
['diagnoses', 'inhibits', 'occurs_in', 'coexists_with']
['diagnoses', 'inhibits', 'location_of', 'augments']
['diagnoses', 'location_of', 'location_of', 'complicates']
['diagnoses', 'complicates', 'inhibits', 'coexists_with']
['diagnoses', 'prevents', 'augments', 'produces']
['diagnoses', 'coexists_with', 'affects', 'associated_with']
['diagnoses', 'disrupts', 'produces', 'same_as']
['diagnoses', 'part_of', 'augments', 'stimulates']
['diagnoses', 'interacts_with', 'inhibits', 'inhibits']
['diagnoses', 'isa', 'coexists_with', 'isa']
['diagnoses', 'treats', 'same_as', 'coexists_with']
['diagnoses', 'stimulates', 'stimulates', 'location_of']
['diagnoses', 'location_of', 'diagnoses', 'augments']
['diagnoses', 'produces', 'complicates', 'interacts_with']
['diagnoses', 'stimulates', 'causes', 'prevents']
['diagnoses', 'same_as', 'compared_with', 'same_as']
['diagnoses', 'coexists_with', 'treats', 'affects']
['diagnoses', 'diagnoses', 'prevents', 'affects']
['diagnoses', 'location_of', 'location_of', 'isa']
['diagnoses', 'produces', 'stimulates', 'diagnoses']
['diagnoses', 'causes', 'augments']
['diagnoses', 'produces', 'occurs_in', 'stimulates']
['diagnoses', 'interacts_with', 'disrupts', 'coexists_with']
['diagnoses', 'diagnoses', 'inhibits', 'isa']
['diagnoses', 'prevents', 'augments']
['diagnoses']
['diagnoses', 'affects', 'inhibits', 'disrupts']
['diagnoses', 'occurs_in', 'inhibits', 'disrupts']
['diagnoses', 'produces', 'prevents', 'occurs_in']
['diagnoses', 'inhibits', 'produces', 'causes']
['diagnoses', 'diagnoses', 'location_of', 'compared_with']
['diagnoses', 'isa', 'prevents', 'augments']
['diagnoses', 'disrupts', 'augments', 'prevents']
['diagnoses', 'treats', 'isa', 'affects']
['diagnoses', 'inhibits', 'produces', 'associated_with']
['diagnoses', 'associated_with', 'affects', 'prevents']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'inhibits', 'complicates', 'prevents']
['diagnoses', 'treats', 'interacts_with', 'associated_with']
['diagnoses', 'complicates', 'causes']
['diagnoses', 'augments', 'causes', 'coexists_with']
['diagnoses', 'disrupts', 'occurs_in', 'coexists_with']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'associated_with', 'produces', 'treats']
['diagnoses', 'produces', 'prevents', 'treats']
['diagnoses', 'location_of', 'affects', 'occurs_in']
['diagnoses', 'location_of', 'isa', 'disrupts']
['diagnoses', 'same_as', 'part_of', 'interacts_with']
['diagnoses', 'occurs_in', 'augments', 'compared_with']
['diagnoses', 'causes', 'interacts_with', 'causes']
['diagnoses', 'prevents', 'interacts_with', 'augments']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'part_of', 'inhibits', 'part_of']
['diagnoses', 'disrupts', 'occurs_in', 'causes']
['diagnoses', 'complicates', 'produces', 'occurs_in']
['diagnoses', 'coexists_with', 'disrupts', 'same_as']
['diagnoses', 'produces', 'produces', 'disrupts']
['diagnoses', 'compared_with', 'compared_with', 'prevents']
['diagnoses', 'causes', 'affects', 'location_of']
['diagnoses', 'coexists_with', 'associated_with', 'coexists_with']
['diagnoses', 'interacts_with', 'prevents', 'part_of']
['diagnoses', 'complicates', 'prevents', 'occurs_in']
['diagnoses', 'occurs_in']
['diagnoses', 'part_of', 'affects', 'treats']
['diagnoses', 'causes', 'stimulates', 'stimulates']
['diagnoses', 'diagnoses', 'inhibits', 'coexists_with']
['diagnoses', 'interacts_with', 'isa', 'isa']
['diagnoses', 'occurs_in', 'location_of', 'compared_with']
['diagnoses', 'prevents', 'coexists_with', 'location_of']
['diagnoses', 'same_as', 'part_of', 'prevents']
['diagnoses', 'produces', 'stimulates', 'disrupts']
['diagnoses', 'associated_with', 'isa', 'associated_with']
['diagnoses', 'prevents', 'occurs_in', 'stimulates']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'coexists_with', 'prevents', 'prevents']
['diagnoses', 'interacts_with', 'inhibits', 'prevents']
['diagnoses', 'produces', 'stimulates', 'prevents']
['diagnoses', 'associated_with', 'part_of', 'same_as']
['diagnoses', 'isa', 'treats', 'prevents']
['diagnoses', 'augments']
