['diagnoses', 'part_of', 'affects', 'prevents']
['diagnoses', 'same_as', 'stimulates', 'occurs_in']
['diagnoses', 'location_of', 'diagnoses', 'same_as']
['diagnoses', 'causes', 'diagnoses', 'augments']
['diagnoses', 'affects', 'augments', 'associated_with']
['diagnoses', 'affects', 'augments', 'stimulates']
['diagnoses', 'augments', 'prevents', 'interacts_with']
['diagnoses', 'stimulates', 'interacts_with', 'location_of']
['diagnoses', 'part_of', 'compared_with', 'affects']
['diagnoses', 'stimulates', 'complicates', 'causes']
['diagnoses', 'produces', 'prevents']
['diagnoses', 'diagnoses', 'inhibits', 'prevents']
['diagnoses', 'inhibits', 'same_as', 'compared_with']
['diagnoses', 'interacts_with', 'prevents', 'isa']
['diagnoses', 'location_of', 'stimulates', 'stimulates']
['diagnoses', 'stimulates', 'diagnoses', 'associated_with']
['diagnoses', 'part_of', 'coexists_with', 'stimulates']
['diagnoses', 'same_as', 'produces', 'occurs_in']
['diagnoses', 'inhibits', 'causes', 'interacts_with']
['diagnoses', 'associated_with', 'diagnoses', 'causes']
['diagnoses', 'inhibits', 'affects', 'stimulates']
['diagnoses', 'treats', 'part_of', 'location_of']
['diagnoses', 'augments', 'same_as', 'coexists_with']
['diagnoses', 'causes', 'causes', 'stimulates']
['diagnoses', 'occurs_in', 'causes', 'complicates']
['diagnoses', 'diagnoses', 'produces', 'inhibits']
['diagnoses', 'affects', 'affects', 'causes']
['diagnoses', 'prevents', 'treats', 'treats']
['diagnoses', 'causes', 'part_of', 'inhibits']
['diagnoses', 'occurs_in']
['diagnoses', 'disrupts', 'complicates', 'augments']
['diagnoses', 'disrupts', 'compared_with', 'same_as']
['diagnoses', 'compared_with', 'interacts_with', 'augments']
['diagnoses', 'part_of', 'causes', 'stimulates']
['diagnoses', 'causes', 'complicates', 'diagnoses']
['diagnoses', 'treats', 'interacts_with', 'disrupts']
['diagnoses', 'stimulates', 'affects', 'stimulates']
['diagnoses', 'complicates', 'complicates', 'complicates']
['diagnoses', 'inhibits', 'treats', 'treats']
['diagnoses', 'location_of', 'inhibits', 'causes']
['diagnoses', 'occurs_in', 'complicates', 'produces']
['diagnoses', 'prevents']
['diagnoses', 'diagnoses', 'coexists_with', 'disrupts']
['diagnoses', 'prevents', 'location_of', 'augments']
['diagnoses', 'diagnoses', 'treats', 'complicates']
['diagnoses', 'location_of', 'complicates', 'causes']
['diagnoses', 'part_of', 'affects', 'inhibits']
['diagnoses', 'compared_with', 'occurs_in', 'prevents']
['diagnoses', 'coexists_with', 'affects', 'location_of']
['diagnoses', 'produces', 'treats', 'stimulates']
['diagnoses', 'causes', 'prevents', 'affects']
['diagnoses', 'occurs_in', 'causes', 'inhibits']
['diagnoses', 'complicates', 'affects', 'diagnoses']
['diagnoses', 'location_of', 'affects', 'isa']
['diagnoses', 'prevents', 'part_of', 'diagnoses']
['diagnoses', 'coexists_with', 'interacts_with', 'disrupts']
['diagnoses', 'stimulates', 'complicates', 'occurs_in']
['diagnoses', 'treats', 'stimulates', 'causes']
['diagnoses', 'same_as', 'prevents', 'location_of']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'treats']
['diagnoses', 'location_of', 'isa', 'treats']
['diagnoses', 'same_as', 'isa', 'affects']
['diagnoses', 'isa', 'produces', 'disrupts']
['diagnoses', 'inhibits', 'coexists_with', 'coexists_with']
['diagnoses', 'interacts_with', 'treats', 'coexists_with']
['diagnoses', 'location_of', 'location_of', 'affects']
['diagnoses', 'affects', 'coexists_with', 'disrupts']
['diagnoses', 'complicates', 'same_as', 'isa']
['diagnoses', 'compared_with', 'complicates', 'prevents']
['diagnoses', 'isa', 'affects', 'coexists_with']
['diagnoses', 'stimulates', 'inhibits', 'treats']
['diagnoses', 'affects', 'part_of', 'part_of']
['diagnoses', 'compared_with', 'causes', 'treats']
['diagnoses', 'occurs_in', 'augments', 'complicates']
['diagnoses', 'augments', 'stimulates', 'coexists_with']
['diagnoses', 'causes', 'same_as', 'complicates']
['diagnoses']
['diagnoses', 'treats', 'augments', 'same_as']
['diagnoses', 'isa', 'augments', 'complicates']
['diagnoses', 'produces', 'causes', 'interacts_with']
