['diagnoses', 'prevents', 'complicates', 'inhibits']
['diagnoses', 'part_of', 'causes', 'interacts_with']
['diagnoses', 'coexists_with', 'same_as', 'associated_with']
['diagnoses', 'isa', 'produces', 'location_of']
['diagnoses', 'treats', 'stimulates', 'augments']
['diagnoses', 'diagnoses', 'location_of', 'stimulates']
['diagnoses', 'associated_with', 'part_of', 'affects']
['diagnoses', 'causes', 'associated_with', 'interacts_with']
['diagnoses', 'coexists_with']
['diagnoses', 'interacts_with', 'location_of', 'interacts_with']
['diagnoses', 'occurs_in', 'part_of', 'produces']
['diagnoses', 'compared_with', 'prevents', 'part_of']
['diagnoses', 'complicates', 'isa', 'associated_with']
['diagnoses', 'part_of', 'location_of', 'location_of']
['diagnoses', 'treats', 'interacts_with', 'prevents']
['diagnoses', 'diagnoses', 'affects', 'occurs_in']
['diagnoses', 'occurs_in', 'interacts_with', 'prevents']
['diagnoses', 'disrupts', 'occurs_in', 'inhibits']
['diagnoses', 'disrupts', 'augments', 'location_of']
['diagnoses', 'inhibits', 'stimulates', 'produces']
['diagnoses', 'stimulates', 'isa', 'disrupts']
['diagnoses', 'produces', 'affects', 'associated_with']
['diagnoses', 'prevents', 'augments', 'disrupts']
['diagnoses', 'compared_with', 'occurs_in', 'diagnoses']
['diagnoses', 'causes', 'produces', 'inhibits']
['diagnoses', 'augments', 'augments', 'affects']
['diagnoses', 'prevents', 'produces', 'disrupts']
['diagnoses', 'diagnoses', 'augments', 'stimulates']
['diagnoses', 'location_of', 'associated_with', 'produces']
['diagnoses', 'location_of']
['diagnoses', 'treats', 'augments', 'disrupts']
['diagnoses', 'interacts_with', 'interacts_with', 'produces']
['diagnoses', 'inhibits', 'associated_with', 'isa']
['diagnoses', 'prevents', 'location_of', 'inhibits']
['diagnoses', 'treats', 'isa', 'associated_with']
['diagnoses', 'diagnoses', 'same_as', 'compared_with']
['diagnoses', 'coexists_with', 'diagnoses', 'stimulates']
['diagnoses', 'part_of', 'associated_with', 'prevents']
['diagnoses', 'prevents', 'treats', 'complicates']
['diagnoses', 'interacts_with', 'produces', 'inhibits']
['diagnoses', 'affects', 'coexists_with', 'treats']
['diagnoses', 'inhibits', 'treats', 'produces']
['diagnoses', 'affects', 'complicates', 'part_of']
['diagnoses', 'inhibits', 'associated_with', 'complicates']
['diagnoses', 'location_of', 'stimulates', 'stimulates']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'augments', 'coexists_with', 'associated_with']
['diagnoses', 'coexists_with', 'same_as', 'treats']
['diagnoses', 'compared_with', 'coexists_with', 'treats']
['diagnoses', 'isa', 'produces', 'part_of']
['diagnoses', 'compared_with', 'stimulates', 'associated_with']
['diagnoses', 'location_of', 'complicates', 'isa']
['diagnoses', 'associated_with', 'coexists_with', 'compared_with']
['diagnoses', 'isa', 'compared_with', 'disrupts']
['diagnoses']
['diagnoses', 'part_of', 'prevents', 'causes']
['diagnoses', 'location_of', 'diagnoses', 'compared_with']
['diagnoses', 'interacts_with', 'interacts_with', 'occurs_in']
['diagnoses', 'affects', 'inhibits', 'diagnoses']
['diagnoses', 'causes', 'isa', 'stimulates']
['diagnoses', 'stimulates', 'produces', 'affects']
['diagnoses', 'prevents', 'compared_with', 'prevents']
['diagnoses', 'stimulates', 'location_of', 'isa']
['diagnoses', 'isa', 'diagnoses', 'compared_with']
['diagnoses', 'isa', 'treats', 'coexists_with']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'treats', 'disrupts', 'complicates']
['diagnoses', 'augments', 'isa', 'treats']
['diagnoses', 'interacts_with', 'stimulates', 'associated_with']
['diagnoses', 'complicates', 'location_of', 'compared_with']
['diagnoses', 'diagnoses', 'occurs_in', 'associated_with']
['diagnoses', 'location_of', 'diagnoses', 'coexists_with']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'stimulates', 'compared_with', 'diagnoses']
['diagnoses', 'interacts_with', 'interacts_with', 'diagnoses']
['diagnoses', 'prevents', 'stimulates', 'associated_with']
['diagnoses', 'interacts_with', 'occurs_in', 'produces']
['diagnoses', 'associated_with']
['diagnoses', 'causes', 'stimulates', 'part_of']
['diagnoses', 'prevents', 'produces', 'prevents']
['diagnoses', 'inhibits', 'inhibits', 'coexists_with']
['diagnoses', 'produces', 'same_as', 'interacts_with']
['diagnoses', 'produces', 'disrupts', 'location_of']
['diagnoses', 'same_as', 'inhibits', 'part_of']
['diagnoses', 'coexists_with', 'causes', 'coexists_with']
['diagnoses', 'complicates', 'inhibits', 'causes']
['diagnoses', 'treats', 'complicates', 'part_of']
['diagnoses', 'augments', 'diagnoses', 'associated_with']
['diagnoses', 'location_of', 'occurs_in', 'part_of']
['diagnoses', 'disrupts', 'occurs_in', 'compared_with']
['diagnoses', 'prevents', 'interacts_with', 'isa']
['diagnoses', 'disrupts', 'produces', 'affects']
