['diagnoses', 'stimulates', 'associated_with', 'part_of']
['diagnoses', 'produces', 'isa', 'isa']
['diagnoses', 'complicates', 'causes', 'compared_with']
['diagnoses', 'complicates', 'complicates', 'prevents']
['diagnoses', 'produces', 'part_of', 'disrupts']
['diagnoses', 'same_as', 'compared_with', 'same_as']
['diagnoses', 'augments', 'diagnoses', 'augments']
['diagnoses', 'compared_with', 'part_of', 'stimulates']
['diagnoses', 'prevents', 'inhibits', 'causes']
['diagnoses', 'associated_with', 'treats', 'treats']
['diagnoses', 'inhibits', 'associated_with', 'disrupts']
['diagnoses', 'treats', 'inhibits', 'coexists_with']
['diagnoses', 'augments', 'treats', 'produces']
['diagnoses', 'augments', 'location_of', 'causes']
['diagnoses', 'compared_with', 'treats', 'coexists_with']
['diagnoses', 'produces', 'prevents', 'interacts_with']
['diagnoses', 'part_of', 'stimulates', 'augments']
['diagnoses', 'affects', 'interacts_with', 'interacts_with']
['diagnoses', 'affects', 'prevents', 'causes']
['diagnoses', 'affects', 'coexists_with', 'causes']
['diagnoses', 'interacts_with', 'occurs_in', 'affects']
['diagnoses', 'complicates', 'same_as', 'diagnoses']
['diagnoses', 'interacts_with', 'augments', 'complicates']
['diagnoses', 'affects', 'same_as', 'isa']
['diagnoses', 'diagnoses', 'prevents', 'interacts_with']
['diagnoses', 'isa', 'stimulates', 'location_of']
['diagnoses', 'augments', 'coexists_with', 'diagnoses']
['diagnoses', 'compared_with', 'interacts_with', 'same_as']
['diagnoses', 'complicates', 'inhibits', 'prevents']
['diagnoses', 'complicates', 'isa', 'augments']
['diagnoses', 'location_of', 'inhibits', 'causes']
['diagnoses', 'diagnoses', 'same_as', 'diagnoses']
['diagnoses', 'occurs_in', 'complicates', 'associated_with']
['diagnoses', 'inhibits', 'causes', 'stimulates']
['diagnoses', 'complicates', 'diagnoses', 'produces']
['diagnoses', 'location_of', 'stimulates', 'coexists_with']
['diagnoses', 'diagnoses', 'affects', 'augments']
['diagnoses', 'isa', 'compared_with']
['diagnoses', 'inhibits', 'coexists_with', 'location_of']
['diagnoses', 'causes', 'augments', 'complicates']
['diagnoses', 'interacts_with', 'inhibits', 'prevents']
['diagnoses', 'isa', 'occurs_in', 'part_of']
['diagnoses', 'augments', 'causes', 'prevents']
['diagnoses', 'produces', 'location_of', 'location_of']
['diagnoses', 'same_as']
['diagnoses', 'interacts_with']
['diagnoses', 'disrupts', 'interacts_with', 'location_of']
['diagnoses', 'causes', 'complicates', 'coexists_with']
['diagnoses', 'isa', 'location_of', 'complicates']
['diagnoses', 'treats', 'disrupts', 'produces']
['diagnoses', 'augments', 'produces', 'augments']
['diagnoses', 'disrupts', 'location_of', 'coexists_with']
['diagnoses', 'complicates', 'prevents', 'causes']
['diagnoses', 'part_of', 'part_of', 'stimulates']
['diagnoses', 'interacts_with', 'diagnoses', 'interacts_with']
['diagnoses', 'complicates']
['diagnoses', 'associated_with', 'compared_with', 'associated_with']
['diagnoses', 'diagnoses', 'part_of', 'associated_with']
['diagnoses', 'produces', 'interacts_with', 'inhibits']
