['diagnoses', 'location_of', 'causes', 'location_of']
['diagnoses', 'complicates', 'location_of', 'occurs_in']
['diagnoses', 'augments', 'part_of', 'diagnoses']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'affects', 'diagnoses', 'location_of']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'interacts_with', 'produces', 'diagnoses']
['diagnoses', 'disrupts', 'location_of', 'diagnoses']
['diagnoses', 'part_of', 'occurs_in', 'coexists_with']
['diagnoses', 'diagnoses', 'location_of', 'isa']
['diagnoses', 'causes', 'compared_with', 'augments']
['diagnoses', 'compared_with', 'part_of', 'produces']
['diagnoses', 'stimulates', 'augments', 'isa']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'affects', 'stimulates', 'same_as']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'coexists_with', 'interacts_with', 'occurs_in']
['diagnoses', 'same_as', 'associated_with', 'treats']
['diagnoses', 'produces', 'stimulates', 'augments']
['diagnoses', 'affects', 'associated_with', 'interacts_with']
['diagnoses', 'causes', 'location_of', 'compared_with']
['diagnoses', 'occurs_in']
['diagnoses', 'inhibits', 'produces', 'complicates']
['diagnoses', 'complicates']
['diagnoses', 'compared_with', 'occurs_in', 'augments']
['diagnoses', 'disrupts', 'compared_with', 'same_as']
['diagnoses', 'produces', 'produces', 'treats']
['diagnoses', 'prevents', 'disrupts', 'stimulates']
['diagnoses', 'stimulates', 'same_as', 'produces']
['diagnoses', 'coexists_with', 'associated_with', 'same_as']
['diagnoses', 'inhibits']
['diagnoses', 'produces', 'coexists_with', 'part_of']
['diagnoses', 'stimulates', 'inhibits', 'affects']
['diagnoses', 'disrupts', 'produces', 'inhibits']
['diagnoses', 'complicates', 'affects', 'causes']
['diagnoses', 'location_of', 'treats', 'part_of']
['diagnoses', 'same_as', 'inhibits', 'interacts_with']
['diagnoses', 'coexists_with', 'occurs_in', 'augments']
['diagnoses', 'causes', 'causes', 'produces']
['diagnoses', 'stimulates', 'stimulates', 'inhibits']
['diagnoses', 'occurs_in', 'stimulates', 'isa']
['diagnoses', 'isa', 'interacts_with', 'occurs_in']
['diagnoses', 'inhibits', 'occurs_in', 'prevents']
['diagnoses', 'produces', 'occurs_in', 'location_of']
['diagnoses', 'occurs_in', 'associated_with', 'part_of']
['diagnoses', 'isa', 'complicates']
['diagnoses', 'part_of', 'diagnoses', 'prevents']
['diagnoses', 'inhibits', 'produces', 'disrupts']
['diagnoses', 'compared_with', 'prevents', 'coexists_with']
['diagnoses', 'occurs_in', 'augments', 'stimulates']
['diagnoses', 'affects', 'prevents', 'affects']
['diagnoses', 'occurs_in', 'stimulates', 'coexists_with']
['diagnoses', 'diagnoses', 'causes', 'location_of']
['diagnoses', 'augments', 'coexists_with', 'location_of']
['diagnoses']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'prevents', 'isa', 'compared_with']
['diagnoses', 'stimulates', 'augments', 'prevents']
['diagnoses', 'causes', 'occurs_in', 'compared_with']
['diagnoses', 'stimulates', 'isa', 'complicates']
['diagnoses', 'causes', 'compared_with', 'location_of']
['diagnoses', 'location_of', 'treats', 'disrupts']
['diagnoses', 'same_as', 'stimulates', 'produces']
['diagnoses', 'prevents', 'produces', 'complicates']
['diagnoses', 'complicates', 'produces', 'location_of']
['diagnoses', 'complicates', 'prevents', 'treats']
['diagnoses', 'compared_with', 'occurs_in', 'stimulates']
['diagnoses', 'augments', 'complicates', 'associated_with']
['diagnoses', 'disrupts', 'augments', 'affects']
['diagnoses', 'part_of', 'part_of', 'part_of']
['diagnoses', 'prevents', 'associated_with', 'augments']
['diagnoses', 'location_of', 'treats', 'interacts_with']
['diagnoses', 'treats', 'prevents', 'inhibits']
['diagnoses', 'treats', 'causes', 'prevents']
['diagnoses', 'causes', 'prevents', 'inhibits']
['diagnoses', 'prevents', 'part_of']
['diagnoses', 'disrupts', 'disrupts', 'compared_with']
['diagnoses', 'complicates', 'produces', 'inhibits']
['diagnoses', 'location_of', 'produces', 'same_as']
['diagnoses', 'affects', 'location_of', 'produces']
['diagnoses', 'same_as', 'augments', 'augments']
['diagnoses', 'augments', 'location_of', 'isa']
['diagnoses', 'produces', 'location_of', 'produces']
['diagnoses', 'causes', 'produces', 'coexists_with']
['diagnoses', 'diagnoses', 'interacts_with', 'isa']
['diagnoses', 'occurs_in', 'part_of', 'treats']
['diagnoses', 'inhibits', 'part_of', 'prevents']
['diagnoses', 'stimulates', 'stimulates', 'complicates']
['diagnoses', 'complicates', 'stimulates', 'complicates']
['diagnoses', 'diagnoses', 'disrupts', 'disrupts']
['diagnoses', 'causes', 'diagnoses', 'interacts_with']
['diagnoses', 'interacts_with', 'associated_with', 'produces']
['diagnoses', 'location_of']
['diagnoses', 'affects', 'produces', 'disrupts']
['diagnoses', 'location_of', 'augments', 'produces']
['diagnoses', 'stimulates', 'produces', 'augments']
['diagnoses', 'affects', 'associated_with', 'isa']
['diagnoses', 'diagnoses', 'prevents', 'causes']
['occurs_in', 'causes']
['occurs_in', 'occurs_in', 'stimulates', 'coexists_with']
['occurs_in', 'interacts_with', 'stimulates', 'prevents']
