['diagnoses', 'treats', 'isa', 'affects']
['diagnoses', 'coexists_with', 'inhibits', 'treats']
['diagnoses', 'associated_with', 'affects', 'prevents']
['diagnoses', 'same_as', 'occurs_in', 'coexists_with']
['diagnoses', 'location_of', 'diagnoses', 'same_as']
['diagnoses', 'complicates', 'causes']
['diagnoses', 'same_as', 'compared_with', 'same_as']
['diagnoses', 'causes', 'prevents', 'treats']
['diagnoses', 'treats', 'location_of', 'part_of']
['diagnoses', 'coexists_with']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'interacts_with', 'disrupts', 'coexists_with']
['diagnoses', 'produces', 'prevents', 'treats']
['diagnoses', 'location_of', 'isa', 'disrupts']
['diagnoses', 'occurs_in', 'augments', 'compared_with']
['diagnoses', 'causes', 'interacts_with', 'causes']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'causes', 'occurs_in', 'causes']
['diagnoses', 'inhibits', 'location_of', 'augments']
['diagnoses', 'associated_with', 'produces', 'treats']
['diagnoses', 'produces', 'produces', 'disrupts']
['diagnoses']
['diagnoses', 'disrupts', 'produces', 'same_as']
['diagnoses', 'interacts_with', 'causes', 'part_of']
['diagnoses', 'part_of', 'affects', 'part_of']
['diagnoses', 'compared_with', 'compared_with', 'prevents']
['diagnoses', 'disrupts', 'occurs_in', 'coexists_with']
['diagnoses', 'part_of', 'affects', 'treats']
['diagnoses', 'augments', 'same_as', 'diagnoses']
['diagnoses', 'causes', 'stimulates', 'stimulates']
['diagnoses', 'diagnoses', 'inhibits', 'coexists_with']
['diagnoses', 'interacts_with', 'isa', 'isa']
['diagnoses', 'prevents', 'coexists_with', 'location_of']
['diagnoses', 'isa', 'prevents', 'augments']
['diagnoses', 'stimulates', 'stimulates', 'location_of']
['diagnoses', 'treats', 'interacts_with', 'disrupts']
['diagnoses', 'same_as', 'part_of', 'same_as']
['diagnoses', 'associated_with', 'isa', 'associated_with']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'location_of', 'location_of', 'isa']
['diagnoses', 'produces', 'stimulates', 'prevents']
['diagnoses', 'associated_with', 'part_of', 'same_as']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'prevents', 'augments']
['diagnoses', 'complicates', 'occurs_in', 'disrupts']
['diagnoses', 'treats', 'same_as', 'coexists_with']
['diagnoses', 'prevents', 'coexists_with']
['diagnoses', 'disrupts', 'same_as', 'prevents']
['diagnoses', 'complicates', 'isa', 'coexists_with']
['diagnoses', 'same_as', 'causes', 'coexists_with']
['diagnoses', 'location_of', 'interacts_with', 'inhibits']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'location_of', 'location_of', 'same_as']
['diagnoses', 'coexists_with', 'disrupts', 'same_as']
['diagnoses', 'location_of', 'affects', 'occurs_in']
['diagnoses', 'affects', 'compared_with', 'occurs_in']
['diagnoses', 'same_as', 'part_of', 'interacts_with']
['diagnoses', 'inhibits', 'complicates', 'prevents']
['diagnoses', 'treats', 'inhibits', 'prevents']
['diagnoses', 'disrupts', 'occurs_in', 'causes']
['diagnoses', 'complicates', 'produces', 'occurs_in']
['diagnoses', 'prevents', 'diagnoses', 'diagnoses']
['diagnoses', 'produces', 'coexists_with', 'stimulates']
['diagnoses', 'same_as', 'coexists_with', 'same_as']
['diagnoses', 'augments']
['diagnoses', 'coexists_with', 'prevents']
['diagnoses', 'coexists_with', 'affects', 'isa']
['diagnoses', 'prevents', 'interacts_with', 'augments']
['diagnoses', 'causes', 'affects', 'location_of']
['diagnoses', 'coexists_with', 'associated_with', 'coexists_with']
['diagnoses', 'prevents', 'augments', 'produces']
['diagnoses', 'complicates', 'prevents', 'occurs_in']
['diagnoses', 'occurs_in']
['diagnoses', 'occurs_in', 'location_of', 'compared_with']
['diagnoses', 'stimulates', 'causes', 'coexists_with']
['diagnoses', 'produces', 'stimulates', 'disrupts']
['diagnoses', 'inhibits', 'produces', 'associated_with']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'isa', 'treats', 'prevents']
['diagnoses', 'prevents', 'occurs_in', 'stimulates']
['diagnoses', 'produces', 'complicates', 'interacts_with']
['diagnoses', 'coexists_with', 'prevents', 'prevents']
['diagnoses', 'coexists_with', 'treats', 'affects']
['diagnoses', 'diagnoses', 'prevents', 'affects']
['diagnoses', 'produces', 'stimulates', 'diagnoses']
['diagnoses', 'causes', 'augments']
['diagnoses', 'produces', 'occurs_in', 'stimulates']
['diagnoses', 'diagnoses', 'inhibits', 'isa']
['diagnoses', 'interacts_with', 'inhibits', 'stimulates']
['diagnoses', 'inhibits', 'stimulates', 'causes']
['diagnoses', 'affects', 'inhibits', 'disrupts']
['diagnoses', 'interacts_with', 'inhibits', 'prevents']
['diagnoses', 'occurs_in', 'inhibits', 'disrupts']
['diagnoses', 'produces', 'prevents', 'occurs_in']
['diagnoses', 'isa', 'coexists_with', 'isa']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'diagnoses', 'location_of', 'diagnoses']
['occurs_in', 'compared_with', 'diagnoses', 'inhibits']
['occurs_in', 'prevents', 'produces', 'compared_with']
['occurs_in', 'coexists_with', 'complicates', 'stimulates']
['occurs_in', 'occurs_in', 'disrupts', 'isa']
['occurs_in', 'part_of', 'associated_with', 'compared_with']
['occurs_in', 'treats', 'affects', 'causes']
['occurs_in', 'produces', 'treats', 'interacts_with']
['occurs_in', 'part_of', 'affects', 'inhibits']
['occurs_in', 'part_of', 'part_of', 'diagnoses']
['occurs_in', 'coexists_with', 'interacts_with']
['occurs_in', 'treats', 'coexists_with', 'occurs_in']
['occurs_in', 'causes', 'occurs_in', 'isa']
['occurs_in', 'location_of', 'disrupts', 'diagnoses']
['occurs_in', 'treats', 'prevents', 'coexists_with']
['occurs_in', 'interacts_with', 'isa', 'prevents']
['occurs_in', 'affects', 'location_of', 'causes']
['occurs_in', 'stimulates', 'augments', 'coexists_with']
['occurs_in', 'same_as', 'occurs_in', 'causes']
['occurs_in', 'associated_with', 'compared_with', 'produces']
['occurs_in', 'prevents', 'augments', 'coexists_with']
['occurs_in', 'prevents', 'coexists_with', 'isa']
['occurs_in', 'diagnoses', 'treats', 'isa']
['occurs_in', 'disrupts', 'associated_with', 'inhibits']
['occurs_in', 'occurs_in', 'same_as', 'complicates']
['occurs_in', 'complicates', 'inhibits', 'isa']
['occurs_in', 'causes', 'isa', 'stimulates']
['occurs_in', 'augments', 'affects', 'affects']
['occurs_in', 'compared_with', 'stimulates', 'treats']
['occurs_in', 'coexists_with', 'associated_with', 'location_of']
['occurs_in', 'causes', 'causes', 'same_as']
['occurs_in', 'disrupts', 'interacts_with', 'compared_with']
['occurs_in', 'causes', 'affects', 'causes']
['occurs_in', 'augments', 'coexists_with', 'treats']
['occurs_in', 'compared_with', 'inhibits', 'same_as']
