['diagnoses', 'disrupts', 'produces', 'produces']
['diagnoses', 'complicates', 'location_of', 'occurs_in']
['diagnoses', 'affects', 'diagnoses', 'location_of']
['diagnoses', 'coexists_with', 'augments', 'affects']
['diagnoses', 'part_of', 'diagnoses', 'prevents']
['diagnoses', 'inhibits', 'produces', 'disrupts']
['diagnoses', 'prevents', 'associated_with', 'augments']
['diagnoses', 'interacts_with', 'produces', 'diagnoses']
['diagnoses', 'affects', 'prevents', 'affects']
['diagnoses', 'occurs_in', 'stimulates', 'coexists_with']
['diagnoses', 'diagnoses', 'location_of', 'isa']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'stimulates', 'augments', 'prevents']
['diagnoses', 'complicates', 'produces', 'inhibits']
['diagnoses', 'compared_with', 'part_of', 'produces']
['diagnoses', 'location_of', 'treats', 'disrupts']
['diagnoses', 'affects', 'produces', 'disrupts']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'same_as', 'stimulates', 'produces']
['diagnoses', 'affects', 'stimulates', 'same_as']
['diagnoses', 'augments', 'disrupts', 'isa']
['diagnoses', 'inhibits', 'same_as', 'disrupts']
['diagnoses', 'complicates', 'prevents', 'treats']
['diagnoses', 'compared_with', 'occurs_in', 'stimulates']
['diagnoses', 'complicates', 'same_as', 'diagnoses']
['diagnoses', 'augments', 'complicates', 'associated_with']
['diagnoses', 'treats', 'augments', 'prevents']
['diagnoses', 'affects', 'diagnoses', 'interacts_with']
['diagnoses', 'location_of', 'treats', 'interacts_with']
['diagnoses', 'treats', 'prevents', 'inhibits']
['diagnoses', 'prevents', 'part_of']
['diagnoses', 'inhibits', 'produces', 'complicates']
['diagnoses', 'disrupts', 'coexists_with', 'diagnoses']
['diagnoses', 'compared_with', 'occurs_in', 'augments']
['diagnoses', 'coexists_with', 'occurs_in', 'augments']
['diagnoses', 'affects', 'location_of', 'produces']
['diagnoses', 'location_of', 'augments', 'produces']
['diagnoses', 'disrupts', 'compared_with', 'same_as']
['diagnoses', 'produces', 'produces', 'treats']
['diagnoses', 'disrupts', 'same_as', 'causes']
['diagnoses', 'produces', 'location_of', 'produces']
['diagnoses', 'causes', 'occurs_in', 'same_as']
['diagnoses', 'stimulates', 'same_as', 'produces']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'isa', 'same_as']
['diagnoses', 'coexists_with', 'associated_with', 'same_as']
['diagnoses', 'diagnoses', 'interacts_with', 'isa']
['diagnoses', 'treats']
['diagnoses', 'same_as', 'inhibits', 'interacts_with']
['diagnoses', 'causes', 'diagnoses', 'interacts_with']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'treats', 'compared_with', 'location_of']
['diagnoses', 'location_of', 'causes', 'treats']
['diagnoses']
['diagnoses', 'compared_with', 'prevents', 'coexists_with']
['diagnoses', 'causes', 'causes', 'produces']
['diagnoses', 'stimulates', 'augments', 'isa']
['diagnoses', 'inhibits', 'part_of', 'prevents']
['diagnoses', 'isa', 'part_of', 'part_of']
['diagnoses', 'complicates', 'produces', 'location_of']
['diagnoses', 'augments', 'part_of', 'diagnoses']
['diagnoses', 'produces', 'coexists_with', 'augments']
['diagnoses', 'occurs_in', 'associated_with', 'part_of']
['diagnoses', 'interacts_with', 'associated_with', 'produces']
['diagnoses', 'same_as', 'produces', 'augments']
['diagnoses', 'part_of', 'occurs_in', 'coexists_with']
['diagnoses', 'diagnoses', 'causes', 'location_of']
['diagnoses', 'augments', 'coexists_with', 'location_of']
['diagnoses', 'coexists_with']
['diagnoses', 'prevents', 'isa', 'compared_with']
['diagnoses', 'stimulates', 'isa', 'complicates']
['diagnoses', 'causes', 'compared_with', 'augments']
['diagnoses', 'produces', 'coexists_with', 'coexists_with']
['diagnoses', 'stimulates', 'stimulates', 'coexists_with']
['diagnoses', 'coexists_with', 'interacts_with', 'occurs_in']
['diagnoses', 'same_as', 'coexists_with', 'treats']
['diagnoses', 'treats', 'causes', 'prevents']
['diagnoses', 'causes', 'prevents', 'inhibits']
