['diagnoses', 'produces', 'location_of', 'occurs_in']
['diagnoses', 'same_as', 'causes', 'interacts_with']
['diagnoses', 'diagnoses', 'complicates', 'part_of']
['diagnoses', 'compared_with', 'compared_with', 'occurs_in']
['diagnoses', 'part_of', 'prevents', 'occurs_in']
['diagnoses', 'compared_with', 'produces', 'same_as']
['diagnoses', 'stimulates', 'stimulates', 'treats']
['diagnoses', 'prevents', 'diagnoses', 'interacts_with']
['diagnoses', 'prevents', 'complicates', 'location_of']
['diagnoses', 'complicates', 'inhibits', 'interacts_with']
['diagnoses', 'diagnoses', 'diagnoses', 'causes']
['diagnoses', 'occurs_in', 'augments', 'stimulates']
['diagnoses', 'complicates', 'compared_with', 'complicates']
['diagnoses', 'complicates', 'inhibits', 'complicates']
['diagnoses', 'complicates', 'causes', 'augments']
['diagnoses', 'produces']
['diagnoses', 'diagnoses', 'part_of', 'same_as']
['diagnoses', 'affects', 'interacts_with', 'location_of']
['diagnoses', 'same_as', 'coexists_with', 'complicates']
['diagnoses', 'isa', 'occurs_in', 'location_of']
['diagnoses', 'same_as', 'affects', 'interacts_with']
['diagnoses', 'augments', 'location_of', 'compared_with']
['diagnoses', 'affects', 'stimulates', 'isa']
['diagnoses', 'associated_with', 'produces', 'augments']
['diagnoses', 'complicates', 'diagnoses', 'part_of']
['diagnoses', 'inhibits', 'same_as', 'treats']
['diagnoses', 'location_of', 'augments', 'isa']
['diagnoses', 'compared_with', 'augments', 'diagnoses']
['diagnoses', 'complicates', 'treats', 'same_as']
['diagnoses', 'disrupts', 'isa', 'part_of']
['diagnoses', 'inhibits', 'treats', 'stimulates']
['diagnoses']
['diagnoses', 'treats', 'occurs_in', 'location_of']
['diagnoses', 'affects', 'treats', 'occurs_in']
['diagnoses', 'stimulates']
['diagnoses', 'compared_with', 'affects', 'affects']
['diagnoses', 'causes', 'associated_with', 'augments']
['diagnoses', 'inhibits', 'location_of', 'prevents']
['diagnoses', 'complicates', 'prevents', 'affects']
['diagnoses', 'location_of', 'diagnoses', 'occurs_in']
['diagnoses', 'causes', 'inhibits', 'occurs_in']
['diagnoses', 'compared_with', 'inhibits', 'complicates']
['diagnoses', 'inhibits', 'location_of', 'produces']
['diagnoses', 'coexists_with', 'causes', 'coexists_with']
['diagnoses', 'stimulates', 'associated_with', 'causes']
['diagnoses', 'coexists_with', 'prevents', 'isa']
['diagnoses', 'augments', 'interacts_with', 'complicates']
['diagnoses', 'causes', 'complicates', 'disrupts']
['diagnoses', 'inhibits', 'occurs_in', 'coexists_with']
['diagnoses', 'part_of', 'disrupts', 'augments']
['diagnoses', 'isa', 'augments', 'produces']
['diagnoses', 'causes', 'produces', 'stimulates']
['diagnoses', 'disrupts', 'treats', 'augments']
['diagnoses', 'augments', 'produces', 'interacts_with']
['diagnoses', 'disrupts', 'compared_with', 'treats']
['diagnoses', 'isa', 'part_of', 'location_of']
['diagnoses', 'causes', 'disrupts', 'same_as']
['diagnoses', 'diagnoses', 'stimulates', 'diagnoses']
['diagnoses', 'location_of', 'disrupts', 'stimulates']
['diagnoses', 'compared_with', 'location_of', 'part_of']
['diagnoses', 'associated_with', 'isa', 'occurs_in']
['diagnoses', 'coexists_with', 'compared_with', 'complicates']
['diagnoses', 'coexists_with', 'affects', 'diagnoses']
['diagnoses', 'prevents']
['diagnoses', 'causes', 'location_of', 'associated_with']
['diagnoses', 'stimulates', 'isa', 'inhibits']
['diagnoses', 'produces', 'occurs_in', 'inhibits']
['diagnoses', 'causes', 'associated_with', 'coexists_with']
['diagnoses', 'coexists_with', 'location_of', 'location_of']
['diagnoses', 'augments', 'complicates']
['diagnoses', 'causes', 'complicates', 'complicates']
['diagnoses', 'prevents', 'location_of', 'coexists_with']
['diagnoses', 'occurs_in']
['diagnoses', 'prevents', 'inhibits', 'treats']
['diagnoses', 'causes', 'prevents', 'compared_with']
['diagnoses', 'same_as', 'interacts_with', 'disrupts']
['diagnoses', 'affects', 'stimulates', 'coexists_with']
['diagnoses', 'diagnoses', 'produces', 'produces']
['diagnoses', 'prevents', 'occurs_in', 'affects']
['diagnoses', 'disrupts', 'diagnoses', 'part_of']
['diagnoses', 'causes', 'complicates', 'interacts_with']
['diagnoses', 'occurs_in', 'occurs_in', 'associated_with']
