['diagnoses', 'augments', 'part_of', 'diagnoses']
['diagnoses', 'occurs_in', 'associated_with', 'part_of']
['diagnoses', 'affects', 'diagnoses', 'location_of']
['diagnoses', 'interacts_with', 'associated_with', 'produces']
['diagnoses', 'disrupts', 'location_of', 'diagnoses']
['diagnoses', 'occurs_in', 'associated_with', 'treats']
['diagnoses', 'stimulates', 'augments', 'prevents']
['diagnoses', 'inhibits', 'produces', 'complicates']
['diagnoses', 'causes', 'occurs_in', 'compared_with']
['diagnoses', 'complicates', 'produces', 'inhibits']
['diagnoses', 'produces', 'coexists_with', 'coexists_with']
['diagnoses', 'interacts_with', 'produces', 'diagnoses']
['diagnoses', 'location_of', 'treats', 'disrupts']
['diagnoses', 'augments', 'disrupts', 'isa']
['diagnoses', 'complicates', 'produces', 'location_of']
['diagnoses', 'part_of', 'occurs_in']
['diagnoses', 'complicates', 'prevents', 'treats']
['diagnoses', 'compared_with', 'occurs_in', 'stimulates']
['diagnoses', 'augments', 'complicates', 'associated_with']
['diagnoses', 'same_as', 'associated_with', 'treats']
['diagnoses', 'disrupts', 'augments', 'affects']
['diagnoses', 'augments', 'part_of', 'part_of']
['diagnoses', 'affects', 'associated_with', 'interacts_with']
['diagnoses', 'stimulates', 'stimulates', 'complicates']
['diagnoses', 'location_of', 'treats', 'interacts_with']
['diagnoses', 'treats', 'prevents', 'inhibits']
['diagnoses', 'inhibits', 'occurs_in', 'compared_with']
['diagnoses', 'prevents', 'part_of']
['diagnoses', 'compared_with', 'occurs_in', 'augments']
['diagnoses', 'disrupts', 'disrupts', 'compared_with']
['diagnoses', 'location_of', 'produces', 'same_as']
['diagnoses', 'stimulates', 'stimulates', 'inhibits']
['diagnoses', 'affects', 'location_of', 'produces']
['diagnoses', 'same_as', 'augments', 'augments']
['diagnoses', 'location_of', 'augments', 'produces']
['diagnoses', 'affects', 'compared_with', 'augments']
['diagnoses', 'produces', 'produces', 'treats']
['diagnoses', 'same_as', 'produces', 'same_as']
['diagnoses']
['diagnoses', 'produces', 'location_of', 'produces']
['diagnoses', 'coexists_with', 'associated_with', 'same_as']
['diagnoses', 'occurs_in', 'compared_with', 'augments']
['diagnoses', 'compared_with', 'part_of', 'interacts_with']
['diagnoses', 'causes', 'produces', 'coexists_with']
['diagnoses', 'same_as', 'produces', 'augments']
['diagnoses', 'occurs_in', 'same_as', 'stimulates']
['diagnoses', 'treats']
['diagnoses', 'complicates', 'affects', 'causes']
['diagnoses', 'treats', 'compared_with', 'location_of']
['diagnoses', 'compared_with', 'prevents', 'coexists_with']
['diagnoses', 'causes', 'causes', 'produces']
['diagnoses', 'affects', 'produces', 'disrupts']
['diagnoses', 'same_as', 'stimulates', 'produces']
['diagnoses', 'isa', 'interacts_with', 'occurs_in']
['diagnoses', 'disrupts', 'produces', 'inhibits']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'diagnoses', 'prevents', 'causes']
['diagnoses', 'produces', 'occurs_in', 'location_of']
['diagnoses', 'complicates', 'location_of', 'occurs_in']
['diagnoses', 'complicates']
['diagnoses', 'isa', 'complicates']
['diagnoses', 'causes', 'diagnoses', 'interacts_with']
['diagnoses', 'affects', 'prevents', 'affects']
['diagnoses', 'diagnoses', 'causes', 'location_of']
['diagnoses', 'augments', 'coexists_with', 'location_of']
['diagnoses', 'diagnoses', 'location_of', 'isa']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'prevents', 'isa', 'compared_with']
['diagnoses', 'location_of', 'causes', 'location_of']
['diagnoses', 'produces', 'coexists_with', 'augments']
['diagnoses', 'stimulates', 'isa', 'complicates']
['diagnoses', 'associated_with', 'location_of', 'compared_with']
['diagnoses', 'affects', 'stimulates', 'same_as']
['diagnoses', 'treats', 'causes', 'prevents']
['diagnoses', 'causes', 'prevents', 'inhibits']
['diagnoses', 'coexists_with', 'interacts_with', 'occurs_in']
['diagnoses', 'stimulates', 'treats', 'affects']
['diagnoses', 'coexists_with', 'occurs_in', 'augments']
['diagnoses', 'occurs_in', 'stimulates', 'isa']
['diagnoses', 'disrupts', 'compared_with', 'same_as']
['diagnoses', 'disrupts', 'affects', 'diagnoses']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'part_of', 'diagnoses', 'prevents']
['diagnoses', 'inhibits', 'produces', 'disrupts']
['diagnoses', 'diagnoses', 'interacts_with', 'isa']
['diagnoses', 'compared_with', 'associated_with', 'augments']
['diagnoses', 'inhibits']
['diagnoses', 'occurs_in', 'stimulates', 'coexists_with']
['diagnoses', 'diagnoses', 'disrupts', 'disrupts']
['diagnoses', 'stimulates', 'same_as', 'produces']
['diagnoses', 'same_as', 'inhibits', 'interacts_with']
['diagnoses', 'complicates', 'treats', 'complicates']
['diagnoses', 'location_of']
['diagnoses', 'stimulates', 'augments', 'isa']
['diagnoses', 'inhibits', 'part_of', 'prevents']
['diagnoses', 'affects', 'associated_with', 'isa']
['diagnoses', 'treats', 'associated_with', 'prevents']
['occurs_in', 'causes', 'treats', 'diagnoses']
['occurs_in', 'produces', 'stimulates', 'compared_with']
['occurs_in', 'causes']
['occurs_in', 'inhibits', 'stimulates', 'location_of']
['occurs_in', 'associated_with', 'stimulates', 'affects']
['occurs_in', 'disrupts', 'location_of', 'stimulates']
['occurs_in', 'interacts_with', 'stimulates', 'prevents']
['occurs_in', 'causes', 'affects', 'treats']
['occurs_in', 'produces', 'treats', 'compared_with']
['occurs_in', 'same_as', 'interacts_with', 'disrupts']
['occurs_in', 'stimulates', 'compared_with']
['occurs_in', 'prevents', 'part_of', 'compared_with']
['occurs_in', 'diagnoses', 'diagnoses', 'disrupts']
['occurs_in', 'prevents', 'interacts_with', 'disrupts']
['occurs_in', 'occurs_in', 'causes']
['occurs_in', 'coexists_with', 'occurs_in', 'associated_with']
['occurs_in', 'coexists_with', 'coexists_with', 'produces']
