['diagnoses', 'same_as', 'produces', 'inhibits']
['diagnoses', 'affects', 'augments', 'disrupts']
['diagnoses', 'prevents', 'disrupts', 'causes']
['diagnoses', 'interacts_with', 'stimulates', 'same_as']
['diagnoses', 'location_of', 'stimulates', 'causes']
['diagnoses', 'affects', 'affects']
['diagnoses', 'produces', 'same_as', 'produces']
['diagnoses', 'associated_with', 'part_of', 'affects']
['diagnoses', 'compared_with', 'disrupts', 'compared_with']
['diagnoses', 'compared_with', 'coexists_with', 'disrupts']
['diagnoses', 'location_of', 'stimulates', 'disrupts']
['diagnoses', 'compared_with', 'occurs_in', 'coexists_with']
['diagnoses', 'part_of', 'treats', 'causes']
['diagnoses', 'compared_with', 'produces', 'interacts_with']
['diagnoses', 'interacts_with', 'associated_with', 'complicates']
['diagnoses', 'location_of', 'coexists_with', 'occurs_in']
['diagnoses', 'augments', 'causes', 'stimulates']
['diagnoses', 'causes', 'isa', 'treats']
['diagnoses', 'inhibits', 'isa', 'associated_with']
['diagnoses', 'part_of', 'causes', 'coexists_with']
['diagnoses', 'isa', 'diagnoses', 'causes']
['diagnoses', 'produces', 'interacts_with', 'interacts_with']
['diagnoses', 'diagnoses', 'isa', 'part_of']
['diagnoses', 'treats', 'augments', 'compared_with']
['diagnoses', 'augments']
['diagnoses', 'treats', 'inhibits', 'isa']
['diagnoses', 'location_of', 'inhibits', 'inhibits']
['diagnoses', 'affects', 'same_as', 'disrupts']
['diagnoses', 'augments', 'isa', 'coexists_with']
['diagnoses', 'prevents', 'affects', 'location_of']
['diagnoses', 'stimulates', 'affects', 'coexists_with']
['diagnoses', 'complicates', 'part_of', 'complicates']
['diagnoses', 'augments', 'interacts_with', 'stimulates']
['diagnoses', 'same_as', 'produces']
['diagnoses', 'interacts_with', 'stimulates', 'augments']
['diagnoses', 'treats', 'occurs_in', 'location_of']
['diagnoses', 'same_as', 'complicates', 'stimulates']
['diagnoses', 'affects', 'treats', 'occurs_in']
['diagnoses', 'stimulates', 'complicates', 'location_of']
['diagnoses', 'coexists_with', 'treats', 'affects']
['diagnoses', 'treats', 'stimulates']
['diagnoses', 'prevents']
['diagnoses']
['diagnoses', 'compared_with', 'diagnoses', 'inhibits']
['diagnoses', 'location_of', 'causes', 'part_of']
['diagnoses', 'disrupts', 'associated_with', 'same_as']
['diagnoses', 'part_of', 'complicates', 'prevents']
['diagnoses', 'diagnoses', 'compared_with', 'occurs_in']
['diagnoses', 'occurs_in', 'same_as', 'complicates']
['diagnoses', 'augments', 'same_as', 'stimulates']
['diagnoses', 'compared_with', 'part_of']
['diagnoses', 'part_of', 'isa', 'occurs_in']
['diagnoses', 'same_as', 'produces', 'prevents']
['diagnoses', 'complicates', 'prevents', 'occurs_in']
['diagnoses', 'produces', 'associated_with', 'treats']
['diagnoses', 'complicates', 'stimulates', 'inhibits']
['diagnoses', 'interacts_with', 'complicates', 'disrupts']
['diagnoses', 'inhibits', 'produces', 'part_of']
['diagnoses', 'stimulates', 'interacts_with', 'augments']
['diagnoses', 'associated_with', 'diagnoses', 'stimulates']
['diagnoses', 'stimulates', 'isa', 'compared_with']
['diagnoses', 'stimulates', 'treats', 'same_as']
['diagnoses', 'augments', 'affects', 'inhibits']
['diagnoses', 'stimulates', 'location_of', 'coexists_with']
['diagnoses', 'compared_with', 'compared_with', 'inhibits']
['diagnoses', 'part_of', 'part_of', 'same_as']
['diagnoses', 'produces', 'occurs_in', 'coexists_with']
['diagnoses', 'location_of', 'part_of', 'location_of']
['diagnoses', 'inhibits', 'occurs_in', 'occurs_in']
['diagnoses', 'produces', 'same_as', 'diagnoses']
['diagnoses', 'affects', 'treats', 'diagnoses']
['diagnoses', 'affects', 'coexists_with', 'compared_with']
['diagnoses', 'occurs_in', 'disrupts', 'produces']
['diagnoses', 'associated_with', 'produces', 'causes']
['diagnoses', 'causes', 'occurs_in', 'complicates']
['diagnoses', 'occurs_in', 'location_of', 'compared_with']
['diagnoses', 'prevents', 'stimulates', 'causes']
['diagnoses', 'interacts_with', 'disrupts', 'occurs_in']
['diagnoses', 'location_of', 'prevents', 'disrupts']
['diagnoses', 'complicates', 'diagnoses', 'stimulates']
['diagnoses', 'complicates', 'isa', 'location_of']
['diagnoses', 'associated_with', 'affects', 'occurs_in']
['diagnoses', 'stimulates']
['diagnoses', 'occurs_in', 'same_as', 'compared_with']
['diagnoses', 'interacts_with', 'associated_with', 'occurs_in']
['diagnoses', 'inhibits', 'causes', 'diagnoses']
['diagnoses', 'augments', 'coexists_with', 'part_of']
['diagnoses', 'treats']
['diagnoses', 'treats', 'interacts_with', 'stimulates']
['diagnoses', 'interacts_with', 'stimulates', 'coexists_with']
['diagnoses', 'isa']
['diagnoses', 'disrupts', 'diagnoses', 'prevents']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'augments', 'causes', 'interacts_with']
['diagnoses', 'associated_with', 'associated_with', 'augments']
['diagnoses', 'occurs_in', 'coexists_with', 'produces']
['occurs_in', 'stimulates', 'associated_with', 'prevents']
['occurs_in', 'complicates', 'affects', 'disrupts']
['occurs_in', 'produces', 'part_of', 'disrupts']
['occurs_in', 'disrupts', 'inhibits', 'compared_with']
['occurs_in', 'compared_with', 'disrupts', 'occurs_in']
['occurs_in', 'occurs_in', 'inhibits', 'disrupts']
['occurs_in', 'interacts_with', 'coexists_with', 'isa']
['occurs_in', 'same_as', 'interacts_with', 'coexists_with']
['occurs_in', 'associated_with', 'same_as', 'treats']
['occurs_in', 'same_as', 'disrupts', 'disrupts']
['occurs_in', 'isa', 'affects', 'occurs_in']
['occurs_in', 'interacts_with', 'causes', 'occurs_in']
['occurs_in', 'associated_with', 'same_as', 'interacts_with']
['occurs_in', 'complicates', 'stimulates', 'same_as']
['occurs_in', 'affects', 'prevents', 'stimulates']
['occurs_in', 'diagnoses', 'affects', 'isa']
['occurs_in']
['occurs_in', 'produces', 'produces', 'compared_with']
['occurs_in', 'location_of', 'stimulates', 'complicates']
['occurs_in', 'treats', 'treats', 'produces']
['occurs_in', 'compared_with', 'disrupts', 'prevents']
['occurs_in', 'prevents', 'produces', 'produces']
['occurs_in', 'same_as', 'disrupts', 'location_of']
['occurs_in', 'prevents', 'causes', 'compared_with']
['occurs_in', 'inhibits', 'compared_with', 'prevents']
['occurs_in', 'produces']
['occurs_in', 'affects', 'stimulates', 'inhibits']
['occurs_in', 'same_as', 'inhibits', 'disrupts']
['occurs_in', 'isa', 'isa', 'stimulates']
['occurs_in', 'complicates', 'occurs_in', 'occurs_in']
['occurs_in', 'prevents', 'inhibits', 'occurs_in']
['occurs_in', 'inhibits', 'compared_with', 'produces']
['occurs_in', 'augments', 'treats', 'prevents']
['occurs_in', 'occurs_in', 'part_of', 'stimulates']
['occurs_in', 'occurs_in', 'complicates', 'isa']
['occurs_in', 'disrupts', 'inhibits', 'prevents']
['occurs_in', 'location_of', 'occurs_in']
['occurs_in', 'inhibits', 'inhibits', 'causes']
['occurs_in', 'affects', 'complicates', 'diagnoses']
['occurs_in', 'isa', 'produces', 'treats']
['occurs_in', 'stimulates', 'occurs_in', 'compared_with']
['occurs_in', 'disrupts', 'interacts_with', 'produces']
['occurs_in', 'produces', 'causes', 'inhibits']
['occurs_in', 'coexists_with', 'same_as', 'inhibits']
['occurs_in', 'same_as', 'inhibits', 'location_of']
['occurs_in', 'diagnoses', 'occurs_in', 'interacts_with']
['occurs_in', 'produces', 'coexists_with', 'interacts_with']
['occurs_in', 'diagnoses', 'compared_with', 'affects']
['occurs_in', 'disrupts', 'compared_with', 'disrupts']
['occurs_in', 'disrupts', 'associated_with', 'compared_with']
['occurs_in', 'part_of', 'location_of', 'diagnoses']
['occurs_in', 'compared_with', 'prevents', 'isa']
['occurs_in', 'disrupts', 'produces', 'coexists_with']
['occurs_in', 'affects', 'location_of', 'inhibits']
['occurs_in', 'causes', 'affects', 'diagnoses']
['occurs_in', 'isa', 'stimulates', 'isa']
