['diagnoses', 'part_of', 'disrupts', 'augments']
['diagnoses', 'isa', 'augments', 'produces']
['diagnoses', 'same_as', 'causes', 'interacts_with']
['diagnoses', 'disrupts', 'treats', 'augments']
['diagnoses', 'diagnoses', 'complicates', 'part_of']
['diagnoses', 'part_of', 'prevents', 'occurs_in']
['diagnoses', 'compared_with', 'produces', 'same_as']
['diagnoses', 'disrupts', 'compared_with', 'treats']
['diagnoses', 'stimulates', 'stimulates', 'treats']
['diagnoses', 'prevents', 'diagnoses', 'interacts_with']
['diagnoses', 'diagnoses', 'diagnoses', 'causes']
['diagnoses', 'causes', 'disrupts', 'same_as']
['diagnoses', 'compared_with', 'location_of', 'part_of']
['diagnoses', 'coexists_with', 'compared_with', 'complicates']
['diagnoses', 'coexists_with', 'affects', 'diagnoses']
['diagnoses', 'complicates', 'causes', 'augments']
['diagnoses', 'produces']
['diagnoses', 'causes', 'location_of', 'associated_with']
['diagnoses', 'produces', 'occurs_in', 'inhibits']
['diagnoses', 'coexists_with', 'location_of', 'location_of']
['diagnoses', 'same_as', 'coexists_with', 'complicates']
['diagnoses', 'augments', 'location_of', 'compared_with']
['diagnoses', 'associated_with', 'produces', 'augments']
['diagnoses', 'prevents', 'location_of', 'coexists_with']
['diagnoses', 'occurs_in']
['diagnoses', 'complicates', 'diagnoses', 'part_of']
['diagnoses', 'location_of', 'augments', 'isa']
['diagnoses', 'compared_with', 'augments', 'diagnoses']
['diagnoses', 'complicates', 'treats', 'same_as']
['diagnoses', 'affects', 'stimulates', 'coexists_with']
['diagnoses', 'prevents', 'occurs_in', 'affects']
['diagnoses', 'compared_with', 'affects', 'affects']
['diagnoses', 'occurs_in', 'occurs_in', 'associated_with']
['diagnoses', 'complicates', 'interacts_with', 'isa']
['diagnoses', 'inhibits', 'location_of', 'prevents']
['diagnoses', 'complicates', 'prevents', 'affects']
['diagnoses', 'prevents', 'augments', 'affects']
['diagnoses', 'location_of', 'diagnoses', 'occurs_in']
['diagnoses', 'inhibits', 'location_of', 'produces']
['diagnoses', 'coexists_with', 'causes', 'coexists_with']
['diagnoses', 'stimulates', 'inhibits', 'disrupts']
['diagnoses', 'treats', 'diagnoses', 'stimulates']
['diagnoses', 'coexists_with', 'prevents', 'isa']
['diagnoses', 'associated_with', 'same_as', 'stimulates']
['diagnoses', 'affects', 'associated_with', 'treats']
['diagnoses', 'augments', 'interacts_with', 'complicates']
['diagnoses', 'causes', 'complicates', 'disrupts']
['diagnoses', 'same_as', 'affects', 'produces']
['diagnoses', 'affects', 'compared_with', 'interacts_with']
['diagnoses', 'produces', 'location_of', 'occurs_in']
['diagnoses', 'causes', 'produces', 'stimulates']
['diagnoses', 'compared_with', 'compared_with', 'occurs_in']
['diagnoses', 'augments', 'produces', 'interacts_with']
['diagnoses']
['diagnoses', 'complicates', 'inhibits', 'interacts_with']
['diagnoses', 'isa', 'part_of', 'location_of']
['diagnoses', 'diagnoses', 'stimulates', 'diagnoses']
['diagnoses', 'occurs_in', 'augments', 'stimulates']
['diagnoses', 'location_of', 'disrupts', 'stimulates']
