['diagnoses', 'causes', 'associated_with', 'interacts_with']
['diagnoses', 'treats', 'same_as', 'diagnoses']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'treats', 'disrupts', 'complicates']
['diagnoses', 'stimulates', 'causes', 'coexists_with']
['diagnoses', 'complicates', 'isa', 'associated_with']
['diagnoses', 'causes', 'isa', 'stimulates']
['diagnoses', 'interacts_with', 'stimulates', 'associated_with']
['diagnoses', 'occurs_in', 'interacts_with', 'prevents']
['diagnoses', 'complicates', 'location_of', 'compared_with']
['diagnoses', 'compared_with', 'produces', 'location_of']
['diagnoses', 'disrupts', 'diagnoses', 'stimulates']
['diagnoses', 'stimulates', 'isa', 'disrupts']
['diagnoses', 'prevents']
['diagnoses', 'location_of', 'diagnoses', 'coexists_with']
['diagnoses', 'location_of', 'stimulates', 'stimulates']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'treats', 'augments', 'disrupts']
['diagnoses', 'associated_with', 'occurs_in', 'disrupts']
['diagnoses', 'occurs_in', 'produces', 'inhibits']
['diagnoses', 'treats', 'isa', 'associated_with']
['diagnoses', 'diagnoses', 'same_as', 'compared_with']
['diagnoses', 'interacts_with', 'produces', 'inhibits']
['diagnoses', 'inhibits', 'treats', 'produces']
['diagnoses', 'inhibits', 'inhibits', 'coexists_with']
['diagnoses', 'diagnoses', 'affects', 'occurs_in']
['diagnoses', 'part_of', 'prevents', 'causes']
['diagnoses', 'produces', 'disrupts', 'location_of']
['diagnoses', 'diagnoses', 'occurs_in', 'associated_with']
['diagnoses', 'location_of', 'associated_with', 'occurs_in']
['diagnoses', 'augments', 'augments', 'prevents']
['diagnoses', 'same_as', 'inhibits', 'part_of']
['diagnoses', 'produces', 'affects', 'associated_with']
['diagnoses', 'inhibits', 'associated_with', 'complicates']
['diagnoses', 'affects', 'interacts_with', 'diagnoses']
['diagnoses', 'location_of', 'occurs_in', 'part_of']
['diagnoses', 'diagnoses', 'augments', 'stimulates']
['diagnoses', 'disrupts', 'occurs_in', 'compared_with']
['diagnoses', 'same_as', 'augments', 'disrupts']
['diagnoses', 'compared_with', 'stimulates', 'associated_with']
['diagnoses', 'disrupts', 'produces', 'affects']
['diagnoses', 'compared_with', 'associated_with', 'affects']
['diagnoses', 'associated_with', 'coexists_with', 'compared_with']
['diagnoses', 'isa', 'compared_with', 'disrupts']
['diagnoses']
['diagnoses', 'prevents', 'augments', 'inhibits']
['diagnoses', 'location_of', 'diagnoses', 'compared_with']
['diagnoses', 'augments', 'isa', 'treats']
['diagnoses', 'affects', 'inhibits', 'diagnoses']
['diagnoses', 'prevents', 'produces', 'disrupts']
['diagnoses', 'augments', 'diagnoses', 'associated_with']
['diagnoses', 'stimulates', 'produces', 'affects']
['diagnoses', 'diagnoses', 'location_of', 'stimulates']
['diagnoses', 'stimulates', 'location_of', 'isa']
['diagnoses', 'prevents', 'location_of', 'inhibits']
['diagnoses', 'associated_with', 'part_of', 'affects']
['diagnoses', 'isa', 'diagnoses', 'compared_with']
['diagnoses', 'occurs_in', 'part_of', 'produces']
['diagnoses', 'compared_with', 'occurs_in', 'diagnoses']
['diagnoses', 'compared_with', 'prevents', 'part_of']
['diagnoses', 'part_of', 'location_of', 'location_of']
['diagnoses', 'part_of', 'associated_with', 'prevents']
['diagnoses', 'part_of', 'causes', 'interacts_with']
['diagnoses', 'treats', 'interacts_with', 'same_as']
['diagnoses', 'disrupts', 'occurs_in', 'inhibits']
['diagnoses', 'disrupts', 'augments', 'location_of']
['diagnoses', 'interacts_with', 'location_of', 'interacts_with']
['diagnoses', 'stimulates', 'compared_with', 'diagnoses']
['diagnoses', 'augments', 'augments', 'affects']
['diagnoses', 'treats', 'same_as', 'associated_with']
['diagnoses', 'interacts_with', 'interacts_with', 'produces']
['diagnoses', 'inhibits', 'associated_with', 'isa']
['diagnoses', 'isa', 'produces', 'part_of']
['diagnoses', 'affects', 'produces', 'part_of']
['diagnoses', 'complicates', 'inhibits', 'affects']
['diagnoses', 'associated_with']
['diagnoses', 'isa', 'treats', 'associated_with']
['diagnoses', 'affects', 'coexists_with', 'treats']
['diagnoses', 'coexists_with']
['diagnoses', 'same_as', 'augments', 'associated_with']
['diagnoses', 'stimulates', 'complicates', 'produces']
['diagnoses', 'treats', 'complicates', 'part_of']
['diagnoses', 'causes', 'stimulates', 'part_of']
['diagnoses', 'augments', 'coexists_with', 'associated_with']
['diagnoses', 'prevents', 'compared_with', 'prevents']
['diagnoses', 'prevents', 'treats', 'complicates']
['diagnoses', 'coexists_with', 'same_as', 'treats']
['diagnoses', 'compared_with', 'coexists_with', 'treats']
['diagnoses', 'augments', 'occurs_in', 'associated_with']
['diagnoses', 'inhibits', 'stimulates', 'same_as']
['diagnoses', 'location_of', 'complicates', 'isa']
['diagnoses', 'treats', 'stimulates', 'augments']
['diagnoses', 'interacts_with', 'occurs_in', 'treats']
['diagnoses', 'isa', 'part_of', 'complicates']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'prevents', 'interacts_with', 'isa']
['diagnoses', 'interacts_with', 'interacts_with', 'occurs_in']
['occurs_in', 'occurs_in', 'part_of', 'stimulates']
['occurs_in', 'location_of', 'treats', 'causes']
['occurs_in', 'compared_with', 'disrupts', 'occurs_in']
['occurs_in', 'isa', 'coexists_with', 'affects']
['occurs_in', 'same_as', 'disrupts', 'associated_with']
['occurs_in', 'complicates', 'diagnoses', 'disrupts']
['occurs_in', 'inhibits', 'interacts_with', 'isa']
['occurs_in', 'associated_with', 'same_as']
['occurs_in', 'same_as', 'occurs_in', 'disrupts']
['occurs_in', 'produces', 'augments', 'compared_with']
['occurs_in', 'same_as', 'compared_with', 'treats']
['occurs_in', 'produces', 'part_of', 'associated_with']
['occurs_in', 'inhibits', 'disrupts', 'location_of']
['occurs_in', 'disrupts', 'part_of', 'diagnoses']
['occurs_in', 'interacts_with', 'stimulates', 'interacts_with']
['occurs_in', 'part_of', 'inhibits', 'affects']
['occurs_in', 'interacts_with', 'isa', 'part_of']
['occurs_in', 'part_of', 'augments', 'diagnoses']
['occurs_in', 'associated_with', 'associated_with', 'complicates']
['occurs_in', 'prevents']
['occurs_in', 'diagnoses', 'diagnoses', 'associated_with']
['occurs_in', 'occurs_in', 'coexists_with', 'disrupts']
['occurs_in', 'coexists_with', 'stimulates', 'coexists_with']
['occurs_in', 'coexists_with', 'same_as', 'same_as']
['occurs_in', 'augments', 'augments', 'interacts_with']
['occurs_in', 'compared_with', 'diagnoses', 'compared_with']
['occurs_in', 'same_as', 'stimulates', 'stimulates']
['occurs_in', 'inhibits', 'same_as', 'diagnoses']
['occurs_in', 'coexists_with', 'compared_with', 'coexists_with']
['occurs_in', 'produces', 'augments', 'affects']
['occurs_in', 'stimulates', 'part_of', 'stimulates']
['occurs_in', 'compared_with', 'interacts_with', 'augments']
['occurs_in', 'inhibits', 'disrupts', 'prevents']
['occurs_in', 'location_of', 'augments']
['occurs_in', 'treats', 'inhibits', 'stimulates']
['occurs_in', 'affects', 'diagnoses', 'affects']
['occurs_in', 'produces', 'isa', 'augments']
['occurs_in', 'interacts_with', 'produces', 'affects']
['occurs_in', 'occurs_in', 'prevents']
['occurs_in', 'location_of', 'part_of', 'coexists_with']
['occurs_in', 'compared_with', 'treats', 'affects']
['occurs_in', 'same_as', 'same_as', 'affects']
['occurs_in', 'causes', 'stimulates', 'interacts_with']
['occurs_in', 'stimulates', 'location_of', 'occurs_in']
['occurs_in', 'diagnoses', 'location_of', 'compared_with']
['occurs_in', 'stimulates', 'treats']
['occurs_in', 'part_of', 'prevents', 'occurs_in']
['occurs_in', 'same_as', 'augments', 'causes']
['occurs_in', 'inhibits', 'inhibits', 'part_of']
['occurs_in', 'augments']
['occurs_in', 'complicates', 'interacts_with', 'inhibits']
['occurs_in', 'same_as', 'coexists_with', 'stimulates']
['occurs_in', 'interacts_with', 'treats', 'produces']
['occurs_in', 'complicates', 'isa', 'interacts_with']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'interacts_with', 'associated_with', 'same_as']
['occurs_in', 'occurs_in', 'part_of', 'isa']
['occurs_in', 'location_of', 'inhibits', 'part_of']
['occurs_in', 'compared_with', 'coexists_with', 'isa']
['occurs_in', 'coexists_with', 'treats', 'inhibits']
['occurs_in', 'disrupts']
['occurs_in', 'disrupts', 'inhibits', 'treats']
['occurs_in', 'augments', 'interacts_with', 'treats']
['occurs_in', 'occurs_in', 'affects', 'produces']
['occurs_in', 'part_of', 'coexists_with', 'produces']
['occurs_in', 'prevents', 'coexists_with', 'associated_with']
['occurs_in', 'isa', 'disrupts', 'associated_with']
['occurs_in']
['occurs_in', 'complicates', 'associated_with', 'prevents']
['occurs_in', 'coexists_with', 'inhibits', 'prevents']
['occurs_in', 'affects', 'treats', 'complicates']
['occurs_in', 'part_of', 'disrupts', 'location_of']
