['diagnoses', 'treats', 'isa', 'affects']
['diagnoses', 'causes', 'interacts_with', 'disrupts']
['diagnoses', 'associated_with', 'affects', 'prevents']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'stimulates', 'augments', 'coexists_with']
['diagnoses', 'same_as', 'compared_with', 'same_as']
['diagnoses', 'complicates', 'prevents', 'occurs_in']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'associated_with', 'associated_with', 'treats']
['diagnoses', 'produces', 'prevents', 'treats']
['diagnoses', 'inhibits', 'complicates', 'prevents']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'inhibits', 'location_of', 'augments']
['diagnoses', 'inhibits', 'occurs_in', 'diagnoses']
['diagnoses', 'disrupts', 'produces', 'same_as']
['diagnoses', 'causes', 'affects', 'location_of']
['diagnoses', 'same_as', 'treats', 'same_as']
['diagnoses', 'occurs_in']
['diagnoses', 'prevents', 'occurs_in', 'location_of']
['diagnoses', 'occurs_in', 'occurs_in', 'causes']
['diagnoses', 'affects', 'compared_with', 'occurs_in']
['diagnoses', 'treats', 'associated_with', 'associated_with']
['diagnoses', 'diagnoses', 'inhibits', 'coexists_with']
['diagnoses', 'interacts_with', 'isa', 'isa']
['diagnoses', 'inhibits', 'affects', 'occurs_in']
['diagnoses', 'interacts_with', 'inhibits', 'inhibits']
['diagnoses', 'treats', 'diagnoses', 'part_of']
['diagnoses', 'isa', 'prevents', 'augments']
['diagnoses', 'treats', 'same_as', 'coexists_with']
['diagnoses', 'interacts_with', 'compared_with', 'coexists_with']
['diagnoses', 'same_as', 'part_of', 'same_as']
['diagnoses', 'associated_with', 'isa', 'associated_with']
['diagnoses', 'occurs_in', 'location_of', 'same_as']
['diagnoses', 'coexists_with', 'associated_with', 'augments']
['diagnoses', 'augments', 'causes', 'coexists_with']
['diagnoses', 'location_of', 'isa', 'same_as']
['diagnoses', 'coexists_with', 'treats', 'affects']
['diagnoses', 'diagnoses', 'prevents', 'affects']
['diagnoses', 'location_of', 'location_of', 'isa']
['diagnoses', 'produces', 'stimulates', 'diagnoses']
['diagnoses', 'causes', 'augments']
['diagnoses', 'produces', 'occurs_in', 'stimulates']
['diagnoses', 'produces', 'stimulates', 'prevents']
['diagnoses', 'diagnoses', 'inhibits', 'isa']
['diagnoses', 'associated_with', 'part_of', 'same_as']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'isa', 'treats', 'prevents']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'augments']
['diagnoses', 'complicates', 'occurs_in', 'produces']
['diagnoses', 'treats', 'inhibits', 'prevents']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'interacts_with', 'stimulates', 'stimulates']
['diagnoses', 'augments', 'prevents', 'treats']
['diagnoses', 'coexists_with', 'inhibits', 'treats']
['diagnoses', 'inhibits', 'produces', 'associated_with']
['diagnoses', 'interacts_with', 'causes', 'part_of']
['diagnoses', 'location_of', 'diagnoses', 'same_as']
['diagnoses', 'produces', 'augments', 'diagnoses']
['diagnoses', 'location_of', 'interacts_with', 'inhibits']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'same_as', 'part_of', 'interacts_with']
['diagnoses', 'disrupts', 'occurs_in', 'produces']
['diagnoses', 'occurs_in', 'prevents']
['diagnoses', 'stimulates', 'stimulates', 'location_of']
['diagnoses', 'complicates', 'produces', 'occurs_in']
['diagnoses', 'coexists_with', 'disrupts', 'same_as']
['diagnoses', 'prevents', 'diagnoses', 'diagnoses']
['diagnoses', 'produces', 'produces', 'disrupts']
['diagnoses']
['diagnoses', 'part_of', 'affects', 'part_of']
['diagnoses', 'compared_with', 'compared_with', 'prevents']
['diagnoses', 'prevents', 'interacts_with', 'augments']
['diagnoses', 'complicates', 'inhibits', 'coexists_with']
['diagnoses', 'prevents', 'augments', 'produces']
['diagnoses', 'compared_with', 'inhibits', 'prevents']
['diagnoses', 'coexists_with', 'affects', 'associated_with']
['diagnoses', 'occurs_in', 'augments', 'compared_with']
['diagnoses', 'occurs_in', 'location_of', 'compared_with']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'disrupts', 'augments', 'prevents']
['diagnoses', 'compared_with']
['diagnoses', 'produces', 'stimulates', 'disrupts']
['diagnoses', 'prevents', 'occurs_in', 'stimulates']
['diagnoses', 'produces', 'complicates', 'interacts_with']
['diagnoses', 'isa', 'interacts_with', 'isa']
['diagnoses', 'occurs_in', 'inhibits', 'affects']
['diagnoses', 'complicates', 'causes']
['diagnoses', 'prevents', 'coexists_with', 'occurs_in']
['diagnoses', 'stimulates', 'causes', 'diagnoses']
['diagnoses', 'part_of', 'affects', 'treats']
['diagnoses', 'prevents', 'augments']
['diagnoses', 'affects', 'inhibits', 'disrupts']
['diagnoses', 'augments', 'same_as', 'diagnoses']
['diagnoses', 'coexists_with', 'prevents', 'prevents']
['diagnoses', 'produces', 'prevents', 'occurs_in']
['diagnoses', 'inhibits', 'produces', 'causes']
['diagnoses', 'diagnoses', 'location_of', 'diagnoses']
