['diagnoses', 'same_as', 'produces', 'inhibits']
['diagnoses', 'causes', 'disrupts', 'disrupts']
['diagnoses', 'stimulates', 'diagnoses', 'compared_with']
['diagnoses', 'disrupts', 'diagnoses', 'affects']
['diagnoses', 'location_of', 'disrupts', 'associated_with']
['diagnoses', 'associated_with', 'part_of', 'affects']
['diagnoses', 'occurs_in', 'disrupts', 'causes']
['diagnoses', 'treats', 'same_as', 'affects']
['diagnoses', 'same_as', 'location_of', 'same_as']
['diagnoses', 'inhibits', 'same_as', 'causes']
['diagnoses', 'occurs_in', 'augments', 'compared_with']
['diagnoses', 'prevents', 'produces', 'produces']
['diagnoses', 'coexists_with', 'occurs_in', 'stimulates']
['diagnoses', 'disrupts', 'produces', 'disrupts']
['diagnoses', 'inhibits', 'complicates']
['diagnoses', 'causes', 'treats', 'treats']
['diagnoses', 'location_of', 'diagnoses', 'part_of']
['diagnoses', 'augments', 'stimulates', 'location_of']
['diagnoses', 'location_of', 'treats', 'prevents']
['diagnoses', 'complicates', 'inhibits', 'coexists_with']
['diagnoses', 'location_of', 'disrupts', 'augments']
['diagnoses', 'occurs_in', 'isa', 'isa']
['diagnoses', 'coexists_with', 'diagnoses', 'produces']
['diagnoses', 'part_of', 'stimulates', 'disrupts']
['diagnoses', 'isa', 'affects', 'complicates']
['diagnoses', 'occurs_in', 'diagnoses', 'disrupts']
['diagnoses', 'produces', 'compared_with', 'disrupts']
['diagnoses', 'prevents', 'produces', 'part_of']
['diagnoses', 'inhibits', 'associated_with', 'occurs_in']
['diagnoses', 'complicates', 'complicates', 'same_as']
['diagnoses', 'causes', 'produces', 'prevents']
['diagnoses', 'affects', 'inhibits', 'causes']
['diagnoses', 'complicates', 'treats', 'location_of']
['diagnoses', 'disrupts', 'stimulates', 'diagnoses']
['diagnoses', 'affects', 'occurs_in', 'diagnoses']
['diagnoses', 'prevents', 'produces', 'augments']
['diagnoses', 'produces', 'diagnoses', 'affects']
['diagnoses', 'coexists_with', 'produces', 'location_of']
['diagnoses', 'diagnoses', 'treats', 'complicates']
['diagnoses', 'produces', 'same_as', 'inhibits']
['diagnoses', 'treats', 'same_as', 'isa']
['diagnoses', 'produces', 'disrupts', 'interacts_with']
['diagnoses', 'treats', 'disrupts']
['diagnoses', 'compared_with']
['diagnoses', 'augments', 'isa', 'affects']
['diagnoses', 'occurs_in', 'compared_with', 'prevents']
['diagnoses', 'produces', 'associated_with', 'produces']
['diagnoses', 'isa', 'prevents']
['diagnoses', 'associated_with', 'produces', 'disrupts']
['diagnoses', 'augments', 'compared_with', 'isa']
['diagnoses', 'location_of', 'location_of', 'same_as']
['diagnoses', 'occurs_in', 'produces', 'stimulates']
['diagnoses', 'same_as', 'produces', 'isa']
['diagnoses']
['diagnoses', 'occurs_in', 'augments', 'diagnoses']
['diagnoses', 'inhibits', 'part_of', 'part_of']
['diagnoses', 'augments', 'same_as', 'complicates']
['diagnoses', 'isa', 'location_of', 'occurs_in']
['diagnoses', 'treats', 'coexists_with', 'augments']
['diagnoses', 'prevents', 'augments', 'part_of']
['diagnoses', 'same_as', 'compared_with', 'occurs_in']
['diagnoses', 'affects', 'isa', 'isa']
['diagnoses', 'coexists_with', 'produces', 'disrupts']
['diagnoses', 'compared_with', 'part_of', 'inhibits']
['diagnoses', 'stimulates', 'stimulates', 'affects']
['diagnoses', 'same_as', 'compared_with', 'stimulates']
['diagnoses', 'complicates', 'interacts_with', 'diagnoses']
['diagnoses', 'same_as', 'interacts_with', 'inhibits']
['diagnoses', 'associated_with', 'location_of', 'complicates']
['diagnoses', 'augments', 'location_of', 'produces']
['diagnoses', 'complicates', 'causes', 'interacts_with']
['diagnoses', 'part_of', 'treats', 'location_of']
['diagnoses', 'part_of', 'complicates', 'augments']
['diagnoses', 'occurs_in', 'occurs_in', 'associated_with']
['diagnoses', 'complicates', 'associated_with', 'diagnoses']
['diagnoses', 'complicates', 'associated_with', 'stimulates']
['diagnoses', 'associated_with', 'associated_with', 'diagnoses']
['diagnoses', 'isa']
['diagnoses', 'diagnoses', 'same_as', 'interacts_with']
['diagnoses', 'interacts_with', 'associated_with', 'associated_with']
['diagnoses', 'coexists_with', 'complicates', 'prevents']
['diagnoses', 'inhibits', 'inhibits', 'diagnoses']
['diagnoses', 'treats', 'produces', 'isa']
['diagnoses', 'prevents', 'coexists_with', 'occurs_in']
['diagnoses', 'same_as', 'inhibits', 'interacts_with']
['diagnoses', 'isa', 'isa', 'inhibits']
['diagnoses', 'compared_with', 'diagnoses', 'inhibits']
['diagnoses', 'produces', 'location_of', 'causes']
['diagnoses', 'isa', 'location_of', 'coexists_with']
['occurs_in', 'compared_with', 'causes', 'inhibits']
['occurs_in', 'disrupts', 'interacts_with', 'complicates']
['occurs_in', 'treats', 'same_as']
['occurs_in', 'augments', 'associated_with', 'occurs_in']
['occurs_in', 'coexists_with', 'part_of', 'produces']
['occurs_in', 'same_as', 'prevents', 'produces']
['occurs_in', 'associated_with', 'disrupts', 'interacts_with']
['occurs_in', 'isa', 'same_as', 'complicates']
['occurs_in', 'coexists_with', 'complicates', 'part_of']
['occurs_in', 'disrupts', 'augments', 'stimulates']
['occurs_in', 'coexists_with', 'causes', 'causes']
['occurs_in', 'diagnoses', 'location_of', 'treats']
['occurs_in', 'occurs_in', 'affects', 'produces']
['occurs_in', 'causes', 'interacts_with', 'treats']
['occurs_in', 'affects', 'location_of', 'associated_with']
['occurs_in', 'diagnoses', 'diagnoses', 'augments']
['occurs_in', 'produces', 'interacts_with', 'location_of']
['occurs_in', 'isa', 'compared_with', 'compared_with']
['occurs_in', 'occurs_in', 'location_of', 'same_as']
['occurs_in', 'interacts_with', 'affects', 'coexists_with']
['occurs_in', 'coexists_with', 'treats']
['occurs_in', 'causes', 'disrupts', 'same_as']
['occurs_in', 'occurs_in', 'coexists_with', 'inhibits']
['occurs_in', 'diagnoses', 'isa', 'occurs_in']
['occurs_in', 'isa', 'stimulates', 'causes']
['occurs_in', 'part_of', 'treats', 'location_of']
['occurs_in', 'compared_with', 'associated_with', 'treats']
['occurs_in', 'coexists_with', 'stimulates', 'isa']
['occurs_in', 'interacts_with', 'same_as', 'isa']
['occurs_in', 'associated_with', 'same_as', 'produces']
['occurs_in', 'disrupts', 'disrupts', 'inhibits']
['occurs_in', 'stimulates', 'interacts_with', 'diagnoses']
['occurs_in', 'diagnoses', 'associated_with', 'compared_with']
['occurs_in', 'same_as', 'inhibits', 'isa']
['occurs_in', 'compared_with', 'treats', 'occurs_in']
['occurs_in', 'associated_with', 'complicates', 'coexists_with']
['occurs_in', 'coexists_with', 'stimulates', 'associated_with']
['occurs_in', 'isa', 'affects', 'part_of']
['occurs_in', 'augments', 'produces', 'augments']
['occurs_in', 'interacts_with', 'augments', 'prevents']
['occurs_in', 'stimulates', 'diagnoses', 'stimulates']
['occurs_in', 'interacts_with', 'treats', 'complicates']
['occurs_in']
['occurs_in', 'associated_with', 'isa', 'compared_with']
['occurs_in', 'occurs_in', 'disrupts', 'prevents']
['occurs_in', 'diagnoses', 'part_of', 'compared_with']
['occurs_in', 'associated_with', 'location_of', 'augments']
['occurs_in', 'compared_with', 'coexists_with', 'interacts_with']
['occurs_in', 'associated_with', 'produces', 'same_as']
['occurs_in', 'diagnoses', 'coexists_with', 'disrupts']
['occurs_in', 'diagnoses', 'treats', 'causes']
['occurs_in', 'associated_with', 'diagnoses', 'complicates']
['occurs_in', 'same_as', 'produces']
['occurs_in', 'produces', 'causes', 'disrupts']
['occurs_in', 'interacts_with', 'same_as', 'interacts_with']
['occurs_in', 'prevents']
['occurs_in', 'associated_with', 'interacts_with', 'interacts_with']
['occurs_in', 'causes', 'stimulates', 'same_as']
['occurs_in', 'augments', 'produces', 'prevents']
['occurs_in', 'compared_with', 'treats', 'causes']
['occurs_in', 'inhibits', 'isa', 'augments']
['occurs_in', 'stimulates', 'associated_with', 'part_of']
['occurs_in', 'treats', 'coexists_with', 'occurs_in']
['occurs_in', 'interacts_with', 'causes', 'treats']
['occurs_in', 'coexists_with']
['occurs_in', 'augments', 'compared_with', 'same_as']
['occurs_in', 'complicates', 'disrupts', 'interacts_with']
['occurs_in', 'treats', 'part_of', 'interacts_with']
['occurs_in', 'interacts_with', 'stimulates', 'disrupts']
['occurs_in', 'part_of']
['occurs_in', 'augments', 'complicates', 'occurs_in']
['occurs_in', 'part_of', 'coexists_with', 'treats']
['occurs_in', 'diagnoses']
['occurs_in', 'affects', 'affects', 'causes']
['occurs_in', 'stimulates', 'location_of', 'produces']
['occurs_in', 'same_as', 'coexists_with', 'occurs_in']
['occurs_in', 'compared_with', 'part_of', 'coexists_with']
['occurs_in', 'stimulates', 'stimulates', 'complicates']
['occurs_in', 'location_of', 'occurs_in', 'location_of']
['occurs_in', 'occurs_in', 'stimulates', 'complicates']
['occurs_in', 'affects', 'isa', 'augments']
['occurs_in', 'augments', 'occurs_in', 'occurs_in']
['occurs_in', 'interacts_with', 'coexists_with', 'complicates']
['occurs_in', 'occurs_in', 'affects', 'same_as']
['occurs_in', 'produces', 'inhibits', 'associated_with']
['occurs_in', 'augments', 'occurs_in', 'disrupts']
['occurs_in', 'inhibits', 'affects', 'isa']
['occurs_in', 'occurs_in', 'coexists_with', 'occurs_in']
['occurs_in', 'disrupts', 'isa', 'same_as']
['occurs_in', 'stimulates', 'part_of', 'augments']
['occurs_in', 'inhibits', 'occurs_in', 'augments']
['occurs_in', 'augments', 'causes', 'inhibits']
['occurs_in', 'inhibits', 'compared_with', 'diagnoses']
['occurs_in', 'coexists_with', 'isa', 'diagnoses']
['occurs_in', 'coexists_with', 'affects', 'disrupts']
