r,mr,mrr,hit1,hit3,hit10,count
0,1245.625,0.2972816916455524,0.25,0.375,0.375,8
1,996.2857142857143,0.01613346939086219,0.0,0.0,0.07142857142857142,14
2,2244.951219512195,0.23274292601908558,0.17073170731707318,0.24390243902439024,0.36585365853658536,41
3,1238.9375,0.0651370258795764,0.0625,0.0625,0.0625,32
4,927.4246575342465,0.07592497928917157,0.03424657534246575,0.0821917808219178,0.136986301369863,146
5,1487.465,0.025162657398600734,0.005,0.02,0.065,200
6,3943.67,0.008892064591622381,0.005,0.01,0.015,200
7,3463.71,0.13138921331810244,0.115,0.135,0.165,200
8,1838.04,0.028330666987235263,0.015,0.025,0.04,200
9,3517.29,0.008585621328939409,0.0,0.01,0.02,200
10,1476.97,0.01920771142510957,0.005,0.02,0.04,200
11,3386.945,0.011263298795379578,0.005,0.005,0.025,200
12,1622.34,0.021435070184405623,0.01,0.01,0.05,200
13,974.665,0.0926072139817271,0.06,0.095,0.15,200
14,1413.15,0.031096758536171727,0.01,0.035,0.07,200
15,3726.19,0.03286653864216326,0.015,0.035,0.08,200
16,2811.985,0.033259783088541967,0.015,0.04,0.065,200
17,4333.91,0.03493609026046684,0.03,0.035,0.045,200
18,2618.11,0.012580923640696904,0.005,0.015,0.03,200
19,3843.305,0.0004618183128338229,0.0,0.0,0.0,200
overall,2586.4100586238815,0.03817682813149763,0.023141005862388153,0.03856834310398025,0.06572045664918236,3241
