['diagnoses', 'inhibits', 'same_as', 'causes']
['diagnoses', 'inhibits', 'location_of', 'compared_with']
['diagnoses', 'causes', 'prevents', 'stimulates']
['diagnoses', 'part_of', 'occurs_in', 'interacts_with']
['diagnoses', 'complicates', 'prevents', 'prevents']
['diagnoses', 'diagnoses', 'associated_with', 'complicates']
['diagnoses', 'associated_with', 'associated_with', 'affects']
['diagnoses', 'augments', 'affects', 'inhibits']
['diagnoses', 'part_of', 'diagnoses', 'stimulates']
['diagnoses', 'augments', 'occurs_in', 'treats']
['diagnoses', 'inhibits', 'augments', 'part_of']
['diagnoses', 'affects', 'affects', 'part_of']
['diagnoses', 'diagnoses', 'produces', 'augments']
['diagnoses', 'part_of', 'associated_with', 'prevents']
['diagnoses', 'interacts_with', 'augments', 'isa']
['diagnoses', 'same_as', 'location_of', 'interacts_with']
['diagnoses', 'interacts_with', 'part_of', 'prevents']
['diagnoses', 'diagnoses', 'compared_with', 'same_as']
['diagnoses', 'same_as', 'disrupts', 'coexists_with']
['diagnoses', 'coexists_with', 'coexists_with', 'diagnoses']
['diagnoses', 'location_of', 'treats', 'diagnoses']
['diagnoses', 'diagnoses', 'coexists_with', 'isa']
['diagnoses', 'complicates', 'inhibits', 'treats']
['diagnoses', 'affects', 'augments', 'complicates']
['diagnoses', 'location_of', 'isa', 'associated_with']
['diagnoses', 'compared_with']
['diagnoses', 'causes', 'causes', 'coexists_with']
['diagnoses', 'inhibits', 'treats', 'augments']
['diagnoses', 'produces', 'stimulates', 'occurs_in']
['diagnoses', 'causes', 'associated_with', 'part_of']
['diagnoses', 'prevents', 'same_as']
['diagnoses', 'same_as']
['diagnoses', 'same_as', 'prevents', 'occurs_in']
['diagnoses', 'occurs_in', 'augments', 'location_of']
['diagnoses', 'disrupts', 'produces', 'complicates']
['diagnoses', 'produces', 'produces', 'isa']
['diagnoses', 'occurs_in', 'diagnoses', 'associated_with']
['diagnoses', 'diagnoses', 'part_of', 'isa']
['diagnoses', 'complicates', 'stimulates', 'associated_with']
['diagnoses', 'disrupts', 'complicates', 'prevents']
['diagnoses', 'complicates', 'produces', 'location_of']
['diagnoses', 'treats', 'coexists_with', 'associated_with']
['diagnoses', 'causes', 'produces', 'isa']
['diagnoses', 'inhibits', 'interacts_with', 'causes']
['diagnoses', 'occurs_in', 'causes', 'produces']
['diagnoses', 'affects', 'inhibits', 'produces']
['diagnoses', 'inhibits', 'location_of', 'prevents']
['diagnoses', 'coexists_with', 'produces', 'treats']
['diagnoses', 'augments', 'prevents', 'interacts_with']
['diagnoses', 'coexists_with', 'part_of', 'isa']
['diagnoses', 'augments', 'complicates', 'isa']
['diagnoses', 'interacts_with', 'augments', 'augments']
['diagnoses', 'same_as', 'disrupts', 'causes']
['diagnoses', 'augments', 'part_of', 'coexists_with']
['diagnoses', 'disrupts', 'same_as', 'isa']
['diagnoses', 'associated_with', 'complicates', 'disrupts']
['diagnoses', 'associated_with', 'coexists_with', 'affects']
['diagnoses', 'isa', 'treats', 'diagnoses']
['diagnoses', 'stimulates', 'complicates', 'affects']
['diagnoses', 'isa', 'associated_with', 'interacts_with']
['diagnoses', 'causes', 'location_of', 'inhibits']
