['diagnoses', 'coexists_with', 'location_of', 'associated_with']
['diagnoses', 'causes', 'disrupts']
['diagnoses', 'complicates', 'diagnoses', 'affects']
['diagnoses', 'inhibits', 'interacts_with', 'causes']
['diagnoses', 'disrupts', 'disrupts', 'coexists_with']
['diagnoses', 'isa', 'inhibits', 'affects']
['diagnoses', 'complicates', 'occurs_in', 'interacts_with']
['diagnoses', 'disrupts', 'location_of', 'causes']
['diagnoses', 'diagnoses', 'inhibits', 'prevents']
['diagnoses', 'part_of', 'isa', 'associated_with']
['diagnoses', 'occurs_in', 'coexists_with', 'complicates']
['diagnoses', 'occurs_in', 'occurs_in', 'stimulates']
['diagnoses', 'disrupts', 'associated_with', 'inhibits']
['diagnoses', 'inhibits', 'disrupts', 'part_of']
['diagnoses', 'causes', 'treats', 'prevents']
['diagnoses', 'inhibits', 'produces', 'treats']
['diagnoses', 'prevents', 'prevents', 'same_as']
['diagnoses', 'inhibits', 'complicates', 'produces']
['diagnoses', 'complicates', 'prevents', 'part_of']
['diagnoses', 'compared_with', 'location_of']
['diagnoses', 'affects', 'disrupts', 'isa']
['diagnoses', 'isa', 'treats', 'occurs_in']
['diagnoses', 'isa', 'associated_with', 'causes']
['diagnoses', 'location_of', 'inhibits', 'augments']
['diagnoses', 'location_of', 'location_of', 'same_as']
['diagnoses', 'inhibits', 'diagnoses', 'produces']
['diagnoses', 'treats', 'same_as', 'complicates']
['diagnoses', 'produces', 'augments', 'affects']
['diagnoses', 'compared_with', 'location_of', 'inhibits']
['diagnoses', 'stimulates', 'occurs_in', 'diagnoses']
['diagnoses', 'affects', 'causes', 'disrupts']
['diagnoses', 'diagnoses', 'diagnoses', 'occurs_in']
['diagnoses', 'affects', 'treats', 'occurs_in']
['diagnoses', 'augments', 'causes', 'inhibits']
['diagnoses', 'disrupts', 'coexists_with', 'diagnoses']
['diagnoses', 'diagnoses', 'occurs_in']
['diagnoses', 'same_as', 'causes', 'complicates']
['diagnoses', 'interacts_with', 'complicates', 'treats']
['diagnoses', 'disrupts', 'treats', 'same_as']
['diagnoses', 'prevents', 'prevents', 'treats']
['diagnoses', 'same_as', 'inhibits', 'affects']
['diagnoses', 'compared_with', 'associated_with', 'complicates']
['diagnoses']
['diagnoses', 'location_of']
['diagnoses', 'occurs_in', 'disrupts', 'causes']
['diagnoses', 'stimulates', 'interacts_with', 'part_of']
['diagnoses', 'augments', 'interacts_with', 'part_of']
['diagnoses', 'coexists_with', 'prevents', 'coexists_with']
['diagnoses', 'inhibits', 'stimulates', 'disrupts']
['diagnoses', 'disrupts', 'inhibits', 'associated_with']
['diagnoses', 'causes', 'diagnoses', 'causes']
['diagnoses', 'affects', 'same_as', 'compared_with']
['diagnoses', 'produces', 'stimulates', 'augments']
['diagnoses', 'isa', 'causes', 'produces']
['diagnoses', 'compared_with', 'part_of', 'stimulates']
['diagnoses', 'produces', 'treats', 'augments']
['diagnoses', 'produces', 'disrupts', 'part_of']
['diagnoses', 'isa', 'prevents', 'inhibits']
['diagnoses', 'complicates', 'disrupts', 'inhibits']
['diagnoses', 'affects', 'stimulates', 'inhibits']
['diagnoses', 'inhibits', 'affects']
['diagnoses', 'affects', 'part_of', 'occurs_in']
['diagnoses', 'isa']
['diagnoses', 'isa', 'causes', 'stimulates']
['diagnoses', 'stimulates', 'compared_with', 'stimulates']
['diagnoses', 'inhibits', 'compared_with', 'interacts_with']
['diagnoses', 'causes', 'treats', 'occurs_in']
['diagnoses', 'diagnoses', 'associated_with', 'causes']
['diagnoses', 'associated_with', 'inhibits', 'affects']
['diagnoses', 'prevents', 'produces', 'coexists_with']
['diagnoses', 'stimulates', 'interacts_with', 'inhibits']
['diagnoses', 'interacts_with', 'associated_with', 'diagnoses']
['diagnoses', 'diagnoses', 'occurs_in', 'isa']
['diagnoses', 'associated_with']
['diagnoses', 'compared_with', 'treats', 'location_of']
['diagnoses', 'occurs_in', 'produces', 'part_of']
['diagnoses', 'occurs_in', 'same_as', 'diagnoses']
['diagnoses', 'compared_with', 'associated_with', 'same_as']
['diagnoses', 'prevents', 'augments', 'compared_with']
['diagnoses', 'inhibits', 'inhibits', 'prevents']
['diagnoses', 'occurs_in', 'stimulates', 'affects']
['diagnoses', 'associated_with', 'isa', 'augments']
['diagnoses', 'stimulates', 'isa', 'occurs_in']
['diagnoses', 'same_as', 'interacts_with', 'prevents']
['diagnoses', 'augments', 'compared_with', 'affects']
['diagnoses', 'prevents']
['diagnoses', 'augments', 'same_as', 'associated_with']
['diagnoses', 'treats', 'associated_with', 'inhibits']
['diagnoses', 'disrupts', 'augments', 'inhibits']
['diagnoses', 'inhibits', 'inhibits', 'occurs_in']
['diagnoses', 'inhibits', 'compared_with', 'causes']
['diagnoses', 'inhibits', 'same_as', 'isa']
['occurs_in', 'causes']
['occurs_in', 'produces', 'part_of', 'compared_with']
['occurs_in', 'location_of', 'prevents', 'diagnoses']
['occurs_in', 'produces', 'isa', 'diagnoses']
['occurs_in', 'inhibits', 'inhibits', 'affects']
['occurs_in', 'affects', 'inhibits', 'isa']
['occurs_in', 'location_of', 'produces', 'disrupts']
['occurs_in', 'coexists_with', 'produces', 'disrupts']
['occurs_in', 'augments', 'causes', 'part_of']
['occurs_in', 'augments', 'inhibits', 'affects']
['occurs_in', 'same_as', 'interacts_with', 'diagnoses']
['occurs_in', 'affects', 'disrupts', 'diagnoses']
['occurs_in', 'part_of', 'interacts_with', 'isa']
['occurs_in']
['occurs_in', 'inhibits', 'stimulates', 'produces']
['occurs_in', 'produces', 'disrupts', 'causes']
['occurs_in', 'complicates', 'inhibits', 'same_as']
['occurs_in', 'same_as', 'complicates', 'part_of']
['occurs_in', 'isa']
['occurs_in', 'associated_with', 'augments', 'diagnoses']
['occurs_in', 'stimulates', 'disrupts', 'inhibits']
['occurs_in', 'diagnoses', 'inhibits', 'augments']
['occurs_in', 'inhibits', 'prevents', 'compared_with']
['occurs_in', 'coexists_with', 'complicates', 'augments']
['occurs_in', 'compared_with', 'prevents', 'stimulates']
['occurs_in', 'compared_with', 'coexists_with', 'same_as']
['occurs_in', 'complicates', 'compared_with', 'causes']
['occurs_in', 'diagnoses', 'prevents', 'inhibits']
['occurs_in', 'stimulates', 'augments', 'complicates']
['occurs_in', 'treats', 'diagnoses', 'affects']
['occurs_in', 'location_of', 'augments', 'prevents']
['occurs_in', 'causes', 'augments', 'produces']
['occurs_in', 'associated_with', 'associated_with', 'stimulates']
['occurs_in', 'interacts_with', 'disrupts', 'isa']
['occurs_in', 'stimulates', 'associated_with', 'augments']
['occurs_in', 'part_of', 'stimulates', 'occurs_in']
['occurs_in', 'treats', 'associated_with', 'compared_with']
['occurs_in', 'location_of', 'part_of', 'treats']
['occurs_in', 'isa', 'produces', 'treats']
['occurs_in', 'disrupts', 'isa', 'diagnoses']
['occurs_in', 'complicates', 'occurs_in', 'prevents']
['occurs_in', 'same_as', 'treats', 'compared_with']
['occurs_in', 'affects', 'diagnoses', 'part_of']
['occurs_in', 'associated_with', 'associated_with', 'occurs_in']
['occurs_in', 'location_of', 'associated_with', 'same_as']
['occurs_in', 'diagnoses', 'disrupts', 'coexists_with']
['occurs_in', 'augments', 'part_of', 'compared_with']
['occurs_in', 'produces', 'occurs_in', 'inhibits']
['occurs_in', 'inhibits', 'part_of', 'stimulates']
['occurs_in', 'associated_with', 'same_as', 'coexists_with']
['occurs_in', 'part_of', 'compared_with', 'occurs_in']
['occurs_in', 'augments', 'augments', 'isa']
['occurs_in', 'diagnoses', 'affects', 'compared_with']
['occurs_in', 'same_as', 'affects', 'augments']
['occurs_in', 'complicates', 'diagnoses', 'inhibits']
['occurs_in', 'isa', 'occurs_in', 'coexists_with']
['occurs_in', 'inhibits', 'diagnoses', 'same_as']
['occurs_in', 'inhibits', 'prevents', 'produces']
['occurs_in', 'isa', 'causes', 'associated_with']
['occurs_in', 'inhibits']
['occurs_in', 'compared_with', 'occurs_in', 'coexists_with']
['occurs_in', 'prevents', 'diagnoses', 'compared_with']
['occurs_in', 'augments', 'interacts_with', 'diagnoses']
['occurs_in', 'causes', 'same_as', 'inhibits']
['occurs_in', 'diagnoses', 'isa', 'affects']
['occurs_in', 'treats', 'augments', 'location_of']
['occurs_in', 'same_as', 'stimulates', 'disrupts']
['occurs_in', 'prevents', 'disrupts']
['occurs_in', 'part_of', 'interacts_with', 'coexists_with']
['occurs_in', 'complicates', 'stimulates', 'causes']
['occurs_in', 'isa', 'produces', 'occurs_in']
['occurs_in', 'inhibits', 'associated_with', 'causes']
['occurs_in', 'coexists_with', 'occurs_in', 'treats']
['occurs_in', 'augments', 'disrupts', 'associated_with']
['occurs_in', 'disrupts', 'inhibits', 'same_as']
['occurs_in', 'location_of', 'isa']
['occurs_in', 'causes', 'disrupts', 'causes']
['occurs_in', 'diagnoses', 'prevents', 'disrupts']
['occurs_in', 'compared_with', 'diagnoses', 'occurs_in']
['occurs_in', 'diagnoses', 'diagnoses', 'inhibits']
['occurs_in', 'location_of', 'treats', 'part_of']
['occurs_in', 'produces', 'associated_with', 'occurs_in']
['occurs_in', 'diagnoses', 'inhibits', 'stimulates']
['occurs_in', 'disrupts', 'produces', 'inhibits']
['occurs_in', 'same_as', 'location_of', 'causes']
