['diagnoses', 'produces', 'causes', 'stimulates']
['diagnoses', 'same_as', 'diagnoses', 'disrupts']
['diagnoses', 'prevents', 'treats', 'location_of']
['diagnoses', 'disrupts', 'inhibits', 'associated_with']
['diagnoses', 'stimulates', 'affects', 'same_as']
['diagnoses', 'stimulates', 'associated_with', 'produces']
['diagnoses', 'affects', 'prevents', 'diagnoses']
['diagnoses', 'augments', 'coexists_with', 'coexists_with']
['diagnoses', 'isa', 'complicates', 'causes']
['diagnoses', 'associated_with', 'causes', 'interacts_with']
['diagnoses', 'part_of', 'isa', 'same_as']
['diagnoses', 'complicates', 'compared_with', 'treats']
['diagnoses', 'location_of', 'interacts_with', 'associated_with']
['diagnoses', 'prevents', 'disrupts', 'isa']
['diagnoses', 'disrupts', 'augments', 'inhibits']
['diagnoses', 'prevents', 'augments', 'same_as']
['diagnoses', 'augments', 'interacts_with', 'compared_with']
['diagnoses', 'stimulates', 'isa', 'produces']
['diagnoses', 'causes', 'coexists_with', 'compared_with']
['diagnoses', 'coexists_with', 'augments', 'coexists_with']
['diagnoses', 'interacts_with', 'augments', 'inhibits']
['diagnoses', 'stimulates', 'same_as', 'disrupts']
['diagnoses', 'associated_with', 'complicates', 'augments']
['diagnoses', 'complicates', 'occurs_in', 'augments']
['diagnoses', 'disrupts', 'compared_with', 'prevents']
['diagnoses', 'compared_with', 'stimulates', 'produces']
['diagnoses', 'stimulates', 'same_as', 'same_as']
['diagnoses', 'inhibits', 'occurs_in', 'interacts_with']
['diagnoses', 'same_as']
['diagnoses', 'diagnoses', 'isa', 'complicates']
['diagnoses', 'affects', 'produces', 'causes']
['diagnoses', 'interacts_with']
['diagnoses', 'isa', 'coexists_with', 'part_of']
['diagnoses', 'augments', 'treats', 'produces']
['diagnoses', 'interacts_with', 'occurs_in', 'part_of']
['diagnoses', 'disrupts', 'associated_with', 'diagnoses']
['diagnoses', 'disrupts', 'isa', 'complicates']
['diagnoses', 'produces', 'associated_with', 'part_of']
['diagnoses', 'stimulates', 'occurs_in', 'part_of']
['diagnoses', 'compared_with', 'complicates', 'augments']
['diagnoses', 'location_of', 'disrupts']
