r,mr,mrr,hit1,hit3,hit10,count
0,1242.75,0.28564297217467494,0.25,0.25,0.375,8
1,1020.0,0.016019356433858368,0.0,0.0,0.07142857142857142,14
2,2302.731707317073,0.20014457985036732,0.0975609756097561,0.3170731707317073,0.36585365853658536,41
3,1239.0,0.06502353985323989,0.0625,0.0625,0.0625,32
4,936.0205479452055,0.06375283286618176,0.02054794520547945,0.06164383561643835,0.136986301369863,146
5,1499.84,0.023643654053234132,0.005,0.02,0.055,200
6,3944.885,0.008173817791697114,0.005,0.01,0.015,200
7,3473.44,0.12611437438886308,0.105,0.135,0.165,200
8,1834.73,0.025979479805529726,0.015,0.02,0.035,200
9,3557.875,0.0077654867165067995,0.0,0.01,0.02,200
10,1459.02,0.017785349425205984,0.005,0.015,0.03,200
11,3412.13,0.012232990799993565,0.005,0.01,0.035,200
12,1618.375,0.022439104160514443,0.01,0.015,0.045,200
13,976.495,0.0927033932075478,0.06,0.095,0.15,200
14,1411.74,0.029868888613701464,0.01,0.03,0.07,200
15,3735.4,0.03364950103469341,0.02,0.04,0.07,200
16,2814.155,0.033090724943044415,0.015,0.04,0.065,200
17,4326.31,0.03459567183228882,0.03,0.035,0.04,200
18,2580.085,0.00873959270689938,0.0,0.005,0.03,200
19,3857.32,0.00045773325435507264,0.0,0.0,0.0,200
overall,2590.3427954335084,0.03627027521194623,0.020981178648565257,0.03764270286948473,0.06356062943535945,3241
