['diagnoses', 'produces', 'associated_with', 'part_of']
['diagnoses', 'stimulates', 'occurs_in', 'part_of']
['diagnoses', 'produces', 'causes', 'stimulates']
['diagnoses', 'same_as', 'diagnoses', 'disrupts']
['diagnoses', 'compared_with', 'complicates', 'augments']
['diagnoses', 'location_of', 'disrupts']
['diagnoses', 'prevents', 'treats', 'location_of']
['diagnoses', 'disrupts', 'inhibits', 'associated_with']
['diagnoses', 'treats', 'complicates', 'inhibits']
['diagnoses', 'interacts_with', 'augments', 'isa']
['diagnoses', 'interacts_with', 'same_as', 'causes']
['diagnoses', 'compared_with', 'treats', 'coexists_with']
['diagnoses', 'stimulates', 'occurs_in', 'interacts_with']
['diagnoses', 'same_as']
['diagnoses', 'causes', 'prevents', 'isa']
['diagnoses', 'augments', 'coexists_with', 'coexists_with']
['diagnoses', 'isa']
['diagnoses', 'treats', 'augments', 'compared_with']
['diagnoses', 'inhibits', 'same_as', 'same_as']
['diagnoses', 'treats', 'diagnoses', 'diagnoses']
['diagnoses', 'occurs_in', 'occurs_in', 'diagnoses']
['diagnoses', 'coexists_with', 'part_of', 'affects']
['diagnoses', 'isa', 'complicates', 'disrupts']
['diagnoses', 'stimulates', 'inhibits', 'same_as']
['diagnoses', 'prevents', 'disrupts', 'isa']
['diagnoses', 'disrupts', 'augments', 'inhibits']
['diagnoses', 'prevents', 'augments', 'same_as']
['diagnoses', 'stimulates', 'interacts_with']
['diagnoses', 'occurs_in', 'prevents', 'location_of']
['diagnoses', 'stimulates', 'isa', 'produces']
['diagnoses', 'coexists_with', 'augments', 'coexists_with']
['diagnoses', 'interacts_with', 'augments', 'inhibits']
['diagnoses', 'isa', 'interacts_with', 'inhibits']
['diagnoses', 'associated_with', 'complicates', 'augments']
['diagnoses', 'complicates', 'stimulates', 'diagnoses']
['diagnoses', 'produces', 'augments', 'coexists_with']
['diagnoses', 'disrupts', 'compared_with', 'prevents']
['diagnoses', 'location_of', 'same_as', 'coexists_with']
['diagnoses', 'stimulates', 'complicates', 'location_of']
['diagnoses', 'augments', 'same_as', 'location_of']
['diagnoses', 'complicates', 'isa', 'affects']
['diagnoses', 'diagnoses', 'isa', 'complicates']
['diagnoses', 'complicates', 'stimulates', 'isa']
['diagnoses', 'isa', 'coexists_with', 'part_of']
['diagnoses', 'isa', 'coexists_with', 'compared_with']
['diagnoses', 'produces', 'produces', 'causes']
['diagnoses', 'compared_with', 'associated_with', 'compared_with']
['diagnoses', 'stimulates', 'causes', 'prevents']
['diagnoses', 'occurs_in', 'coexists_with', 'same_as']
['diagnoses', 'disrupts', 'associated_with', 'diagnoses']
['diagnoses', 'stimulates', 'same_as', 'affects']
['diagnoses', 'diagnoses', 'prevents', 'stimulates']
['diagnoses', 'disrupts', 'isa', 'complicates']
['diagnoses', 'coexists_with', 'inhibits', 'prevents']
['diagnoses', 'stimulates', 'affects', 'same_as']
['diagnoses', 'stimulates', 'associated_with', 'produces']
['diagnoses', 'interacts_with']
['diagnoses', 'affects', 'prevents', 'diagnoses']
['diagnoses', 'isa', 'complicates', 'causes']
['diagnoses', 'associated_with', 'causes', 'interacts_with']
['diagnoses', 'diagnoses', 'occurs_in', 'affects']
['diagnoses', 'part_of', 'isa', 'same_as']
['diagnoses', 'complicates', 'compared_with', 'treats']
['diagnoses', 'affects', 'treats', 'prevents']
['diagnoses', 'coexists_with', 'produces', 'disrupts']
['diagnoses', 'occurs_in', 'stimulates', 'prevents']
['diagnoses', 'location_of', 'interacts_with', 'associated_with']
['diagnoses', 'augments', 'interacts_with', 'compared_with']
['diagnoses', 'disrupts', 'treats', 'occurs_in']
['diagnoses', 'location_of', 'affects', 'augments']
['diagnoses', 'stimulates', 'same_as', 'disrupts']
['diagnoses', 'produces', 'part_of']
['diagnoses', 'interacts_with', 'treats', 'isa']
['diagnoses', 'affects', 'disrupts', 'compared_with']
['diagnoses', 'complicates', 'occurs_in', 'augments']
['diagnoses', 'compared_with', 'stimulates', 'produces']
['diagnoses', 'stimulates', 'same_as', 'same_as']
['diagnoses', 'prevents', 'same_as', 'disrupts']
['diagnoses', 'interacts_with', 'interacts_with', 'compared_with']
['diagnoses', 'augments', 'coexists_with', 'part_of']
['diagnoses', 'occurs_in', 'coexists_with', 'compared_with']
['diagnoses', 'affects', 'produces', 'causes']
['diagnoses', 'part_of', 'part_of', 'interacts_with']
['diagnoses', 'augments', 'treats', 'produces']
['diagnoses']
['diagnoses', 'treats', 'isa', 'occurs_in']
['diagnoses', 'disrupts', 'associated_with', 'compared_with']
['diagnoses', 'interacts_with', 'occurs_in', 'part_of']
['diagnoses', 'disrupts', 'compared_with', 'coexists_with']
['diagnoses', 'associated_with', 'disrupts', 'diagnoses']
['diagnoses', 'diagnoses', 'coexists_with', 'diagnoses']
['diagnoses', 'produces', 'associated_with', 'complicates']
['occurs_in', 'part_of', 'augments', 'augments']
['occurs_in', 'disrupts', 'compared_with', 'stimulates']
['occurs_in', 'prevents', 'interacts_with']
['occurs_in', 'prevents', 'affects', 'stimulates']
['occurs_in', 'compared_with', 'affects', 'isa']
['occurs_in', 'causes', 'location_of', 'occurs_in']
['occurs_in', 'complicates', 'treats', 'disrupts']
['occurs_in', 'interacts_with', 'produces', 'isa']
['occurs_in', 'compared_with', 'produces', 'complicates']
['occurs_in', 'affects']
['occurs_in', 'treats', 'augments', 'complicates']
['occurs_in', 'compared_with', 'isa', 'occurs_in']
['occurs_in', 'interacts_with', 'interacts_with', 'treats']
['occurs_in', 'compared_with', 'affects', 'produces']
['occurs_in', 'location_of', 'associated_with', 'complicates']
['occurs_in', 'location_of', 'location_of', 'stimulates']
['occurs_in', 'part_of', 'disrupts', 'prevents']
['occurs_in', 'part_of', 'treats', 'causes']
['occurs_in', 'produces', 'diagnoses', 'coexists_with']
['occurs_in', 'causes', 'treats', 'augments']
['occurs_in', 'part_of', 'occurs_in', 'diagnoses']
['occurs_in', 'diagnoses', 'isa', 'augments']
['occurs_in', 'coexists_with', 'produces', 'compared_with']
['occurs_in', 'coexists_with', 'compared_with', 'prevents']
['occurs_in', 'affects', 'inhibits', 'treats']
['occurs_in', 'diagnoses']
['occurs_in', 'inhibits', 'treats', 'part_of']
['occurs_in', 'coexists_with', 'disrupts', 'same_as']
['occurs_in', 'disrupts', 'disrupts', 'same_as']
['occurs_in', 'interacts_with', 'stimulates', 'augments']
['occurs_in', 'part_of', 'affects', 'prevents']
['occurs_in', 'part_of', 'disrupts', 'associated_with']
['occurs_in', 'causes', 'compared_with', 'isa']
['occurs_in', 'isa', 'stimulates', 'inhibits']
['occurs_in', 'inhibits', 'occurs_in', 'disrupts']
['occurs_in', 'coexists_with', 'causes', 'diagnoses']
['occurs_in', 'causes', 'treats', 'stimulates']
['occurs_in']
['occurs_in', 'augments', 'location_of', 'treats']
['occurs_in', 'compared_with', 'augments', 'causes']
['occurs_in', 'coexists_with', 'diagnoses', 'treats']
['occurs_in', 'coexists_with', 'diagnoses', 'interacts_with']
['occurs_in', 'disrupts', 'coexists_with', 'interacts_with']
['occurs_in', 'location_of', 'isa', 'causes']
['occurs_in', 'inhibits', 'inhibits', 'disrupts']
['occurs_in', 'causes', 'occurs_in', 'produces']
['occurs_in', 'occurs_in', 'isa', 'diagnoses']
['occurs_in', 'part_of', 'stimulates', 'treats']
['occurs_in', 'location_of', 'prevents', 'produces']
['occurs_in', 'part_of', 'compared_with', 'stimulates']
['occurs_in', 'complicates', 'treats', 'augments']
['occurs_in', 'produces', 'disrupts', 'part_of']
['occurs_in', 'associated_with']
['occurs_in', 'part_of', 'causes']
['occurs_in', 'location_of', 'occurs_in', 'stimulates']
['occurs_in', 'causes', 'affects', 'same_as']
['occurs_in', 'location_of', 'affects', 'affects']
['occurs_in', 'stimulates', 'disrupts', 'location_of']
['occurs_in', 'location_of', 'coexists_with', 'diagnoses']
['occurs_in', 'same_as', 'prevents', 'affects']
['occurs_in', 'causes', 'produces', 'coexists_with']
['occurs_in', 'occurs_in', 'inhibits', 'stimulates']
['occurs_in', 'location_of', 'causes', 'augments']
['occurs_in', 'disrupts', 'stimulates', 'inhibits']
['occurs_in', 'inhibits', 'stimulates', 'isa']
['occurs_in', 'occurs_in', 'treats', 'inhibits']
['occurs_in', 'complicates', 'coexists_with', 'associated_with']
['occurs_in', 'occurs_in', 'augments', 'augments']
['occurs_in', 'prevents', 'location_of', 'same_as']
['occurs_in', 'produces']
['occurs_in', 'same_as', 'part_of', 'augments']
['occurs_in', 'disrupts', 'associated_with', 'inhibits']
['occurs_in', 'complicates', 'associated_with', 'associated_with']
['occurs_in', 'coexists_with', 'disrupts', 'augments']
['occurs_in', 'compared_with', 'augments']
['occurs_in', 'augments', 'location_of', 'same_as']
['occurs_in', 'causes', 'occurs_in', 'disrupts']
['occurs_in', 'coexists_with', 'isa', 'causes']
['occurs_in', 'compared_with', 'coexists_with', 'location_of']
['occurs_in', 'causes', 'inhibits', 'associated_with']
['occurs_in', 'prevents', 'isa', 'affects']
['occurs_in', 'coexists_with', 'augments', 'same_as']
['occurs_in', 'location_of', 'occurs_in', 'location_of']
['occurs_in', 'inhibits', 'produces', 'causes']
['occurs_in', 'diagnoses', 'treats', 'compared_with']
['occurs_in', 'produces', 'stimulates', 'isa']
['occurs_in', 'complicates', 'isa', 'complicates']
['occurs_in', 'disrupts', 'stimulates', 'coexists_with']
['occurs_in', 'affects', 'produces', 'inhibits']
['occurs_in', 'prevents', 'isa', 'inhibits']
['occurs_in', 'part_of', 'causes', 'compared_with']
['occurs_in', 'diagnoses', 'produces', 'occurs_in']
['occurs_in', 'affects', 'affects', 'compared_with']
['occurs_in', 'diagnoses', 'augments', 'associated_with']
['occurs_in', 'interacts_with', 'part_of']
['occurs_in', 'affects', 'associated_with', 'treats']
['occurs_in', 'location_of', 'compared_with', 'occurs_in']
['occurs_in', 'same_as', 'diagnoses', 'same_as']
['same_as', 'complicates', 'diagnoses', 'same_as']
['same_as', 'occurs_in', 'interacts_with', 'compared_with']
['same_as', 'augments', 'occurs_in', 'diagnoses']
['same_as', 'isa', 'occurs_in', 'stimulates']
['same_as', 'location_of', 'associated_with', 'causes']
['same_as', 'complicates', 'causes']
['same_as', 'interacts_with', 'interacts_with', 'stimulates']
['same_as', 'interacts_with', 'augments', 'isa']
['same_as', 'produces', 'complicates', 'part_of']
['same_as', 'diagnoses', 'prevents', 'stimulates']
['same_as', 'prevents', 'associated_with', 'inhibits']
['same_as', 'compared_with', 'inhibits', 'compared_with']
['same_as', 'location_of', 'produces', 'inhibits']
['same_as', 'occurs_in', 'coexists_with', 'causes']
['same_as', 'treats', 'same_as', 'produces']
['same_as', 'inhibits', 'coexists_with', 'interacts_with']
['same_as', 'stimulates', 'prevents', 'part_of']
['same_as', 'affects', 'isa', 'produces']
['same_as', 'stimulates', 'same_as', 'causes']
['same_as', 'part_of', 'isa', 'associated_with']
['same_as']
['same_as', 'compared_with', 'compared_with', 'complicates']
['same_as', 'diagnoses', 'disrupts', 'diagnoses']
['same_as', 'produces', 'causes', 'isa']
['same_as', 'part_of', 'part_of', 'inhibits']
['same_as', 'associated_with', 'disrupts', 'coexists_with']
['same_as', 'part_of', 'inhibits', 'interacts_with']
['same_as', 'treats', 'isa', 'same_as']
['same_as', 'part_of', 'disrupts', 'interacts_with']
['same_as', 'inhibits', 'interacts_with', 'causes']
['same_as', 'part_of']
['same_as', 'inhibits', 'inhibits', 'location_of']
['same_as', 'affects', 'affects', 'compared_with']
['same_as', 'prevents', 'location_of', 'augments']
['same_as', 'prevents', 'produces', 'causes']
['same_as', 'stimulates', 'affects', 'location_of']
['same_as', 'same_as', 'disrupts', 'coexists_with']
['same_as', 'augments', 'treats', 'affects']
['same_as', 'complicates', 'diagnoses', 'diagnoses']
['same_as', 'same_as', 'inhibits', 'stimulates']
['same_as', 'compared_with', 'isa']
['same_as', 'complicates', 'same_as', 'diagnoses']
['same_as', 'associated_with', 'produces', 'inhibits']
['same_as', 'prevents', 'compared_with', 'diagnoses']
['same_as', 'associated_with', 'prevents', 'augments']
