['diagnoses', 'causes', 'causes', 'augments']
['diagnoses', 'associated_with', 'stimulates', 'interacts_with']
['diagnoses', 'inhibits', 'complicates', 'compared_with']
['diagnoses', 'compared_with', 'produces', 'interacts_with']
['diagnoses', 'inhibits', 'produces', 'compared_with']
['diagnoses', 'coexists_with', 'inhibits', 'location_of']
['diagnoses', 'interacts_with', 'interacts_with', 'disrupts']
['diagnoses', 'compared_with', 'complicates', 'compared_with']
['diagnoses', 'produces', 'prevents', 'compared_with']
['diagnoses', 'augments', 'location_of']
['diagnoses', 'associated_with', 'disrupts', 'occurs_in']
['diagnoses', 'produces', 'location_of', 'produces']
['diagnoses', 'stimulates', 'part_of']
['diagnoses', 'interacts_with', 'stimulates', 'affects']
['diagnoses', 'causes', 'stimulates', 'interacts_with']
['diagnoses']
['diagnoses', 'augments']
['diagnoses', 'same_as', 'treats', 'affects']
['diagnoses', 'stimulates', 'stimulates', 'complicates']
['diagnoses', 'associated_with', 'treats', 'disrupts']
['diagnoses', 'compared_with', 'affects', 'isa']
['diagnoses', 'augments', 'diagnoses', 'interacts_with']
['diagnoses', 'disrupts', 'same_as', 'part_of']
['diagnoses', 'compared_with', 'compared_with', 'causes']
['diagnoses', 'inhibits', 'location_of', 'inhibits']
['diagnoses', 'occurs_in', 'causes', 'treats']
['diagnoses', 'diagnoses', 'part_of', 'disrupts']
['diagnoses', 'complicates', 'augments', 'coexists_with']
['diagnoses', 'causes', 'augments', 'produces']
['diagnoses', 'associated_with', 'compared_with', 'part_of']
['diagnoses', 'occurs_in', 'stimulates', 'coexists_with']
['diagnoses', 'stimulates', 'affects', 'diagnoses']
['diagnoses', 'part_of', 'diagnoses', 'isa']
['diagnoses', 'isa', 'same_as', 'associated_with']
['diagnoses', 'disrupts', 'treats', 'same_as']
['diagnoses', 'stimulates', 'part_of', 'part_of']
['diagnoses', 'causes', 'part_of', 'coexists_with']
['diagnoses', 'location_of', 'diagnoses', 'same_as']
['diagnoses', 'isa', 'complicates', 'associated_with']
['diagnoses', 'coexists_with', 'coexists_with', 'occurs_in']
['diagnoses', 'disrupts', 'stimulates', 'isa']
['diagnoses', 'location_of']
['diagnoses', 'compared_with', 'compared_with', 'produces']
['diagnoses', 'prevents', 'same_as', 'same_as']
['diagnoses', 'complicates', 'produces', 'occurs_in']
['diagnoses', 'associated_with', 'same_as', 'produces']
['diagnoses', 'disrupts', 'coexists_with', 'complicates']
['diagnoses', 'same_as', 'interacts_with', 'complicates']
['diagnoses', 'part_of', 'prevents', 'associated_with']
['diagnoses', 'augments', 'occurs_in', 'coexists_with']
['diagnoses', 'same_as', 'diagnoses', 'same_as']
['diagnoses', 'interacts_with', 'produces', 'coexists_with']
['diagnoses', 'coexists_with', 'isa', 'disrupts']
['diagnoses', 'location_of', 'compared_with', 'location_of']
['diagnoses', 'isa', 'location_of', 'occurs_in']
['diagnoses', 'isa', 'coexists_with', 'disrupts']
['diagnoses', 'occurs_in', 'isa']
['diagnoses', 'complicates', 'compared_with', 'inhibits']
['diagnoses', 'coexists_with', 'diagnoses', 'part_of']
['diagnoses', 'treats', 'disrupts', 'interacts_with']
['diagnoses', 'compared_with', 'occurs_in', 'location_of']
['diagnoses', 'prevents', 'isa', 'isa']
['diagnoses', 'part_of', 'isa', 'interacts_with']
['diagnoses', 'occurs_in', 'isa', 'prevents']
['diagnoses', 'augments', 'stimulates', 'complicates']
['diagnoses', 'location_of', 'prevents', 'affects']
['diagnoses', 'part_of', 'interacts_with', 'treats']
['diagnoses', 'stimulates', 'affects', 'coexists_with']
['diagnoses', 'augments', 'treats', 'disrupts']
['diagnoses', 'compared_with', 'complicates', 'causes']
['diagnoses', 'coexists_with']
['diagnoses', 'coexists_with', 'diagnoses', 'produces']
['diagnoses', 'compared_with', 'augments', 'treats']
['diagnoses', 'associated_with', 'occurs_in', 'isa']
['diagnoses', 'compared_with', 'isa', 'inhibits']
['diagnoses', 'compared_with', 'disrupts', 'stimulates']
['diagnoses', 'complicates', 'inhibits', 'prevents']
['diagnoses', 'disrupts', 'location_of', 'location_of']
['diagnoses', 'part_of', 'causes', 'produces']
['diagnoses', 'coexists_with', 'complicates', 'diagnoses']
['diagnoses', 'inhibits', 'causes', 'treats']
['diagnoses', 'treats', 'prevents', 'isa']
['diagnoses', 'causes', 'treats', 'inhibits']
['diagnoses', 'part_of', 'part_of', 'prevents']
['diagnoses', 'compared_with', 'part_of', 'isa']
['diagnoses', 'occurs_in', 'occurs_in', 'compared_with']
['diagnoses', 'location_of', 'coexists_with', 'associated_with']
['diagnoses', 'same_as', 'treats', 'associated_with']
['diagnoses', 'augments', 'causes', 'prevents']
['diagnoses', 'stimulates', 'interacts_with', 'affects']
['diagnoses', 'treats', 'coexists_with', 'associated_with']
['diagnoses', 'part_of', 'diagnoses', 'coexists_with']
['occurs_in', 'interacts_with', 'complicates', 'inhibits']
['occurs_in', 'associated_with', 'stimulates', 'complicates']
['occurs_in', 'location_of', 'same_as', 'produces']
['occurs_in', 'isa', 'causes', 'isa']
['occurs_in', 'disrupts', 'isa', 'complicates']
['occurs_in', 'treats', 'compared_with', 'complicates']
['occurs_in', 'disrupts', 'coexists_with', 'inhibits']
['occurs_in', 'stimulates', 'same_as', 'compared_with']
['occurs_in', 'augments', 'isa', 'inhibits']
['occurs_in', 'complicates', 'prevents', 'diagnoses']
['occurs_in', 'isa', 'compared_with', 'interacts_with']
['occurs_in', 'interacts_with', 'interacts_with', 'same_as']
['occurs_in', 'location_of', 'causes', 'inhibits']
['occurs_in', 'compared_with', 'affects', 'occurs_in']
['occurs_in', 'inhibits', 'diagnoses', 'coexists_with']
['occurs_in', 'isa', 'inhibits', 'occurs_in']
['occurs_in', 'augments', 'compared_with', 'isa']
['occurs_in', 'location_of', 'interacts_with', 'associated_with']
['occurs_in', 'part_of', 'prevents', 'location_of']
['occurs_in', 'stimulates', 'produces', 'interacts_with']
['occurs_in', 'diagnoses']
['occurs_in', 'inhibits', 'affects', 'prevents']
['occurs_in', 'augments', 'occurs_in', 'compared_with']
['occurs_in', 'location_of', 'compared_with', 'affects']
['occurs_in', 'affects', 'augments', 'same_as']
['occurs_in', 'treats', 'associated_with', 'affects']
['occurs_in', 'part_of', 'location_of']
['occurs_in', 'stimulates', 'occurs_in', 'interacts_with']
['occurs_in', 'complicates', 'isa']
['occurs_in', 'interacts_with', 'disrupts', 'isa']
['occurs_in', 'occurs_in', 'prevents', 'stimulates']
['occurs_in', 'treats', 'location_of', 'same_as']
['occurs_in', 'associated_with', 'location_of', 'location_of']
['occurs_in', 'occurs_in', 'augments', 'occurs_in']
['occurs_in', 'inhibits', 'compared_with', 'causes']
['occurs_in', 'occurs_in', 'same_as', 'disrupts']
['occurs_in', 'affects', 'same_as', 'occurs_in']
['occurs_in', 'treats', 'interacts_with', 'complicates']
['occurs_in', 'isa', 'location_of', 'isa']
['occurs_in', 'compared_with', 'produces', 'stimulates']
['occurs_in', 'part_of', 'treats', 'same_as']
['occurs_in', 'affects', 'treats', 'produces']
['occurs_in', 'interacts_with', 'diagnoses', 'coexists_with']
['occurs_in', 'location_of', 'compared_with']
['occurs_in', 'isa', 'part_of', 'produces']
['occurs_in', 'occurs_in', 'complicates']
['occurs_in', 'interacts_with', 'location_of', 'treats']
['occurs_in', 'location_of', 'coexists_with', 'prevents']
['occurs_in', 'location_of', 'affects', 'inhibits']
['occurs_in', 'location_of', 'occurs_in', 'disrupts']
['occurs_in', 'augments', 'coexists_with', 'affects']
['occurs_in', 'inhibits', 'augments', 'same_as']
['occurs_in', 'causes', 'associated_with', 'diagnoses']
['occurs_in', 'prevents', 'diagnoses', 'part_of']
['occurs_in', 'location_of', 'part_of', 'associated_with']
['occurs_in', 'prevents', 'stimulates', 'occurs_in']
