r,mr,mrr,hit1,hit3,hit10,count
0,961.875,0.1969972231655878,0.125,0.25,0.375,8
1,974.0714285714286,0.01601382470572184,0.0,0.0,0.07142857142857142,14
2,2448.317073170732,0.2242243598324147,0.17073170731707318,0.21951219512195122,0.4146341463414634,41
3,1108.25,0.04017516189977601,0.03125,0.03125,0.0625,32
4,886.486301369863,0.07753368746111798,0.0410958904109589,0.07534246575342465,0.1506849315068493,146
5,1477.37,0.025817959285371842,0.005,0.025,0.065,200
6,4218.055,0.00813084512109483,0.005,0.01,0.015,200
7,3756.815,0.1093942159842495,0.095,0.12,0.13,200
8,1761.885,0.02421683652205869,0.01,0.025,0.04,200
9,3745.63,0.00686713174712298,0.0,0.005,0.025,200
10,1315.155,0.018724654796833877,0.01,0.01,0.035,200
11,3655.86,0.012111806859937752,0.005,0.01,0.03,200
12,1564.66,0.024018425396090403,0.01,0.015,0.05,200
13,938.56,0.0864131792364776,0.045,0.105,0.16,200
14,1388.22,0.03172860868062799,0.01,0.035,0.07,200
15,3955.76,0.02415461802459675,0.015,0.025,0.05,200
16,2892.325,0.03313800556952039,0.015,0.04,0.065,200
17,4348.835,0.027609303567439777,0.02,0.03,0.04,200
18,2738.38,0.01483135287688831,0.005,0.025,0.03,200
19,4031.43,0.0003847287976131331,0.0,0.0,0.0,200
overall,2667.1990126504165,0.03489886705573422,0.02005553841406973,0.0367170626349892,0.06356062943535945,3241
