['diagnoses', 'treats', 'isa', 'affects']
['diagnoses', 'coexists_with', 'inhibits', 'treats']
['diagnoses', 'causes', 'interacts_with', 'disrupts']
['diagnoses', 'occurs_in']
['diagnoses', 'associated_with', 'affects', 'prevents']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'stimulates', 'augments', 'coexists_with']
['diagnoses', 'same_as', 'compared_with', 'same_as']
['diagnoses', 'complicates', 'prevents', 'occurs_in']
['diagnoses', 'produces', 'augments', 'diagnoses']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'location_of', 'interacts_with', 'inhibits']
['diagnoses', 'same_as', 'part_of', 'interacts_with']
['diagnoses', 'prevents', 'coexists_with', 'location_of']
['diagnoses', 'inhibits', 'complicates', 'prevents']
['diagnoses', 'occurs_in', 'prevents']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'coexists_with', 'disrupts', 'same_as']
['diagnoses', 'prevents', 'diagnoses', 'diagnoses']
['diagnoses', 'produces', 'produces', 'disrupts']
['diagnoses', 'disrupts', 'produces', 'same_as']
['diagnoses', 'compared_with', 'compared_with', 'prevents']
['diagnoses', 'affects', 'inhibits', 'compared_with']
['diagnoses', 'prevents', 'interacts_with', 'augments']
['diagnoses', 'complicates', 'inhibits', 'coexists_with']
['diagnoses', 'causes', 'affects', 'location_of']
['diagnoses', 'same_as', 'treats', 'same_as']
['diagnoses', 'compared_with', 'inhibits', 'prevents']
['diagnoses', 'part_of', 'affects', 'treats']
['diagnoses', 'occurs_in', 'occurs_in', 'causes']
['diagnoses', 'coexists_with', 'affects', 'associated_with']
['diagnoses', 'interacts_with', 'isa', 'isa']
['diagnoses', 'inhibits', 'affects', 'occurs_in']
['diagnoses', 'treats', 'diagnoses', 'part_of']
['diagnoses', 'disrupts', 'augments', 'prevents']
['diagnoses', 'produces', 'stimulates', 'disrupts']
['diagnoses', 'interacts_with', 'compared_with', 'coexists_with']
['diagnoses', 'same_as', 'part_of', 'same_as']
['diagnoses', 'occurs_in', 'location_of', 'same_as']
['diagnoses', 'augments', 'causes', 'coexists_with']
['diagnoses', 'coexists_with', 'treats', 'affects']
['diagnoses', 'diagnoses', 'prevents', 'affects']
['diagnoses', 'produces', 'stimulates', 'diagnoses']
['diagnoses', 'causes', 'augments']
['diagnoses', 'produces', 'occurs_in', 'stimulates']
['diagnoses', 'produces', 'stimulates', 'prevents']
['diagnoses', 'diagnoses', 'inhibits', 'isa']
['diagnoses', 'prevents', 'coexists_with', 'occurs_in']
['diagnoses', 'associated_with', 'part_of', 'same_as']
['diagnoses', 'stimulates', 'causes', 'diagnoses']
['diagnoses', 'isa', 'treats', 'prevents']
['diagnoses']
['diagnoses', 'prevents', 'complicates', 'causes']
['diagnoses', 'augments']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'interacts_with', 'stimulates', 'stimulates']
['diagnoses', 'augments', 'prevents', 'treats']
['diagnoses', 'inhibits', 'produces', 'associated_with']
['diagnoses', 'interacts_with', 'causes', 'part_of']
['diagnoses', 'location_of', 'diagnoses', 'same_as']
['diagnoses', 'complicates', 'causes']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'associated_with', 'associated_with', 'treats']
['diagnoses', 'produces', 'prevents', 'treats']
['diagnoses', 'disrupts', 'occurs_in', 'produces']
['diagnoses', 'stimulates', 'stimulates', 'location_of']
['diagnoses', 'complicates', 'produces', 'occurs_in']
['diagnoses', 'inhibits', 'location_of', 'augments']
['diagnoses', 'inhibits', 'occurs_in', 'diagnoses']
['diagnoses', 'part_of', 'affects', 'part_of']
['diagnoses', 'prevents', 'augments', 'produces']
['diagnoses', 'treats', 'associated_with', 'associated_with']
['diagnoses', 'affects', 'compared_with', 'occurs_in']
['diagnoses', 'occurs_in', 'augments', 'compared_with']
['diagnoses', 'diagnoses', 'inhibits', 'coexists_with']
['diagnoses', 'occurs_in', 'location_of', 'compared_with']
['diagnoses', 'interacts_with', 'inhibits', 'inhibits']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'isa', 'prevents', 'augments']
['diagnoses', 'compared_with']
['diagnoses', 'treats', 'same_as', 'coexists_with']
['diagnoses', 'associated_with', 'isa', 'associated_with']
['diagnoses', 'produces', 'complicates', 'interacts_with']
['diagnoses', 'isa', 'interacts_with', 'isa']
['diagnoses', 'occurs_in', 'inhibits', 'affects']
['diagnoses', 'coexists_with', 'associated_with', 'augments']
['diagnoses', 'location_of', 'isa', 'same_as']
['diagnoses', 'location_of', 'location_of', 'isa']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'prevents', 'augments']
['diagnoses', 'prevents', 'occurs_in', 'stimulates']
['diagnoses', 'augments', 'same_as', 'diagnoses']
['diagnoses', 'coexists_with', 'prevents', 'prevents']
['diagnoses', 'produces', 'prevents', 'occurs_in']
['diagnoses', 'inhibits', 'produces', 'causes']
['diagnoses', 'complicates', 'occurs_in', 'produces']
['diagnoses', 'treats', 'inhibits', 'prevents']
['diagnoses', 'diagnoses', 'location_of', 'diagnoses']
['occurs_in', 'treats', 'disrupts', 'occurs_in']
['occurs_in', 'diagnoses', 'complicates', 'stimulates']
['occurs_in', 'compared_with', 'disrupts', 'occurs_in']
['occurs_in', 'stimulates', 'produces', 'interacts_with']
['occurs_in', 'prevents', 'same_as', 'isa']
['occurs_in', 'treats', 'augments', 'compared_with']
['occurs_in', 'augments', 'occurs_in', 'complicates']
['occurs_in', 'compared_with', 'produces', 'stimulates']
['occurs_in', 'isa', 'coexists_with', 'part_of']
['occurs_in', 'compared_with', 'treats', 'stimulates']
['occurs_in', 'isa', 'diagnoses', 'part_of']
['occurs_in', 'produces', 'treats', 'interacts_with']
['occurs_in', 'diagnoses', 'stimulates', 'location_of']
['occurs_in', 'part_of', 'affects', 'inhibits']
['occurs_in', 'augments', 'affects', 'treats']
['occurs_in', 'interacts_with', 'compared_with', 'produces']
['occurs_in', 'associated_with', 'compared_with', 'produces']
['occurs_in', 'causes', 'produces', 'coexists_with']
['occurs_in', 'compared_with', 'augments', 'augments']
['occurs_in', 'interacts_with', 'same_as', 'inhibits']
['occurs_in', 'occurs_in', 'same_as', 'complicates']
['occurs_in', 'isa', 'compared_with', 'occurs_in']
['occurs_in', 'disrupts', 'location_of', 'associated_with']
['occurs_in', 'diagnoses', 'isa', 'produces']
['occurs_in', 'inhibits', 'treats', 'complicates']
['occurs_in', 'coexists_with', 'coexists_with', 'stimulates']
['occurs_in', 'complicates', 'inhibits', 'isa']
['occurs_in', 'compared_with', 'stimulates', 'treats']
['occurs_in', 'diagnoses', 'stimulates', 'occurs_in']
['occurs_in', 'stimulates', 'augments', 'compared_with']
['occurs_in', 'coexists_with', 'associated_with', 'location_of']
['occurs_in', 'affects', 'associated_with', 'associated_with']
['occurs_in', 'inhibits', 'associated_with', 'inhibits']
['occurs_in', 'augments', 'associated_with', 'disrupts']
['occurs_in', 'interacts_with', 'compared_with', 'part_of']
['occurs_in', 'augments', 'part_of', 'stimulates']
['occurs_in', 'isa', 'treats', 'compared_with']
['occurs_in', 'prevents', 'produces', 'compared_with']
['occurs_in', 'prevents', 'isa', 'coexists_with']
['occurs_in', 'location_of', 'associated_with', 'part_of']
['occurs_in', 'treats', 'affects', 'causes']
['occurs_in', 'produces', 'causes', 'treats']
['occurs_in', 'augments', 'complicates', 'interacts_with']
['occurs_in', 'diagnoses', 'complicates', 'complicates']
['occurs_in', 'causes', 'occurs_in', 'isa']
['occurs_in', 'diagnoses', 'stimulates', 'part_of']
['occurs_in', 'treats', 'same_as', 'interacts_with']
['occurs_in', 'diagnoses', 'produces', 'produces']
['occurs_in', 'treats', 'diagnoses', 'coexists_with']
['occurs_in', 'treats', 'part_of', 'augments']
['occurs_in', 'stimulates', 'stimulates', 'causes']
['occurs_in', 'isa', 'causes', 'produces']
['occurs_in', 'affects', 'causes', 'produces']
['occurs_in', 'same_as', 'stimulates', 'augments']
['occurs_in', 'augments', 'disrupts', 'diagnoses']
['occurs_in']
['occurs_in', 'occurs_in', 'disrupts', 'isa']
['occurs_in', 'augments', 'prevents', 'interacts_with']
['occurs_in', 'prevents', 'augments', 'coexists_with']
['occurs_in', 'prevents', 'coexists_with', 'isa']
['occurs_in', 'occurs_in', 'interacts_with']
['occurs_in', 'stimulates', 'augments', 'interacts_with']
['occurs_in', 'part_of', 'part_of', 'diagnoses']
['occurs_in', 'affects', 'location_of', 'diagnoses']
['occurs_in', 'diagnoses', 'treats', 'interacts_with']
['occurs_in', 'same_as', 'interacts_with', 'augments']
['occurs_in', 'produces', 'location_of', 'part_of']
['occurs_in', 'diagnoses', 'treats', 'isa']
['occurs_in', 'produces', 'inhibits', 'stimulates']
['occurs_in', 'stimulates', 'complicates', 'interacts_with']
['occurs_in', 'same_as', 'isa', 'interacts_with']
