['diagnoses', 'treats', 'isa', 'affects']
['diagnoses', 'coexists_with', 'inhibits', 'treats']
['diagnoses', 'causes', 'interacts_with', 'disrupts']
['diagnoses', 'inhibits', 'produces', 'associated_with']
['diagnoses', 'associated_with', 'affects', 'prevents']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'interacts_with', 'causes', 'part_of']
['diagnoses', 'stimulates', 'augments', 'coexists_with']
['diagnoses', 'same_as', 'compared_with', 'same_as']
['diagnoses', 'augments', 'prevents', 'treats']
['diagnoses', 'location_of', 'isa', 'disrupts']
['diagnoses', 'associated_with', 'stimulates', 'location_of']
['diagnoses', 'treats', 'associated_with', 'associated_with']
['diagnoses', 'affects', 'compared_with', 'occurs_in']
['diagnoses', 'same_as', 'part_of', 'interacts_with']
['diagnoses', 'augments', 'produces', 'diagnoses']
['diagnoses', 'occurs_in', 'prevents']
['diagnoses', 'diagnoses', 'location_of', 'diagnoses']
['diagnoses', 'coexists_with', 'disrupts', 'same_as']
['diagnoses', 'inhibits', 'occurs_in', 'diagnoses']
['diagnoses', 'disrupts', 'produces', 'same_as']
['diagnoses', 'compared_with', 'compared_with', 'prevents']
['diagnoses', 'prevents', 'interacts_with', 'augments']
['diagnoses', 'complicates', 'inhibits', 'coexists_with']
['diagnoses', 'stimulates', 'prevents', 'occurs_in']
['diagnoses', 'causes', 'affects', 'location_of']
['diagnoses', 'prevents', 'augments', 'produces']
['diagnoses', 'occurs_in']
['diagnoses', 'occurs_in', 'occurs_in', 'causes']
['diagnoses', 'occurs_in', 'augments', 'compared_with']
['diagnoses', 'disrupts', 'augments', 'prevents']
['diagnoses', 'compared_with']
['diagnoses', 'treats', 'same_as', 'coexists_with']
['diagnoses', 'diagnoses', 'inhibits', 'isa']
['diagnoses', 'stimulates', 'stimulates', 'location_of']
['diagnoses', 'prevents', 'occurs_in', 'stimulates']
['diagnoses', 'produces', 'complicates', 'interacts_with']
['diagnoses', 'location_of', 'location_of', 'isa']
['diagnoses', 'produces', 'stimulates', 'diagnoses']
['diagnoses', 'causes', 'augments']
['diagnoses', 'interacts_with', 'stimulates', 'stimulates']
['diagnoses', 'produces', 'stimulates', 'prevents']
['diagnoses', 'prevents', 'coexists_with', 'occurs_in']
['diagnoses', 'associated_with', 'part_of', 'same_as']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'isa', 'treats', 'prevents']
['diagnoses', 'affects', 'inhibits', 'disrupts']
['diagnoses', 'produces', 'prevents', 'occurs_in']
['diagnoses', 'inhibits', 'produces', 'causes']
['diagnoses', 'complicates', 'occurs_in', 'produces']
['diagnoses', 'coexists_with', 'treats', 'affects']
['diagnoses', 'part_of', 'inhibits', 'part_of']
['diagnoses', 'isa', 'produces', 'isa']
['diagnoses', 'location_of', 'diagnoses', 'augments']
['diagnoses', 'diagnoses', 'stimulates', 'affects']
['diagnoses', 'treats', 'location_of', 'part_of']
['diagnoses', 'produces', 'augments', 'diagnoses']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'location_of', 'interacts_with', 'inhibits']
['diagnoses', 'location_of', 'location_of', 'same_as']
['diagnoses', 'associated_with', 'produces', 'treats']
['diagnoses', 'location_of', 'affects', 'occurs_in']
['diagnoses', 'coexists_with', 'affects', 'associated_with']
['diagnoses', 'same_as', 'coexists_with', 'same_as']
['diagnoses', 'stimulates', 'causes', 'diagnoses']
['diagnoses', 'inhibits', 'complicates', 'prevents']
['diagnoses', 'occurs_in', 'inhibits', 'disrupts']
['diagnoses', 'disrupts', 'occurs_in', 'produces']
['diagnoses', 'produces', 'stimulates', 'treats']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'complicates', 'produces', 'occurs_in']
['diagnoses', 'prevents', 'diagnoses', 'diagnoses']
['diagnoses', 'isa', 'complicates', 'causes']
['diagnoses', 'produces', 'produces', 'disrupts']
['diagnoses', 'same_as', 'part_of', 'disrupts']
['diagnoses', 'compared_with', 'inhibits', 'prevents']
['diagnoses', 'part_of', 'affects', 'treats']
['diagnoses', 'prevents', 'occurs_in', 'location_of']
['diagnoses', 'coexists_with', 'prevents', 'prevents']
['diagnoses', 'diagnoses', 'inhibits', 'coexists_with']
['diagnoses', 'occurs_in', 'location_of', 'compared_with']
['diagnoses', 'interacts_with', 'inhibits', 'inhibits']
['diagnoses', 'affects', 'produces', 'augments']
['diagnoses', 'produces', 'stimulates', 'disrupts']
['diagnoses', 'inhibits', 'location_of', 'augments']
['diagnoses', 'associated_with', 'isa', 'associated_with']
['diagnoses', 'coexists_with', 'associated_with', 'augments']
['diagnoses', 'complicates', 'causes']
['diagnoses', 'augments', 'causes', 'coexists_with']
['diagnoses', 'produces', 'occurs_in', 'stimulates']
['diagnoses', 'interacts_with', 'disrupts', 'coexists_with']
['diagnoses', 'prevents', 'augments']
['diagnoses']
['diagnoses', 'augments']
['diagnoses', 'interacts_with', 'isa', 'isa']
['diagnoses', 'treats', 'inhibits', 'prevents']
['diagnoses', 'causes', 'occurs_in', 'causes']
['diagnoses', 'isa', 'prevents', 'augments']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['occurs_in', 'treats', 'disrupts', 'occurs_in']
['occurs_in', 'compared_with', 'diagnoses', 'inhibits']
['occurs_in', 'prevents']
['occurs_in', 'same_as', 'stimulates', 'augments']
['occurs_in', 'causes', 'augments', 'compared_with']
['occurs_in', 'compared_with', 'disrupts', 'occurs_in']
['occurs_in', 'stimulates', 'produces', 'interacts_with']
['occurs_in', 'augments', 'occurs_in', 'complicates']
['occurs_in', 'augments', 'produces']
['occurs_in', 'diagnoses', 'treats', 'interacts_with']
['occurs_in', 'interacts_with', 'compared_with', 'produces']
['occurs_in', 'associated_with', 'compared_with', 'produces']
['occurs_in', 'produces', 'location_of', 'part_of']
['occurs_in', 'affects', 'produces', 'part_of']
['occurs_in', 'diagnoses', 'treats', 'isa']
['occurs_in', 'compared_with', 'augments', 'augments']
['occurs_in', 'stimulates', 'stimulates', 'causes']
['occurs_in', 'isa', 'stimulates', 'produces']
['occurs_in', 'disrupts', 'location_of', 'associated_with']
['occurs_in', 'interacts_with', 'stimulates', 'part_of']
['occurs_in', 'isa', 'diagnoses', 'part_of']
['occurs_in', 'part_of', 'part_of', 'diagnoses']
['occurs_in', 'coexists_with', 'coexists_with', 'stimulates']
['occurs_in', 'disrupts', 'associated_with', 'inhibits']
['occurs_in', 'stimulates', 'causes', 'location_of']
['occurs_in', 'occurs_in', 'same_as', 'complicates']
['occurs_in', 'treats', 'same_as', 'interacts_with']
['occurs_in', 'augments', 'isa', 'prevents']
['occurs_in', 'disrupts', 'interacts_with', 'compared_with']
['occurs_in', 'occurs_in', 'inhibits', 'treats']
['occurs_in', 'stimulates', 'associated_with', 'part_of']
['occurs_in', 'stimulates', 'complicates', 'interacts_with']
['occurs_in', 'compared_with', 'inhibits', 'same_as']
['occurs_in', 'prevents', 'produces', 'compared_with']
['occurs_in', 'isa', 'occurs_in', 'compared_with']
['occurs_in', 'occurs_in', 'complicates', 'disrupts']
['occurs_in', 'prevents', 'produces', 'isa']
['occurs_in', 'occurs_in', 'causes', 'occurs_in']
['occurs_in', 'stimulates', 'augments', 'compared_with']
['occurs_in', 'prevents', 'disrupts', 'isa']
['occurs_in', 'interacts_with', 'same_as', 'inhibits']
['occurs_in', 'treats', 'part_of', 'augments']
['occurs_in', 'isa', 'isa', 'produces']
['occurs_in', 'diagnoses', 'complicates', 'stimulates']
['occurs_in', 'augments', 'disrupts', 'diagnoses']
['occurs_in', 'augments', 'prevents', 'interacts_with']
['occurs_in', 'part_of', 'associated_with', 'compared_with']
['occurs_in', 'compared_with', 'produces', 'stimulates']
['occurs_in', 'isa', 'coexists_with', 'part_of']
['occurs_in', 'same_as', 'inhibits', 'inhibits']
['occurs_in', 'inhibits', 'treats', 'complicates']
['occurs_in', 'compared_with', 'treats', 'stimulates']
['occurs_in', 'interacts_with', 'inhibits', 'same_as']
['occurs_in', 'produces', 'treats', 'interacts_with']
['occurs_in', 'part_of', 'affects', 'inhibits']
['occurs_in', 'stimulates', 'augments', 'interacts_with']
['occurs_in', 'stimulates', 'associated_with', 'disrupts']
['occurs_in', 'affects', 'location_of', 'diagnoses']
['occurs_in', 'affects', 'causes', 'produces']
['occurs_in', 'causes', 'occurs_in', 'isa']
['occurs_in', 'same_as', 'interacts_with', 'augments']
['occurs_in', 'augments', 'stimulates', 'same_as']
['occurs_in', 'same_as', 'diagnoses', 'causes']
['occurs_in', 'associated_with', 'produces', 'compared_with']
['occurs_in', 'causes', 'produces', 'coexists_with']
['occurs_in']
['occurs_in', 'augments', 'interacts_with']
['occurs_in', 'treats', 'augments', 'causes']
['occurs_in', 'produces', 'inhibits', 'stimulates']
