r,mr,mrr,hit1,hit3,hit10,count
0,1257.0,0.2856446820498114,0.25,0.25,0.375,8
1,970.5714285714286,0.016054149121427115,0.0,0.0,0.07142857142857142,14
2,2245.3658536585367,0.24956787918369094,0.14634146341463414,0.36585365853658536,0.3902439024390244,41
3,1176.96875,0.06479773421189677,0.0625,0.0625,0.0625,32
4,948.2739726027397,0.070156711807116,0.0273972602739726,0.07534246575342465,0.14383561643835616,146
5,1528.97,0.024438682240523826,0.005,0.015,0.065,200
6,3919.72,0.00921395780614175,0.005,0.01,0.02,200
7,3418.475,0.13243276302325643,0.11,0.14,0.17,200
8,1839.715,0.023238395135068576,0.01,0.025,0.035,200
9,3499.295,0.007332824187024898,0.0,0.01,0.025,200
10,1471.705,0.017552959847598505,0.005,0.015,0.035,200
11,3370.055,0.011485049344378759,0.005,0.005,0.035,200
12,1614.53,0.02230236708782272,0.01,0.015,0.05,200
13,981.305,0.09295436052344952,0.06,0.1,0.155,200
14,1441.3,0.0307326724237008,0.01,0.035,0.07,200
15,3746.98,0.017804093498106615,0.005,0.015,0.055,200
16,2793.74,0.03541779884599153,0.02,0.04,0.065,200
17,4344.025,0.03492538457174985,0.03,0.035,0.05,200
18,2589.22,0.01273025776218237,0.005,0.01,0.025,200
19,3843.805,0.0004619203823061964,0.0,0.0,0.0,200
overall,2583.271521135452,0.03692172272295893,0.02159827213822894,0.03825979635914841,0.0660290033940142,3241
