['diagnoses', 'complicates', 'location_of', 'occurs_in']
['diagnoses', 'affects', 'diagnoses', 'location_of']
['diagnoses', 'isa', 'complicates']
['diagnoses', 'causes', 'diagnoses', 'interacts_with']
['diagnoses', 'part_of', 'diagnoses', 'prevents']
['diagnoses', 'interacts_with', 'associated_with', 'produces']
['diagnoses', 'disrupts', 'location_of', 'diagnoses']
['diagnoses', 'part_of', 'occurs_in', 'coexists_with']
['diagnoses', 'occurs_in', 'stimulates', 'coexists_with']
['diagnoses', 'diagnoses', 'causes', 'location_of']
['diagnoses', 'occurs_in', 'part_of', 'treats']
['diagnoses']
['diagnoses', 'stimulates', 'augments', 'prevents']
['diagnoses', 'inhibits', 'produces', 'complicates']
['diagnoses', 'compared_with', 'part_of', 'produces']
['diagnoses', 'affects', 'produces', 'disrupts']
['diagnoses', 'same_as', 'stimulates', 'produces']
['diagnoses', 'augments', 'disrupts', 'isa']
['diagnoses', 'complicates', 'produces', 'location_of']
['diagnoses', 'complicates', 'prevents', 'treats']
['diagnoses', 'augments', 'complicates', 'associated_with']
['diagnoses', 'compared_with', 'occurs_in', 'augments']
['diagnoses', 'location_of']
['diagnoses', 'affects', 'diagnoses', 'interacts_with']
['diagnoses', 'treats', 'prevents', 'inhibits']
['diagnoses', 'causes', 'location_of', 'compared_with']
['diagnoses', 'occurs_in', 'produces', 'diagnoses']
['diagnoses', 'prevents', 'part_of']
['diagnoses', 'complicates']
['diagnoses', 'location_of', 'produces', 'same_as']
['diagnoses', 'disrupts', 'compared_with', 'same_as']
['diagnoses', 'affects', 'compared_with', 'augments']
['diagnoses', 'produces', 'produces', 'treats']
['diagnoses', 'same_as', 'produces', 'same_as']
['diagnoses', 'stimulates', 'same_as', 'produces']
['diagnoses', 'coexists_with', 'associated_with', 'same_as']
['diagnoses', 'causes', 'produces', 'coexists_with']
['diagnoses', 'diagnoses', 'interacts_with', 'isa']
['diagnoses', 'augments', 'part_of', 'part_of']
['diagnoses', 'produces', 'coexists_with', 'part_of']
['diagnoses', 'inhibits', 'part_of', 'prevents']
