['diagnoses', 'part_of', 'disrupts', 'augments']
['diagnoses', 'isa', 'augments', 'produces']
['diagnoses', 'causes', 'produces', 'stimulates']
['diagnoses', 'inhibits', 'disrupts', 'stimulates']
['diagnoses', 'disrupts', 'treats', 'augments']
['diagnoses', 'diagnoses', 'complicates', 'part_of']
['diagnoses', 'compared_with', 'compared_with', 'occurs_in']
['diagnoses', 'part_of', 'prevents', 'occurs_in']
['diagnoses', 'disrupts', 'compared_with', 'treats']
['diagnoses', 'stimulates', 'stimulates', 'treats']
['diagnoses', 'prevents', 'complicates', 'location_of']
['diagnoses', 'isa', 'part_of', 'location_of']
['diagnoses', 'occurs_in', 'augments', 'stimulates']
['diagnoses', 'location_of', 'disrupts', 'stimulates']
['diagnoses', 'coexists_with', 'compared_with', 'complicates']
['diagnoses', 'diagnoses', 'part_of', 'same_as']
['diagnoses', 'produces', 'occurs_in', 'inhibits']
['diagnoses', 'causes', 'associated_with', 'coexists_with']
['diagnoses', 'augments', 'complicates']
['diagnoses', 'isa', 'occurs_in', 'location_of']
['diagnoses', 'occurs_in']
['diagnoses', 'complicates', 'diagnoses', 'part_of']
['diagnoses', 'inhibits', 'same_as', 'treats']
['diagnoses', 'prevents', 'inhibits', 'treats']
['diagnoses', 'causes', 'prevents', 'compared_with']
['diagnoses', 'location_of', 'augments', 'isa']
['diagnoses', 'compared_with', 'augments', 'diagnoses']
['diagnoses', 'same_as', 'interacts_with', 'disrupts']
['diagnoses', 'affects', 'stimulates', 'coexists_with']
['diagnoses', 'treats', 'occurs_in', 'location_of']
['diagnoses', 'diagnoses', 'produces', 'produces']
['diagnoses', 'prevents', 'occurs_in', 'affects']
['diagnoses', 'disrupts', 'diagnoses', 'part_of']
['diagnoses', 'causes', 'complicates', 'interacts_with']
['diagnoses', 'compared_with', 'affects', 'affects']
['diagnoses', 'causes', 'associated_with', 'augments']
['diagnoses', 'inhibits', 'location_of', 'prevents']
['diagnoses', 'complicates', 'prevents', 'affects']
['diagnoses', 'causes', 'complicates', 'complicates']
['diagnoses', 'causes', 'inhibits', 'occurs_in']
['diagnoses', 'disrupts', 'associated_with', 'coexists_with']
['diagnoses', 'complicates', 'part_of', 'interacts_with']
['diagnoses', 'coexists_with', 'causes', 'coexists_with']
['diagnoses']
['diagnoses', 'coexists_with', 'prevents', 'isa']
['diagnoses', 'affects', 'associated_with', 'treats']
['diagnoses', 'augments', 'compared_with', 'inhibits']
['diagnoses', 'causes', 'complicates', 'disrupts']
['diagnoses', 'same_as', 'prevents', 'diagnoses']
['diagnoses', 'affects', 'compared_with', 'interacts_with']
['diagnoses', 'augments', 'coexists_with', 'same_as']
['diagnoses', 'inhibits', 'occurs_in', 'coexists_with']
['diagnoses', 'produces', 'location_of', 'occurs_in']
['diagnoses', 'same_as', 'causes', 'interacts_with']
['diagnoses', 'augments', 'produces', 'interacts_with']
['diagnoses', 'compared_with', 'produces', 'same_as']
['diagnoses', 'prevents', 'diagnoses', 'interacts_with']
['diagnoses', 'complicates', 'inhibits', 'interacts_with']
['diagnoses', 'diagnoses', 'diagnoses', 'causes']
['diagnoses', 'causes', 'disrupts', 'same_as']
['diagnoses', 'diagnoses', 'stimulates', 'diagnoses']
