['diagnoses', 'augments', 'part_of', 'diagnoses']
['diagnoses', 'affects', 'diagnoses', 'location_of']
['diagnoses', 'part_of', 'diagnoses', 'prevents']
['diagnoses', 'prevents', 'associated_with', 'augments']
['diagnoses', 'interacts_with', 'associated_with', 'produces']
['diagnoses', 'disrupts', 'location_of', 'diagnoses']
['diagnoses', 'occurs_in', 'stimulates', 'coexists_with']
['diagnoses', 'diagnoses', 'causes', 'location_of']
['diagnoses', 'diagnoses', 'location_of', 'isa']
['diagnoses', 'complicates', 'affects', 'causes']
['diagnoses', 'complicates', 'associated_with', 'prevents']
['diagnoses', 'stimulates', 'augments', 'prevents']
['diagnoses', 'causes', 'occurs_in', 'compared_with']
['diagnoses', 'produces', 'coexists_with', 'augments']
['diagnoses', 'diagnoses', 'complicates', 'isa']
['diagnoses', 'compared_with', 'part_of', 'produces']
['diagnoses', 'associated_with', 'location_of', 'compared_with']
['diagnoses', 'part_of', 'occurs_in', 'coexists_with']
['diagnoses', 'complicates', 'produces', 'location_of']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'complicates', 'prevents', 'treats']
['diagnoses', 'associated_with', 'coexists_with', 'coexists_with']
['diagnoses', 'complicates', 'location_of', 'occurs_in']
['diagnoses', 'disrupts', 'augments', 'affects']
['diagnoses']
['diagnoses', 'location_of', 'treats', 'interacts_with']
['diagnoses', 'treats', 'prevents', 'inhibits']
['diagnoses', 'treats', 'causes', 'prevents']
['diagnoses', 'causes', 'prevents', 'inhibits']
['diagnoses', 'prevents', 'part_of']
['diagnoses', 'compared_with', 'occurs_in', 'augments']
['diagnoses', 'disrupts', 'disrupts', 'compared_with']
['diagnoses', 'coexists_with', 'occurs_in', 'augments']
['diagnoses', 'location_of', 'produces', 'same_as']
['diagnoses', 'complicates', 'produces', 'inhibits']
['diagnoses', 'same_as', 'augments', 'augments']
['diagnoses', 'diagnoses', 'occurs_in', 'location_of']
['diagnoses', 'location_of', 'augments', 'produces']
['diagnoses', 'affects', 'compared_with', 'augments']
['diagnoses', 'produces', 'produces', 'treats']
['diagnoses', 'disrupts', 'affects', 'diagnoses']
['diagnoses', 'causes', 'causes', 'disrupts']
['diagnoses', 'occurs_in', 'compared_with', 'augments']
['diagnoses', 'causes', 'produces', 'coexists_with']
['diagnoses', 'inhibits']
['diagnoses', 'disrupts', 'produces', 'inhibits']
['diagnoses', 'stimulates', 'same_as', 'produces']
['diagnoses', 'treats', 'compared_with', 'location_of']
['diagnoses', 'affects', 'prevents', 'affects']
['diagnoses', 'affects', 'produces', 'disrupts']
['diagnoses', 'inhibits', 'part_of', 'prevents']
['diagnoses', 'diagnoses', 'prevents', 'causes']
['diagnoses', 'inhibits', 'occurs_in', 'prevents']
['diagnoses', 'same_as', 'produces', 'inhibits']
['diagnoses', 'stimulates', 'isa', 'complicates']
['diagnoses', 'occurs_in', 'associated_with', 'part_of']
['diagnoses', 'complicates']
['diagnoses', 'isa', 'complicates']
['diagnoses', 'causes', 'diagnoses', 'interacts_with']
['diagnoses', 'inhibits', 'produces', 'disrupts']
['diagnoses', 'compared_with', 'prevents', 'coexists_with']
['diagnoses', 'augments', 'coexists_with', 'location_of']
['diagnoses', 'occurs_in', 'associated_with', 'treats']
['diagnoses', 'prevents', 'isa', 'compared_with']
['diagnoses', 'location_of', 'causes', 'location_of']
['diagnoses', 'complicates', 'treats', 'complicates']
['diagnoses', 'same_as', 'produces', 'complicates']
['diagnoses', 'location_of', 'treats', 'disrupts']
['diagnoses', 'same_as', 'stimulates', 'produces']
['diagnoses', 'affects', 'stimulates', 'same_as']
['diagnoses', 'augments', 'disrupts', 'isa']
['diagnoses', 'compared_with', 'occurs_in', 'stimulates']
['diagnoses', 'augments', 'complicates', 'associated_with']
['diagnoses', 'same_as', 'associated_with', 'treats']
['diagnoses', 'location_of']
['diagnoses', 'affects', 'associated_with', 'interacts_with']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'coexists_with', 'interacts_with', 'occurs_in']
['diagnoses', 'occurs_in', 'produces', 'diagnoses']
['diagnoses', 'stimulates', 'treats', 'affects']
['diagnoses', 'occurs_in']
['diagnoses', 'inhibits', 'produces', 'complicates']
['diagnoses', 'affects', 'location_of', 'produces']
['diagnoses', 'occurs_in', 'stimulates', 'isa']
['diagnoses', 'part_of', 'part_of', 'part_of']
['diagnoses', 'disrupts', 'compared_with', 'same_as']
['diagnoses', 'occurs_in', 'same_as', 'stimulates']
['diagnoses', 'prevents', 'disrupts', 'diagnoses']
['diagnoses', 'diagnoses', 'disrupts', 'disrupts']
['diagnoses', 'location_of', 'treats', 'associated_with']
['diagnoses', 'produces', 'location_of', 'produces']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'coexists_with', 'associated_with', 'same_as']
['diagnoses', 'associated_with', 'interacts_with', 'occurs_in']
['diagnoses', 'stimulates', 'stimulates', 'complicates']
['diagnoses', 'same_as', 'inhibits', 'interacts_with']
['diagnoses', 'stimulates', 'stimulates', 'inhibits']
['diagnoses', 'stimulates', 'augments', 'isa']
['diagnoses', 'affects', 'associated_with', 'isa']
['occurs_in', 'causes', 'treats', 'diagnoses']
['occurs_in', 'part_of', 'part_of', 'associated_with']
['occurs_in', 'produces', 'stimulates', 'compared_with']
['occurs_in', 'part_of', 'disrupts', 'disrupts']
['occurs_in', 'disrupts', 'stimulates', 'same_as']
['occurs_in', 'inhibits', 'stimulates', 'location_of']
['occurs_in', 'complicates', 'inhibits', 'associated_with']
['occurs_in', 'interacts_with', 'stimulates', 'prevents']
['occurs_in', 'inhibits', 'associated_with', 'complicates']
['occurs_in', 'stimulates', 'compared_with']
['occurs_in', 'treats', 'interacts_with', 'associated_with']
['occurs_in', 'associated_with', 'diagnoses', 'prevents']
['occurs_in', 'complicates', 'augments', 'coexists_with']
['occurs_in', 'occurs_in', 'prevents', 'affects']
['occurs_in', 'part_of', 'occurs_in', 'diagnoses']
