r,mr,mrr,hit1,hit3,hit10,count
0,1269.375,0.2950712589698547,0.25,0.375,0.375,8
1,1009.2142857142857,0.016096423783752093,0.0,0.0,0.07142857142857142,14
2,2326.560975609756,0.242643977236302,0.12195121951219512,0.36585365853658536,0.3902439024390244,41
3,1230.375,0.04952874815401605,0.03125,0.0625,0.0625,32
4,950.2397260273973,0.07485043672946896,0.0410958904109589,0.07534246575342465,0.1506849315068493,146
5,1511.605,0.023557869235263186,0.005,0.015,0.055,200
6,3959.795,0.007495853031439772,0.005,0.01,0.01,200
7,3503.355,0.12518907854900982,0.105,0.135,0.16,200
8,1843.62,0.02190964091945082,0.01,0.015,0.045,200
9,3558.05,0.007901691496911998,0.0,0.01,0.02,200
10,1479.65,0.018409554217324268,0.005,0.02,0.035,200
11,3419.095,0.012145145863719191,0.005,0.01,0.03,200
12,1628.47,0.02238677967082888,0.005,0.015,0.055,200
13,980.89,0.09471747266205927,0.065,0.09,0.15,200
14,1420.605,0.03258852261495466,0.01,0.035,0.07,200
15,3729.035,0.0237667693949038,0.005,0.035,0.075,200
16,2820.45,0.03871284401550124,0.025,0.04,0.065,200
17,4396.625,0.02961020471283498,0.02,0.035,0.045,200
18,2626.445,0.0070393274767545115,0.0,0.005,0.025,200
19,3808.545,0.0005031097052598736,0.0,0.0,0.0,200
overall,2602.600123418698,0.036480771208915144,0.020672631903733415,0.03856834310398025,0.06541190990435052,3241
