['diagnoses', 'produces', 'location_of', 'occurs_in']
['diagnoses', 'part_of', 'disrupts', 'augments']
['diagnoses', 'causes', 'produces', 'stimulates']
['diagnoses', 'inhibits', 'disrupts', 'stimulates']
['diagnoses', 'diagnoses', 'complicates', 'part_of']
['diagnoses', 'augments', 'produces', 'interacts_with']
['diagnoses', 'part_of', 'prevents', 'occurs_in']
['diagnoses', 'stimulates', 'stimulates', 'treats']
['diagnoses', 'complicates', 'inhibits', 'interacts_with']
['diagnoses', 'isa', 'part_of', 'location_of']
['diagnoses', 'diagnoses', 'diagnoses', 'causes']
['diagnoses', 'occurs_in', 'augments', 'stimulates']
['diagnoses', 'compared_with', 'location_of', 'part_of']
['diagnoses', 'associated_with', 'isa', 'occurs_in']
['diagnoses', 'complicates', 'inhibits', 'complicates']
['diagnoses', 'coexists_with', 'location_of', 'location_of']
['diagnoses', 'same_as', 'coexists_with', 'complicates']
['diagnoses', 'isa', 'occurs_in', 'location_of']
['diagnoses', 'augments', 'location_of', 'compared_with']
['diagnoses', 'associated_with', 'produces', 'augments']
['diagnoses', 'occurs_in']
['diagnoses', 'complicates', 'diagnoses', 'part_of']
['diagnoses', 'causes', 'prevents', 'compared_with']
['diagnoses', 'location_of', 'augments', 'isa']
['diagnoses', 'compared_with', 'augments', 'diagnoses']
['diagnoses', 'same_as', 'interacts_with', 'disrupts']
['diagnoses', 'complicates', 'treats', 'same_as']
['diagnoses', 'disrupts', 'isa', 'part_of']
['diagnoses', 'affects', 'stimulates', 'coexists_with']
['diagnoses', 'treats', 'occurs_in', 'location_of']
['diagnoses', 'prevents', 'occurs_in', 'affects']
['diagnoses', 'affects', 'treats', 'occurs_in']
['diagnoses', 'complicates', 'prevents', 'affects']
['diagnoses', 'location_of', 'diagnoses', 'occurs_in']
['diagnoses', 'causes', 'inhibits', 'occurs_in']
['diagnoses', 'compared_with', 'inhibits', 'complicates']
['diagnoses', 'coexists_with', 'causes', 'coexists_with']
['diagnoses', 'stimulates', 'associated_with', 'causes']
['diagnoses', 'coexists_with', 'prevents', 'isa']
['diagnoses', 'coexists_with', 'augments', 'location_of']
['diagnoses', 'causes', 'complicates', 'disrupts']
['diagnoses', 'same_as', 'affects', 'produces']
['diagnoses', 'same_as', 'prevents', 'diagnoses']
['diagnoses', 'affects', 'compared_with', 'interacts_with']
['diagnoses', 'augments', 'coexists_with', 'same_as']
['diagnoses', 'inhibits', 'occurs_in', 'coexists_with']
['diagnoses', 'isa', 'augments', 'produces']
['diagnoses', 'same_as', 'causes', 'interacts_with']
['diagnoses', 'disrupts', 'treats', 'augments']
['diagnoses', 'compared_with', 'compared_with', 'occurs_in']
['diagnoses', 'compared_with', 'produces', 'same_as']
['diagnoses', 'disrupts', 'compared_with', 'treats']
['diagnoses', 'prevents', 'diagnoses', 'interacts_with']
['diagnoses', 'causes', 'disrupts', 'same_as']
['diagnoses', 'diagnoses', 'stimulates', 'diagnoses']
['diagnoses', 'location_of', 'disrupts', 'stimulates']
['diagnoses', 'complicates', 'compared_with', 'complicates']
['diagnoses', 'coexists_with', 'compared_with', 'complicates']
['diagnoses', 'coexists_with', 'affects', 'diagnoses']
['diagnoses', 'complicates', 'causes', 'augments']
['diagnoses', 'prevents']
['diagnoses', 'diagnoses', 'part_of', 'same_as']
['diagnoses', 'causes', 'location_of', 'associated_with']
['diagnoses', 'stimulates', 'isa', 'inhibits']
['diagnoses', 'affects', 'interacts_with', 'location_of']
['diagnoses', 'produces', 'occurs_in', 'inhibits']
['diagnoses', 'causes', 'associated_with', 'coexists_with']
['diagnoses', 'prevents', 'complicates', 'location_of']
['diagnoses', 'augments', 'complicates']
['diagnoses', 'causes', 'complicates', 'complicates']
['diagnoses', 'same_as', 'affects', 'interacts_with']
['diagnoses', 'affects', 'stimulates', 'isa']
['diagnoses', 'prevents', 'location_of', 'coexists_with']
['diagnoses', 'inhibits', 'same_as', 'treats']
['diagnoses', 'prevents', 'inhibits', 'treats']
['diagnoses', 'diagnoses', 'produces', 'produces']
['diagnoses', 'disrupts', 'diagnoses', 'part_of']
['diagnoses', 'causes', 'complicates', 'interacts_with']
['diagnoses', 'stimulates']
['diagnoses', 'compared_with', 'affects', 'affects']
['diagnoses', 'occurs_in', 'occurs_in', 'associated_with']
['diagnoses', 'causes', 'associated_with', 'augments']
['diagnoses', 'complicates', 'interacts_with', 'isa']
['diagnoses', 'inhibits', 'location_of', 'prevents']
['diagnoses', 'interacts_with', 'associated_with', 'occurs_in']
['diagnoses', 'prevents', 'augments', 'affects']
['diagnoses', 'produces']
['diagnoses', 'disrupts', 'associated_with', 'coexists_with']
['diagnoses', 'inhibits', 'location_of', 'produces']
['diagnoses', 'complicates', 'part_of', 'interacts_with']
['diagnoses', 'stimulates', 'inhibits', 'disrupts']
['diagnoses', 'interacts_with', 'disrupts', 'inhibits']
['diagnoses', 'treats', 'diagnoses', 'stimulates']
['diagnoses']
['diagnoses', 'associated_with', 'same_as', 'stimulates']
['diagnoses', 'affects', 'associated_with', 'treats']
['diagnoses', 'augments', 'compared_with', 'inhibits']
['diagnoses', 'augments', 'interacts_with', 'complicates']
['occurs_in', 'stimulates', 'produces', 'complicates']
['occurs_in', 'isa', 'prevents', 'complicates']
['occurs_in', 'compared_with', 'interacts_with', 'prevents']
['occurs_in', 'produces', 'compared_with', 'complicates']
