r,mr,mrr,hit1,hit3,hit10,count
0,850.0,0.11835780510722163,0.0,0.125,0.375,8
1,938.1428571428571,0.0028107865422032233,0.0,0.0,0.0,14
2,2198.9268292682927,0.14129522534698932,0.04878048780487805,0.1951219512195122,0.2926829268292683,41
3,1166.78125,0.044593127118163274,0.03125,0.0625,0.0625,32
4,1016.068493150685,0.053456140650050894,0.0273972602739726,0.0410958904109589,0.11643835616438356,146
5,1643.84,0.01832317745944131,0.005,0.015,0.05,200
6,4035.79,0.011327006700807708,0.01,0.01,0.015,200
7,3500.685,0.12720633295366784,0.11,0.135,0.15,200
8,1879.385,0.025861789345727006,0.01,0.025,0.05,200
9,3654.025,0.007684763932088183,0.0,0.01,0.015,200
10,1450.32,0.013365327110377669,0.005,0.005,0.035,200
11,3420.21,0.013293369662305798,0.005,0.015,0.035,200
12,1659.175,0.027493316666935753,0.01,0.03,0.045,200
13,1040.05,0.09328032507014339,0.065,0.1,0.14,200
14,1500.51,0.024698746554600737,0.01,0.025,0.05,200
15,3856.645,0.021791905359941216,0.01,0.03,0.05,200
16,2891.035,0.013361595722052448,0.005,0.01,0.03,200
17,4329.485,0.015160011768864905,0.01,0.01,0.03,200
18,2732.78,0.010275201863903592,0.0,0.015,0.025,200
19,3833.105,0.0005316740788084337,0.0,0.0,0.0,200
overall,2647.695464362851,0.031083555428663083,0.017895711200246838,0.032088861462511574,0.05492132058006788,3241
