r,mr,mrr,hit1,hit3,hit10,count
0,892.375,0.1832690200885964,0.125,0.125,0.375,8
1,946.7857142857143,0.01366118360851186,0.0,0.0,0.07142857142857142,14
2,2397.731707317073,0.18541335290340072,0.12195121951219512,0.17073170731707318,0.3902439024390244,41
3,1111.4375,0.040237304386826794,0.03125,0.03125,0.0625,32
4,898.1575342465753,0.07026639520104935,0.0273972602739726,0.07534246575342465,0.1232876712328767,146
5,1463.7,0.024906474015804883,0.005,0.015,0.075,200
6,4231.405,0.008810759292352512,0.005,0.01,0.02,200
7,3658.96,0.12081264910595672,0.105,0.135,0.15,200
8,1772.825,0.023860088213855386,0.01,0.02,0.04,200
9,3696.03,0.007853224484917645,0.0,0.01,0.025,200
10,1372.095,0.027344496838789315,0.015,0.03,0.035,200
11,3601.78,0.013383607618174063,0.005,0.015,0.035,200
12,1586.395,0.019996720760502705,0.005,0.02,0.045,200
13,1009.12,0.08597862352248367,0.045,0.095,0.165,200
14,1413.57,0.03424827822843133,0.015,0.035,0.075,200
15,4015.805,0.020243267643262532,0.01,0.02,0.055,200
16,2904.475,0.03575743905186275,0.02,0.045,0.07,200
17,4363.19,0.026420200362864913,0.02,0.025,0.04,200
18,2720.975,0.006786233344435959,0.0,0.005,0.03,200
19,4017.26,0.00038626713478165077,0.0,0.0,0.0,200
overall,2669.2116630669548,0.03460768576479304,0.019438444924406047,0.035791422400493676,0.06541190990435052,3241
