['diagnoses', 'stimulates', 'affects', 'complicates']
['diagnoses', 'prevents', 'part_of', 'diagnoses']
['diagnoses', 'disrupts', 'isa', 'inhibits']
['diagnoses', 'diagnoses', 'interacts_with', 'diagnoses']
['diagnoses', 'occurs_in', 'inhibits', 'produces']
['diagnoses', 'occurs_in', 'diagnoses', 'treats']
['diagnoses', 'coexists_with', 'associated_with', 'complicates']
['diagnoses', 'prevents', 'compared_with', 'produces']
['diagnoses', 'part_of', 'complicates', 'associated_with']
['diagnoses', 'associated_with', 'interacts_with', 'part_of']
['diagnoses', 'treats', 'treats', 'same_as']
['diagnoses', 'isa', 'causes', 'part_of']
['diagnoses', 'inhibits', 'affects']
['diagnoses', 'isa', 'affects', 'causes']
['diagnoses', 'isa', 'associated_with', 'augments']
['diagnoses', 'isa', 'augments', 'same_as']
['diagnoses', 'part_of']
['diagnoses', 'augments', 'occurs_in', 'associated_with']
['diagnoses', 'inhibits', 'occurs_in', 'diagnoses']
['diagnoses', 'location_of', 'compared_with', 'diagnoses']
['diagnoses', 'diagnoses', 'stimulates', 'compared_with']
['diagnoses', 'causes', 'causes', 'disrupts']
['diagnoses', 'complicates', 'diagnoses', 'diagnoses']
['diagnoses', 'complicates', 'occurs_in', 'augments']
['diagnoses', 'compared_with', 'inhibits', 'augments']
['diagnoses', 'treats', 'stimulates', 'affects']
['diagnoses', 'associated_with', 'prevents', 'complicates']
['diagnoses', 'same_as', 'coexists_with', 'causes']
['diagnoses', 'occurs_in', 'same_as']
['diagnoses', 'affects', 'location_of', 'affects']
['diagnoses', 'same_as', 'part_of', 'location_of']
['diagnoses', 'associated_with', 'interacts_with', 'complicates']
['diagnoses', 'complicates', 'coexists_with', 'same_as']
['diagnoses', 'inhibits', 'augments', 'inhibits']
['diagnoses', 'location_of', 'isa', 'interacts_with']
['diagnoses', 'location_of', 'interacts_with', 'interacts_with']
['diagnoses', 'location_of', 'inhibits', 'part_of']
['diagnoses', 'occurs_in', 'treats', 'inhibits']
['diagnoses', 'causes', 'occurs_in', 'coexists_with']
['diagnoses', 'diagnoses', 'part_of', 'augments']
['diagnoses', 'compared_with', 'coexists_with']
['diagnoses', 'inhibits', 'inhibits', 'complicates']
['diagnoses', 'inhibits', 'produces', 'location_of']
['diagnoses', 'occurs_in', 'location_of', 'disrupts']
['diagnoses', 'compared_with', 'stimulates', 'treats']
['diagnoses', 'produces', 'prevents', 'associated_with']
['diagnoses', 'complicates', 'part_of', 'diagnoses']
['diagnoses', 'coexists_with', 'compared_with', 'augments']
['diagnoses', 'compared_with', 'isa', 'part_of']
['diagnoses', 'interacts_with', 'affects', 'location_of']
['diagnoses', 'produces', 'associated_with', 'interacts_with']
['diagnoses', 'diagnoses', 'occurs_in', 'location_of']
['diagnoses', 'isa', 'diagnoses', 'treats']
['diagnoses', 'diagnoses', 'affects', 'coexists_with']
['diagnoses', 'compared_with', 'compared_with', 'inhibits']
['diagnoses', 'coexists_with', 'prevents', 'treats']
['diagnoses', 'compared_with', 'same_as', 'interacts_with']
['diagnoses', 'produces', 'occurs_in', 'disrupts']
['diagnoses', 'complicates', 'associated_with', 'prevents']
['diagnoses', 'prevents', 'augments', 'part_of']
['diagnoses', 'produces', 'causes', 'affects']
['diagnoses', 'interacts_with', 'causes', 'affects']
['diagnoses', 'affects', 'inhibits', 'same_as']
['diagnoses', 'same_as', 'part_of', 'coexists_with']
['diagnoses', 'causes', 'prevents', 'inhibits']
['diagnoses', 'inhibits', 'affects', 'same_as']
['diagnoses', 'treats', 'disrupts', 'isa']
['diagnoses', 'stimulates', 'part_of', 'same_as']
['diagnoses', 'stimulates', 'coexists_with', 'stimulates']
['diagnoses', 'disrupts', 'diagnoses', 'occurs_in']
['diagnoses', 'same_as', 'treats']
['diagnoses', 'produces', 'treats', 'prevents']
['diagnoses', 'inhibits', 'compared_with', 'augments']
['diagnoses', 'coexists_with', 'associated_with', 'diagnoses']
['diagnoses', 'prevents', 'occurs_in', 'causes']
['diagnoses', 'compared_with']
['diagnoses', 'complicates', 'diagnoses', 'stimulates']
['diagnoses', 'complicates', 'compared_with', 'causes']
['diagnoses', 'produces', 'affects', 'augments']
['diagnoses', 'complicates', 'diagnoses', 'augments']
['diagnoses', 'diagnoses', 'location_of', 'causes']
['diagnoses']
['diagnoses', 'complicates', 'location_of', 'diagnoses']
['diagnoses', 'part_of', 'causes']
['diagnoses', 'compared_with', 'complicates', 'disrupts']
['diagnoses', 'location_of', 'same_as', 'stimulates']
['diagnoses', 'disrupts', 'coexists_with', 'complicates']
['diagnoses', 'complicates', 'occurs_in', 'disrupts']
['diagnoses', 'isa']
['diagnoses', 'part_of', 'stimulates', 'associated_with']
['diagnoses', 'same_as', 'coexists_with', 'part_of']
['diagnoses', 'occurs_in', 'produces', 'causes']
['diagnoses', 'interacts_with', 'affects', 'compared_with']
['diagnoses', 'stimulates', 'same_as', 'complicates']
['diagnoses', 'causes', 'prevents']
['occurs_in', 'occurs_in', 'stimulates', 'affects']
['occurs_in', 'affects', 'associated_with', 'prevents']
['occurs_in', 'stimulates', 'isa', 'complicates']
['occurs_in', 'coexists_with', 'same_as', 'treats']
['occurs_in', 'part_of', 'same_as', 'complicates']
['occurs_in', 'causes', 'coexists_with', 'augments']
['occurs_in', 'interacts_with', 'augments', 'occurs_in']
['occurs_in', 'treats', 'diagnoses', 'produces']
['occurs_in', 'disrupts', 'inhibits', 'same_as']
['occurs_in', 'augments', 'affects', 'disrupts']
['occurs_in', 'associated_with', 'causes', 'inhibits']
['occurs_in', 'diagnoses']
['occurs_in', 'diagnoses', 'augments', 'location_of']
['occurs_in', 'disrupts', 'produces']
['occurs_in', 'produces', 'location_of', 'compared_with']
['occurs_in', 'location_of', 'diagnoses', 'same_as']
['occurs_in', 'disrupts', 'part_of', 'isa']
['occurs_in', 'disrupts', 'interacts_with', 'causes']
['occurs_in', 'location_of']
['occurs_in', 'diagnoses', 'treats', 'isa']
['occurs_in', 'part_of', 'coexists_with', 'compared_with']
['occurs_in', 'inhibits', 'prevents', 'associated_with']
['occurs_in', 'prevents', 'augments', 'disrupts']
['occurs_in', 'prevents', 'same_as', 'prevents']
['occurs_in', 'prevents', 'inhibits', 'occurs_in']
['occurs_in', 'inhibits', 'treats', 'disrupts']
['occurs_in', 'disrupts', 'diagnoses', 'prevents']
['occurs_in', 'diagnoses', 'same_as', 'same_as']
['occurs_in', 'coexists_with', 'location_of', 'coexists_with']
['occurs_in', 'inhibits', 'augments', 'interacts_with']
['occurs_in', 'complicates', 'augments', 'causes']
['occurs_in', 'location_of', 'diagnoses', 'diagnoses']
['occurs_in', 'location_of', 'causes', 'prevents']
['occurs_in', 'compared_with', 'part_of', 'inhibits']
['occurs_in', 'occurs_in', 'compared_with', 'augments']
['occurs_in', 'same_as', 'location_of', 'interacts_with']
['occurs_in', 'location_of', 'diagnoses', 'coexists_with']
['occurs_in', 'inhibits']
['occurs_in', 'produces', 'part_of', 'produces']
['occurs_in', 'stimulates', 'treats', 'coexists_with']
['occurs_in', 'affects', 'stimulates', 'complicates']
['occurs_in', 'diagnoses', 'occurs_in', 'diagnoses']
['occurs_in', 'compared_with', 'inhibits', 'augments']
['occurs_in', 'location_of', 'diagnoses', 'prevents']
['occurs_in', 'causes', 'inhibits', 'interacts_with']
['occurs_in', 'produces', 'location_of', 'part_of']
['occurs_in', 'treats', 'associated_with', 'causes']
['occurs_in', 'inhibits', 'same_as', 'causes']
['occurs_in', 'affects', 'causes', 'prevents']
['occurs_in', 'affects', 'occurs_in', 'treats']
['occurs_in', 'location_of', 'disrupts', 'causes']
['occurs_in', 'compared_with', 'prevents', 'isa']
['occurs_in', 'part_of', 'inhibits', 'same_as']
['occurs_in', 'causes', 'treats', 'treats']
['occurs_in', 'affects', 'disrupts', 'inhibits']
['occurs_in', 'associated_with', 'part_of', 'interacts_with']
['occurs_in', 'augments', 'compared_with', 'produces']
['occurs_in', 'augments', 'isa', 'inhibits']
['occurs_in', 'disrupts']
['occurs_in', 'produces', 'coexists_with', 'associated_with']
['occurs_in', 'coexists_with', 'location_of', 'treats']
['occurs_in', 'inhibits', 'augments', 'occurs_in']
['occurs_in', 'occurs_in', 'interacts_with', 'augments']
['occurs_in', 'isa', 'affects', 'compared_with']
['occurs_in', 'causes', 'occurs_in', 'location_of']
['occurs_in', 'disrupts', 'complicates', 'produces']
['occurs_in', 'interacts_with']
['occurs_in', 'interacts_with', 'disrupts', 'disrupts']
['occurs_in', 'same_as', 'augments', 'augments']
['occurs_in', 'stimulates', 'diagnoses', 'produces']
['occurs_in', 'causes', 'causes', 'disrupts']
['occurs_in', 'affects', 'compared_with', 'part_of']
['occurs_in', 'same_as', 'complicates', 'diagnoses']
['occurs_in', 'produces']
['occurs_in', 'coexists_with', 'diagnoses', 'part_of']
['occurs_in', 'treats', 'associated_with', 'compared_with']
['occurs_in', 'same_as', 'augments', 'stimulates']
['occurs_in', 'isa', 'inhibits', 'complicates']
['occurs_in', 'isa', 'treats', 'compared_with']
['occurs_in', 'disrupts', 'stimulates', 'occurs_in']
['occurs_in', 'interacts_with', 'coexists_with', 'affects']
['occurs_in', 'disrupts', 'same_as', 'inhibits']
['occurs_in', 'inhibits', 'same_as', 'prevents']
['occurs_in', 'produces', 'treats', 'same_as']
['occurs_in', 'causes', 'associated_with', 'affects']
['occurs_in']
['occurs_in', 'disrupts', 'stimulates', 'compared_with']
['occurs_in', 'causes', 'causes', 'complicates']
['occurs_in', 'coexists_with', 'coexists_with', 'prevents']
['occurs_in', 'part_of', 'part_of', 'causes']
['occurs_in', 'location_of', 'affects', 'inhibits']
['occurs_in', 'occurs_in', 'causes', 'interacts_with']
['occurs_in', 'interacts_with', 'interacts_with', 'complicates']
['same_as', 'interacts_with', 'inhibits', 'inhibits']
['same_as', 'location_of', 'inhibits', 'produces']
['same_as', 'produces', 'inhibits', 'interacts_with']
['same_as', 'produces', 'produces', 'same_as']
['same_as', 'disrupts', 'complicates', 'stimulates']
['same_as', 'interacts_with', 'disrupts', 'inhibits']
['same_as', 'same_as', 'occurs_in', 'same_as']
['same_as', 'treats', 'occurs_in', 'coexists_with']
['same_as', 'coexists_with', 'associated_with', 'occurs_in']
['same_as', 'causes', 'prevents', 'treats']
['same_as', 'occurs_in', 'treats', 'stimulates']
['same_as', 'produces', 'prevents', 'disrupts']
['same_as', 'affects', 'location_of', 'coexists_with']
['same_as', 'causes', 'treats', 'isa']
['same_as', 'associated_with', 'causes', 'occurs_in']
['same_as', 'complicates', 'location_of', 'interacts_with']
