['diagnoses', 'produces', 'location_of', 'inhibits']
['diagnoses', 'causes', 'prevents', 'stimulates']
['diagnoses', 'part_of', 'occurs_in', 'interacts_with']
['diagnoses', 'occurs_in', 'causes', 'produces']
['diagnoses', 'produces', 'stimulates', 'occurs_in']
['diagnoses', 'affects', 'inhibits', 'produces']
['diagnoses', 'diagnoses', 'associated_with', 'complicates']
['diagnoses', 'compared_with']
['diagnoses', 'coexists_with', 'coexists_with', 'diagnoses']
['diagnoses', 'produces', 'produces', 'isa']
['diagnoses', 'augments', 'complicates', 'isa']
['diagnoses', 'interacts_with', 'interacts_with', 'coexists_with']
['diagnoses', 'interacts_with', 'augments', 'isa']
['diagnoses', 'same_as', 'location_of', 'interacts_with']
['diagnoses', 'disrupts', 'same_as', 'isa']
['diagnoses', 'associated_with', 'complicates', 'disrupts']
['diagnoses', 'inhibits', 'augments', 'part_of']
['diagnoses']
['diagnoses', 'stimulates', 'treats', 'augments']
['diagnoses', 'occurs_in', 'augments', 'location_of']
['diagnoses', 'affects', 'augments', 'complicates']
['diagnoses', 'produces', 'treats', 'diagnoses']
['diagnoses', 'complicates']
['diagnoses', 'disrupts', 'complicates', 'associated_with']
['diagnoses', 'location_of', 'isa', 'associated_with']
['diagnoses', 'complicates', 'treats', 'isa']
['diagnoses', 'inhibits', 'augments', 'causes']
['diagnoses', 'treats', 'coexists_with', 'diagnoses']
['diagnoses', 'location_of', 'affects', 'diagnoses']
['diagnoses', 'causes', 'associated_with', 'part_of']
['diagnoses', 'augments', 'prevents', 'same_as']
['diagnoses', 'prevents', 'same_as']
['diagnoses', 'augments', 'occurs_in', 'treats']
['diagnoses', 'causes', 'complicates', 'produces']
['diagnoses', 'isa', 'part_of', 'associated_with']
['diagnoses', 'part_of', 'produces', 'disrupts']
['diagnoses', 'disrupts', 'complicates', 'prevents']
['diagnoses', 'part_of', 'associated_with', 'complicates']
['diagnoses', 'complicates', 'produces', 'location_of']
['diagnoses', 'causes', 'produces', 'isa']
['diagnoses', 'produces', 'affects', 'augments']
['diagnoses', 'occurs_in', 'complicates', 'affects']
['diagnoses', 'associated_with', 'associated_with', 'affects']
['diagnoses', 'complicates', 'inhibits', 'treats']
['diagnoses', 'affects', 'affects', 'part_of']
['diagnoses', 'coexists_with', 'location_of', 'compared_with']
['diagnoses', 'coexists_with', 'produces', 'treats']
['diagnoses', 'inhibits', 'same_as', 'causes']
['diagnoses', 'interacts_with', 'part_of', 'prevents']
['diagnoses', 'part_of', 'associated_with', 'prevents']
['diagnoses', 'inhibits', 'interacts_with', 'causes']
['diagnoses', 'produces', 'stimulates', 'stimulates']
['diagnoses', 'interacts_with', 'augments', 'augments']
['diagnoses', 'same_as', 'disrupts', 'causes']
['diagnoses', 'augments', 'part_of', 'coexists_with']
['diagnoses', 'produces', 'location_of', 'causes']
['diagnoses', 'isa', 'treats', 'diagnoses']
['diagnoses', 'augments', 'affects', 'inhibits']
['diagnoses', 'diagnoses', 'part_of', 'isa']
['diagnoses', 'stimulates', 'complicates', 'affects']
['diagnoses', 'isa', 'associated_with', 'interacts_with']
['diagnoses', 'diagnoses', 'compared_with', 'same_as']
['diagnoses', 'same_as', 'disrupts', 'coexists_with']
['diagnoses', 'produces', 'causes', 'complicates']
['diagnoses', 'diagnoses', 'coexists_with', 'isa']
['diagnoses', 'part_of', 'diagnoses', 'stimulates']
['diagnoses', 'occurs_in', 'interacts_with', 'disrupts']
['diagnoses', 'complicates', 'prevents', 'occurs_in']
['diagnoses', 'augments', 'prevents', 'interacts_with']
['diagnoses', 'part_of', 'prevents', 'augments']
['diagnoses', 'diagnoses', 'produces', 'augments']
['diagnoses', 'coexists_with', 'compared_with', 'interacts_with']
['diagnoses', 'coexists_with', 'location_of', 'inhibits']
['diagnoses', 'part_of', 'coexists_with', 'location_of']
['diagnoses', 'prevents', 'location_of', 'prevents']
['diagnoses', 'associated_with', 'produces', 'affects']
['diagnoses', 'same_as', 'associated_with', 'affects']
['diagnoses', 'causes', 'causes', 'coexists_with']
['diagnoses', 'stimulates']
['diagnoses', 'isa', 'coexists_with', 'associated_with']
['diagnoses', 'treats', 'stimulates', 'affects']
['diagnoses', 'location_of', 'complicates', 'prevents']
['diagnoses', 'same_as', 'prevents', 'occurs_in']
['diagnoses', 'interacts_with', 'compared_with']
['diagnoses', 'coexists_with', 'part_of', 'isa']
['diagnoses', 'disrupts', 'produces', 'complicates']
['diagnoses', 'complicates', 'prevents', 'prevents']
['diagnoses', 'coexists_with', 'causes', 'compared_with']
['diagnoses', 'diagnoses', 'interacts_with', 'complicates']
['diagnoses', 'diagnoses', 'isa', 'coexists_with']
['diagnoses', 'occurs_in', 'diagnoses', 'stimulates']
['diagnoses', 'occurs_in', 'diagnoses', 'associated_with']
['diagnoses', 'complicates', 'stimulates', 'associated_with']
['diagnoses', 'treats', 'coexists_with', 'associated_with']
['diagnoses', 'same_as', 'same_as']
['diagnoses', 'inhibits', 'interacts_with', 'same_as']
['occurs_in', 'location_of', 'disrupts', 'coexists_with']
['occurs_in', 'complicates']
['occurs_in', 'isa', 'disrupts', 'interacts_with']
['occurs_in']
['occurs_in', 'disrupts', 'causes', 'isa']
['occurs_in', 'occurs_in', 'diagnoses', 'same_as']
['occurs_in', 'coexists_with', 'same_as', 'occurs_in']
['occurs_in', 'location_of', 'diagnoses', 'stimulates']
['occurs_in', 'causes', 'prevents', 'same_as']
['occurs_in', 'isa', 'prevents', 'causes']
['occurs_in', 'diagnoses', 'part_of', 'affects']
['occurs_in', 'treats', 'compared_with', 'stimulates']
['occurs_in', 'associated_with', 'associated_with', 'augments']
['occurs_in', 'complicates', 'treats', 'stimulates']
['occurs_in', 'stimulates']
['occurs_in', 'coexists_with', 'inhibits', 'prevents']
['occurs_in', 'coexists_with', 'diagnoses', 'inhibits']
['occurs_in', 'affects', 'interacts_with', 'prevents']
['occurs_in', 'diagnoses', 'disrupts', 'compared_with']
['occurs_in', 'inhibits', 'associated_with', 'prevents']
['occurs_in', 'treats', 'stimulates', 'treats']
['occurs_in', 'augments', 'stimulates', 'affects']
['occurs_in', 'inhibits', 'diagnoses', 'disrupts']
['occurs_in', 'diagnoses', 'stimulates']
['occurs_in', 'isa', 'compared_with', 'inhibits']
['occurs_in', 'treats', 'augments', 'associated_with']
['occurs_in', 'treats', 'isa', 'part_of']
['occurs_in', 'same_as', 'produces', 'coexists_with']
['occurs_in', 'causes', 'causes', 'isa']
['occurs_in', 'part_of', 'diagnoses', 'location_of']
['occurs_in', 'isa', 'augments', 'interacts_with']
['occurs_in', 'same_as', 'augments', 'diagnoses']
['occurs_in', 'inhibits']
['occurs_in', 'diagnoses', 'augments', 'coexists_with']
['occurs_in', 'produces', 'treats', 'same_as']
['occurs_in', 'interacts_with']
['occurs_in', 'associated_with', 'disrupts', 'affects']
['occurs_in', 'isa', 'diagnoses', 'causes']
['occurs_in', 'prevents', 'interacts_with', 'coexists_with']
['occurs_in', 'inhibits', 'produces', 'stimulates']
['occurs_in', 'occurs_in', 'location_of', 'compared_with']
['occurs_in', 'stimulates', 'augments', 'part_of']
['occurs_in', 'interacts_with', 'same_as', 'affects']
['occurs_in', 'disrupts', 'complicates', 'complicates']
['occurs_in', 'location_of', 'interacts_with', 'prevents']
['occurs_in', 'occurs_in', 'diagnoses', 'compared_with']
['occurs_in', 'coexists_with', 'inhibits', 'complicates']
['occurs_in', 'prevents', 'coexists_with', 'causes']
['occurs_in', 'same_as', 'interacts_with', 'disrupts']
['occurs_in', 'produces', 'occurs_in', 'inhibits']
['occurs_in', 'disrupts']
['occurs_in', 'treats', 'causes', 'treats']
['occurs_in', 'location_of', 'compared_with', 'causes']
['occurs_in', 'causes', 'occurs_in', 'produces']
['occurs_in', 'complicates', 'coexists_with', 'diagnoses']
['occurs_in', 'interacts_with', 'stimulates', 'same_as']
['occurs_in', 'complicates', 'isa', 'occurs_in']
['occurs_in', 'isa', 'causes', 'part_of']
['occurs_in', 'interacts_with', 'location_of', 'stimulates']
['occurs_in', 'prevents', 'stimulates', 'location_of']
