r,mr,mrr,hit1,hit3,hit10,count
0,1022.25,0.1620979453211589,0.0,0.25,0.375,8
1,918.6428571428571,0.002406030576850647,0.0,0.0,0.0,14
2,2238.731707317073,0.23619379642713464,0.17073170731707318,0.24390243902439024,0.3902439024390244,41
3,1109.5,0.038741885077256316,0.03125,0.03125,0.0625,32
4,999.1301369863014,0.04295301771263336,0.02054794520547945,0.03424657534246575,0.08904109589041095,146
5,1674.37,0.01885954280666349,0.0,0.02,0.05,200
6,4135.89,0.009221445757744244,0.005,0.01,0.02,200
7,3745.075,0.0973832602551305,0.085,0.105,0.115,200
8,1920.85,0.013376961849294036,0.005,0.01,0.02,200
9,3739.55,0.006817704307280435,0.005,0.005,0.01,200
10,1410.935,0.01049456371698434,0.005,0.005,0.005,200
11,3559.955,0.011166403932008444,0.005,0.01,0.025,200
12,1625.01,0.02167714371908558,0.01,0.015,0.04,200
13,1048.14,0.05281115405123545,0.03,0.055,0.095,200
14,1534.75,0.025463694572979267,0.01,0.025,0.05,200
15,3932.815,0.022300056250528028,0.015,0.02,0.04,200
16,2948.215,0.012535060970779513,0.005,0.01,0.025,200
17,4297.895,0.015382864958401288,0.01,0.01,0.035,200
18,2861.49,0.00819792184196366,0.005,0.01,0.015,200
19,3913.95,0.0004725524479303484,0.0,0.0,0.0,200
overall,2704.0981178648567,0.02584306104297318,0.015427337241592102,0.024683739586547362,0.044122184510953406,3241
