['diagnoses', 'diagnoses', 'location_of', 'stimulates']
['diagnoses', 'inhibits', 'treats']
['diagnoses', 'stimulates', 'location_of', 'isa']
['diagnoses', 'associated_with', 'part_of', 'affects']
['diagnoses', 'prevents', 'location_of', 'inhibits']
['diagnoses', 'coexists_with']
['diagnoses', 'isa', 'diagnoses', 'compared_with']
['diagnoses', 'isa', 'treats', 'coexists_with']
['diagnoses', 'compared_with', 'prevents', 'part_of']
['diagnoses', 'complicates', 'isa', 'associated_with']
['diagnoses', 'part_of', 'location_of', 'location_of']
['diagnoses', 'part_of', 'associated_with', 'prevents']
['diagnoses', 'causes', 'isa', 'stimulates']
['diagnoses', 'diagnoses', 'affects', 'occurs_in']
['diagnoses', 'complicates', 'location_of', 'compared_with']
['diagnoses', 'disrupts', 'occurs_in', 'inhibits']
['diagnoses', 'disrupts', 'augments', 'location_of']
['diagnoses', 'isa', 'complicates', 'location_of']
['diagnoses', 'diagnoses', 'occurs_in', 'associated_with']
['diagnoses', 'treats', 'same_as']
['diagnoses', 'stimulates', 'isa', 'disrupts']
['diagnoses', 'location_of', 'diagnoses', 'coexists_with']
['diagnoses', 'location_of', 'stimulates', 'stimulates']
['diagnoses', 'stimulates', 'compared_with', 'diagnoses']
['diagnoses', 'occurs_in', 'interacts_with', 'prevents']
['diagnoses', 'associated_with', 'occurs_in', 'disrupts']
['diagnoses', 'inhibits', 'associated_with', 'isa']
['diagnoses', 'isa', 'produces', 'part_of']
['diagnoses', 'treats', 'isa', 'associated_with']
['diagnoses', 'isa', 'associated_with', 'complicates']
['diagnoses', 'stimulates', 'treats', 'affects']
['diagnoses', 'associated_with']
['diagnoses', 'causes', 'produces', 'inhibits']
['diagnoses', 'diagnoses', 'same_as', 'compared_with']
['diagnoses', 'coexists_with', 'diagnoses', 'stimulates']
['diagnoses', 'affects', 'coexists_with', 'treats']
['diagnoses', 'part_of', 'prevents', 'causes']
['diagnoses', 'produces', 'disrupts', 'location_of']
['diagnoses', 'interacts_with', 'interacts_with', 'produces']
['diagnoses', 'interacts_with', 'interacts_with', 'occurs_in']
