r,mr,mrr,hit1,hit3,hit10,count
0,903.0,0.19312398771325562,0.125,0.25,0.25,8
1,1138.0714285714287,0.01133579039932327,0.0,0.0,0.07142857142857142,14
2,2828.951219512195,0.3242883212435928,0.2682926829268293,0.36585365853658536,0.43902439024390244,41
3,1131.8125,0.043590862821271156,0.03125,0.0625,0.0625,32
4,677.7602739726027,0.07832228453926361,0.0410958904109589,0.07534246575342465,0.14383561643835616,146
5,1211.44,0.02711441736157065,0.01,0.025,0.055,200
6,4665.82,0.022052204317503973,0.015,0.03,0.035,200
7,4234.54,0.12595228004057696,0.11,0.13,0.155,200
8,1264.855,0.02195722136701079,0.01,0.02,0.035,200
9,4200.115,0.004205399699555429,0.0,0.0,0.015,200
10,976.05,0.017642017224252224,0.005,0.015,0.03,200
11,4278.055,0.011756375357099304,0.005,0.01,0.03,200
12,1317.165,0.01722606532951107,0.005,0.005,0.04,200
13,861.04,0.08909510151812648,0.055,0.09,0.16,200
14,1146.765,0.029250814207449575,0.005,0.025,0.09,200
15,4571.93,0.026374660656083685,0.015,0.03,0.055,200
16,3049.675,0.033262536594040173,0.015,0.035,0.07,200
17,4839.725,0.02844272406899246,0.025,0.025,0.035,200
18,2677.82,0.013358030783570252,0.005,0.015,0.025,200
19,4626.73,0.0002887178104707405,0.0,0.0,0.0,200
overall,2795.020055538414,0.03746534667030539,0.023141005862388153,0.037334156124652886,0.06479481641468683,3241
